Date,Price_USD
2016-03-29,0.05683417085427136
2016-03-30,0.055926927590957805
2016-03-31,0.05402010050251256
2016-04-01,0.05518974616737874
2016-04-04,0.05467336683417086
2016-04-05,0.05527638190954774
2016-04-06,0.05624521072796935
2016-04-07,0.0559938915754645
2016-04-08,0.055075376884422114
2016-04-11,0.052763819095477386
2016-04-12,0.05477386934673367
2016-04-13,0.05530417295123177
2016-04-14,0.056281407035175875
2016-04-15,0.05753768844221105
2016-04-18,0.05678391959798995
2016-04-19,0.057889447236180905
2016-04-20,0.05929648241206031
2016-04-21,0.061589235846661594
2016-04-22,0.06105527638190955
2016-04-25,0.06060301507537689
2016-04-26,0.06130653266331658
2016-04-27,0.06272949816401469
2016-04-28,0.061708542713567835
2016-04-29,0.06381909547738693
2016-05-03,0.06554808712791227
2016-05-04,0.06527638190954774
2016-05-05,0.06532663316582915
2016-05-06,0.06608040201005025
2016-05-09,0.06909547738693467
2016-05-10,0.06934673366834171
2016-05-11,0.06934673366834171
2016-05-12,0.07035175879396985
2016-05-13,0.07386934673366834
2016-05-16,0.07647687375973133
2016-05-17,0.07256281407035176
2016-05-18,0.07547738693467336
2016-05-19,0.07874371859296482
2016-05-20,0.08015075376884422
2016-05-23,0.07623115577889447
2016-05-24,0.07537688442211055
2016-05-25,0.08296482412060302
2016-05-26,0.08592964824120604
2016-05-27,0.08331658291457286
2016-05-31,0.07527638190954775
2016-06-01,0.06834170854271357
2016-06-02,0.06989949748743719
2016-06-03,0.07512562814070352
2016-06-06,0.07437185929648242
2016-06-07,0.07440925087983911
2016-06-08,0.07394366197183098
2016-06-09,0.07442796077445311
2016-06-10,0.07545271629778671
2016-06-13,0.07545271629778671
2016-06-14,0.07516339869281045
2016-06-15,0.08099640472521828
2016-06-16,0.08345070422535211
2016-06-17,0.0836683417085427
2016-06-20,0.08020100502512563
2016-06-21,0.059462733361835544
2016-06-22,0.0619722341491341
2016-06-23,0.06292662116040956
2016-06-24,0.06140509301065558
2016-06-27,0.056595744680851066
2016-06-28,0.05569395017793594
2016-06-29,0.05742176284811944
2016-06-30,0.0562070071639876
2016-07-01,0.05578401573395316
2016-07-04,0.0541295242186661
2016-07-08,0.055299044346612265
2016-07-11,0.056176991150442473
2016-07-12,0.05827621719521291
2016-07-13,0.05825589706933524
2016-07-14,0.057581916069454835
2016-07-15,0.058499999999999996
2016-07-18,0.05874351172364417
2016-07-19,0.057423417653965206
2016-07-20,0.05313314136843548
2016-07-21,0.05181347150259067
2016-07-22,0.05210169491525424
2016-07-25,0.051668922711215294
2016-07-26,0.053133205822284174
2016-07-27,0.05405405405405406
2016-07-28,0.05149496416506172
2016-07-29,0.05251552795031056
2016-08-01,0.052611693586473975
2016-08-02,0.052830188679245285
2016-08-03,0.05157224817380944
2016-08-04,0.050776397515527955
2016-08-05,0.05037395512538495
2016-08-08,0.050514292926105896
2016-08-09,0.0508049407804909
2016-08-10,0.05010647626205687
2016-08-11,0.04908593184607155
2016-08-12,0.04845298793425595
2016-08-15,0.04699837072314826
2016-08-16,0.04607250755287009
2016-08-17,0.046875
2016-08-18,0.044519451799691565
2016-08-19,0.04633431085043988
2016-08-22,0.04505714285714286
2016-08-23,0.05033214103219213
2016-08-24,0.046806977512234664
2016-08-25,0.048113207547169815
2016-08-26,0.04862082115164612
2016-08-29,0.04895060148451497
2016-08-30,0.04767067376678039
2016-08-31,0.04850892043234796
2016-09-01,0.047946968721843224
2016-09-02,0.04799740554564618
2016-09-05,0.048505888842023295
2016-09-06,0.0464968152866242
2016-09-07,0.04634920634920635
2016-09-08,0.04692644567336893
2016-09-09,0.04665878367581732
2016-09-14,0.04669547127540406
2016-09-15,0.04627388535031847
2016-09-16,0.04603466886786462
2016-09-19,0.046561558674613854
2016-09-20,0.046748423041209054
2016-09-21,0.047021943573667714
2016-09-22,0.05047792589750967
2016-09-23,0.04991840261111644
2016-09-26,0.050103774808665194
2016-09-27,0.04968152866242038
2016-09-28,0.05114244044725328
2016-09-29,0.05022714185168597
2016-09-30,0.04903446274863794
2016-10-04,0.05077118726970359
2016-10-05,0.049585137681398966
2016-10-06,0.047661555137564954
2016-10-07,0.04581012780478383
2016-10-10,0.04643666421983213
2016-10-11,0.049473684210526316
2016-10-12,0.04836333354685798
2016-10-13,0.047961783439490445
2016-10-14,0.04717871296471032
2016-10-17,0.047043010752688165
2016-10-18,0.046974522292993634
2016-10-19,0.04663492063492063
2016-10-20,0.046825396825396826
2016-10-21,0.046825396825396826
2016-10-24,0.047619047619047616
2016-10-25,0.0473015873015873
2016-10-26,0.047619047619047616
2016-10-27,0.04746031746031746
2016-10-28,0.0473015873015873
2016-10-31,0.04622641509433962
2016-11-01,0.046426332288401255
2016-11-02,0.04686708860759494
2016-11-03,0.04793650793650794
2016-11-04,0.04698412698412699
2016-11-07,0.04695238095238095
2016-11-08,0.04641269841269841
2016-11-09,0.045254777070063694
2016-11-10,0.04666666666666666
2016-11-11,0.048031746031746037
2016-11-14,0.046031746031746035
2016-11-15,0.04565079365079365
2016-11-16,0.045015873015873016
2016-11-17,0.044968152866242034
2016-11-18,0.045015873015873016
2016-11-21,0.04492063492063492
2016-11-22,0.04507936507936508
2016-11-23,0.04495238095238095
2016-11-24,0.044444444444444446
2016-11-25,0.044089456869009586
2016-11-28,0.042993630573248405
2016-11-29,0.04305732484076433
2016-11-30,0.043949044585987265
2016-12-01,0.04380952380952381
2016-12-02,0.04468152866242038
2016-12-05,0.04584664536741214
2016-12-06,0.0453968253968254
2016-12-07,0.04538216560509554
2016-12-08,0.046031746031746035
2016-12-09,0.046031746031746035
2016-12-13,0.04552380952380952
2016-12-14,0.046031746031746035
2016-12-15,0.04676190476190476
2016-12-16,0.045782825872546215
2016-12-19,0.045714285714285714
2016-12-20,0.04565079365079365
2016-12-21,0.045714285714285714
2016-12-22,0.045714285714285714
2016-12-23,0.046019108280254774
2016-12-28,0.04670906200317965
2016-12-29,0.04737361203906971
2016-12-30,0.04692819191244313
2017-01-03,0.04585987261146497
2017-01-04,0.04626391096979333
2017-01-05,0.046104928457869634
2017-01-06,0.04688888888888889
2017-01-09,0.0493312101910828
2017-01-10,0.048012718600953894
2017-01-11,0.04826972576186088
2017-01-12,0.049206349206349205
2017-01-13,0.04942857142857143
2017-01-16,0.05047619047619048
2017-01-17,0.05025396825396825
2017-01-18,0.05015873015873016
2017-01-19,0.05028571428571429
2017-01-20,0.050793650793650794
2017-01-23,0.05063492063492063
2017-01-24,0.04888888888888889
2017-01-25,0.048885350318471334
2017-01-26,0.04936305732484077
2017-01-27,0.050793650793650794
2017-01-30,0.05047619047619048
2017-01-31,0.04984126984126984
2017-02-01,0.048857142857142856
2017-02-02,0.04968152866242038
2017-02-03,0.0493968253968254
2017-02-06,0.04882165605095541
2017-02-07,0.047619047619047616
2017-02-08,0.047619047619047616
2017-02-09,0.04765079365079365
2017-02-10,0.04904761904761905
2017-02-13,0.05012738853503185
2017-02-14,0.04821656050955414
2017-02-15,0.047802547770700636
2017-02-16,0.047738853503184714
2017-02-17,0.04777070063694268
2017-02-20,0.04766295707472178
2017-02-21,0.04666666666666666
2017-02-22,0.04713375796178344
2017-02-23,0.04713375796178344
2017-02-24,0.046910828025477705
2017-02-27,0.04713375796178344
2017-02-28,0.04666666666666666
2017-03-01,0.044585987261146494
2017-03-02,0.044126984126984126
2017-03-03,0.04555555555555556
2017-03-06,0.046031746031746035
2017-03-07,0.04663492063492063
2017-03-08,0.04631746031746032
2017-03-09,0.04650793650793651
2017-03-10,0.04692063492063492
2017-03-13,0.042222222222222223
2017-03-14,0.043821656050955414
2017-03-15,0.04492063492063492
2017-03-16,0.04619047619047619
2017-03-17,0.04485714285714286
2017-03-20,0.044444444444444446
2017-03-21,0.04347133757961784
2017-03-22,0.043949044585987265
2017-03-23,0.04331210191082802
2017-03-24,0.04282539682539683
2017-03-27,0.042993630573248405
2017-03-28,0.04349206349206349
2017-03-29,0.043885350318471336
2017-03-30,0.044444444444444446
2017-03-31,0.0446031746031746
2017-04-03,0.04522292993630573
2017-04-04,0.0453968253968254
2017-04-05,0.046031746031746035
2017-04-06,0.046031746031746035
2017-04-07,0.04587301587301587
2017-04-10,0.04584126984126984
2017-04-11,0.04523809523809524
2017-04-12,0.0453968253968254
2017-04-13,0.045923566878980894
2017-04-18,0.04617834394904458
2017-04-19,0.0464968152866242
2017-04-20,0.04606349206349206
2017-04-21,0.046031746031746035
2017-04-24,0.04713375796178344
2017-04-25,0.046528662420382165
2017-04-26,0.04656050955414012
2017-04-27,0.04698412698412699
2017-04-28,0.04745222929936306
2017-05-02,0.04920382165605095
2017-05-03,0.04984126984126984
2017-05-04,0.05057142857142857
2017-05-05,0.05152866242038216
2017-05-08,0.051624203821656056
2017-05-09,0.05222929936305732
2017-05-10,0.05498412698412698
2017-05-11,0.057898089171974525
2017-05-12,0.057555555555555554
2017-05-15,0.054113924050632915
2017-05-16,0.05463492063492064
2017-05-17,0.05445859872611465
2017-05-18,0.05704761904761904
2017-05-19,0.05697452229299363
2017-05-22,0.056190476190476187
2017-05-23,0.05586750788643533
2017-05-24,0.05610591900311527
2017-05-25,0.0567601246105919
2017-05-26,0.059781249999999994
2017-05-30,0.06018518518518518
2017-05-31,0.05866873065015479
2017-06-01,0.06200317965023847
2017-06-02,0.0620807453416149
2017-06-05,0.06286604361370716
2017-06-06,0.0625776397515528
2017-06-07,0.0620807453416149
2017-06-08,0.06354037267080746
2017-06-09,0.06448598130841121
2017-06-12,0.06429906542056076
2017-06-13,0.06475155279503106
2017-06-14,0.06777089783281734
2017-06-15,0.07111801242236024
2017-06-16,0.07108695652173913
2017-06-19,0.0703125
2017-06-20,0.06878504672897195
2017-06-21,0.06625
2017-06-22,0.0634472049689441
2017-06-23,0.06333333333333332
2017-06-28,0.059137931034482755
2017-06-29,0.06057971014492753
2017-06-30,0.06055072463768116
2017-07-03,0.05927745664739885
2017-07-04,0.06422893481717011
2017-07-05,0.057879656160458454
2017-07-06,0.05862068965517241
2017-07-07,0.05936599423631125
2017-07-10,0.06123563218390804
2017-07-11,0.06327586206896552
2017-07-12,0.0630945558739255
2017-07-13,0.06368876080691643
2017-07-14,0.06301724137931035
2017-07-17,0.06307471264367816
2017-07-18,0.062225433526011564
2017-07-19,0.06334293948126801
2017-07-20,0.06372832369942197
2017-07-21,0.06594827586206896
2017-07-24,0.06719653179190752
2017-07-25,0.06896551724137931
2017-07-26,0.07377521613832853
2017-07-27,0.07387931034482759
2017-07-28,0.08240534521158129
2017-07-31,0.07195906432748538
2017-08-01,0.06771978021978022
