Date,Dividend
2016-05-25,0.05
2017-05-22,0.05
2018-05-23,0.12
2019-06-10,0.07
2020-07-23,0.16
2021-05-12,0.12
2022-05-16,0.16
2023-05-17,0.14
2024-05-15,0.24
2025-05-21,0.16
