Date,Dividend
2016-09-14,108.0
2017-03-29,118.0
2017-09-13,119.0
2018-03-14,136.0
2018-09-19,130.0
2019-03-27,145.0
2019-09-11,139.0
2020-03-25,152.0
2020-09-22,146.0
2021-03-24,110.0
2021-09-21,153.0
2022-03-23,157.0
2022-09-21,310.0
2023-03-22,189.0
2023-09-20,195.0
2024-04-03,200.0
2024-09-18,215.0
2025-04-02,219.0
2025-09-17,247.0
2026-04-08,259.0
