Date,Dividend
2023-04-21,0.014
2023-08-10,0.035
2023-11-15,0.0327
2024-03-28,0.032
2024-06-12,0.0315
2024-08-15,0.0327
2024-10-30,0.03476
2025-04-10,0.045
2025-06-10,0.0474
2025-08-07,0.04775
2025-10-22,0.045
2026-03-20,0.04602
