company,country,exchange,currency,sector,industry,isin,ticker,notes
OLD MUTUAL,SOUTH AFRICA,,,,,,,
ONATEL BURKINA FASO,BURKINA FASO,,,,,,,
ONE TECH HOLDING TUNISIA,TUNISIA,,,,,,,
ORAGROUP TOGO,TOGO,,,,,,,
ORANGE IVORY COAST,IVORY COAST,,,,,,,
ORASCOM INVESTMENT HOLDING EGYPT,EGYPT,,,,,,,
OUTSURANCE,SOUTH AFRICA,,,,,,,
PADENGA HOLDINGS,ZIMBABWE,,,,,,,
PALM HILLS DEVELOPMANT COMPANY EGYPT,EGYPT,,,,,,,
PALM IVORY COAST,IVORY COAST,,,,,,,
POULINA GROUP HOLDING TUNISIA,TUNISIA,,,,,,,
PPC,SOUTH AFRICA,,,,,,,
PRESCO PLC NIGERIA,NIGERIA,,,,,,,
PROSUS,SOUTH AFRICA,,,,,,,
PSG KONSULT,SOUTH AFRICA,,,,,,,
PUMA ENERGY ZAMBIA,ZAMBIA,,,,,,,
QUILTER,SOUTH AFRICA,,,,,,,
RAUBEX,SOUTH AFRICA,,,,,,,
RAYA HOLDING EGYPT,EGYPT,,,,,,,
REINET INVEST,SOUTH AFRICA,,,,,,,
REMGRO,SOUTH AFRICA,,,,,,,
SAFARICOM KENYA,KENYA,,,,,,,
SANLAM,SOUTH AFRICA,,,,,,,
SANTAM,SOUTH AFRICA,,,,,,,
SAPH IVORY COAST,IVORY COAST,,,,,,,
SBN HOLDINGS,NAMIBIA,,,,,,,
SECHABA BREWERY HOLDINGS BOTSWANA,BOTSWANA,,,,,,,
SEFALANA HOLDING COMPANY BOTSWANA,BOTSWANA,,,,,,,
SEPLAT ENERGY NIGERIA,NIGERIA,,,,,,,
SERVAIR ABIDJAN IVORY COAST,IVORY COAST,,,,,,,
SETAO IVORY COAST,IVORY COAST,,,,,,,
SGB IVORY COAST,IVORY COAST,,,,,,,
SHOPRITE HOLDINGS,SOUTH AFRICA,,,,,,,
SIB IVORY COAST,IVORY COAST,,,,,,,
SIBANYE STILLWATER,SOUTH AFRICA,,,,,,,
SIC INSURANCE,GHANA,,,,,,,
SICABLE IVORY COAST,IVORY COAST,,,,,,,
SICOR IVORY COAST,IVORY COAST,,,,,,,
SIDI KERIR PETROCHEMICALS EGYPT,EGYPT,,,,,,,
SIMBISA BRANDS,ZIMBABWE,,,,,,,
SITAB IVORY COAST,IVORY COAST,,,,,,,
SMB IVORY COAST,IVORY COAST,,,,,,,
