company,rows,file
TANZANIA CIGARETTE COMPANY (TANZANIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/TANZANIA CIGARETTE COMPANY.csv
BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/BANQUE NATIONALE AGRICOLE TUNISIA.csv
IRELAND BLYTH MAURITIUS (MAURITIUS),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/IRELAND BLYTH MAURITIUS.csv
ATTIJARI BANK TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/ATTIJARI BANK TUNISIA.csv
CEIL MAURITIUS (MAURITIUS),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/CEIL MAURITIUS.csv
SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA.csv
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/TN CYBERTECH INVESTMENTS HOLDINGS.csv
ONE TECH HOLDING TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/ONE TECH HOLDING TUNISIA.csv
BIAT TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/BIAT TUNISIA.csv
EAST DELTA FLOUR MILLS EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EAST DELTA FLOUR MILLS EGYPT.csv
BANQUE DE TUNISIE TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/BANQUE DE TUNISIE TUNISIA.csv
FIRST CAPITAL BANK (ZIMBABWE),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/FIRST CAPITAL BANK.csv
CALBANK PLC GHANA (GHANA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/CALBANK PLC GHANA.csv
CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/CIM FINANCIAL SERVICES MAURITIUS.csv
DÉLICE HOLDING TUNISIA (TUNISIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/DÉLICE HOLDING TUNISIA.csv
MTN UGANDA (UGANDA),13,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/uganda/MTN UGANDA.csv
ENL LIMITED MAURITIUS (MAURITIUS),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/ENL LIMITED MAURITIUS.csv
ECOBANK GHANA (GHANA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/ECOBANK GHANA.csv
SUN RESORTS LIMITED MAURITIUS (MAURITIUS),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/SUN RESORTS LIMITED MAURITIUS.csv
STANBIC BANK UGANDA (UGANDA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/uganda/STANBIC BANK UGANDA.csv
SBN HOLDINGS (NAMIBIA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/namibia/SBN HOLDINGS.csv
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/SOCIÉTÉ GÉNÉRALE GHANA.csv
TANZANIA PORTLAND CEMENT (TANZANIA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/TANZANIA PORTLAND CEMENT.csv
STANDARD CHARTERED BANK GHANA (GHANA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/STANDARD CHARTERED BANK GHANA.csv
TANGA CEMENT TANZANIA (TANZANIA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/TANGA CEMENT TANZANIA.csv
TSL (ZIMBABWE),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/TSL.csv
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/NATIONAL INVESTMENT COMPANY TANZANIA.csv
ECOBANK TRANSITIONAL INC GHANA (GHANA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/ECOBANK TRANSITIONAL INC GHANA.csv
OMNIA HOLDINGS (SOUTH AFRICA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/OMNIA HOLDINGS.csv
CI CAPITAL HOLDINGS (EGYPT),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/CI CAPITAL HOLDINGS.csv
HYPROP (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/HYPROP.csv
THUNGELA RESOURSES (SOUTH AFRICA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/THUNGELA RESOURSES.csv
HF GROUP PLC (KENYA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/HF GROUP PLC.csv
E-FINANCE INVESTMENT GROUP (EGYPT),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/E-FINANCE INVESTMENT GROUP.csv
ABU QIR FERTILIZERS AND CHEMICAL INDUSTRIES (EGYPT),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ABU QIR FERTILIZERS AND CHEMICAL INDUSTRIES.csv
Motus Holdings Ltd (South Africa),13,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/MOTUS HOLDINGS LTD.csv
Capricorn Group Limited (Namibia),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/namibia/CAPRICORN GROUP LIMITED.csv
Sun International Limited (South Africa),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SUN INTERNATIONAL LIMITED.csv
Nedbank Group Limited (South Africa),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/NEDBANK GROUP LIMITED.csv
Alexandria Containers and goods (Egypt),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ALEXANDRIA CONTAINERS AND GOODS.csv
Arabian Cement Company (Egypt),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ARABIAN CEMENT COMPANY.csv
Pepkor Holdings Ltd (South Africa),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/PEPKOR HOLDINGS LTD.csv
Seed Co International Limited (Botswana),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/botswana/SEED CO INTERNATIONAL LIMITED.csv
Bamburi Cement Plc (Kenya),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/BAMBURI CEMENT PLC.csv
Juhayna Food Industries S.A.E (Egypt),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/JUHAYNA FOOD INDUSTRIES S.A.E.csv
Oriental Weavers Carpets Company (Egypt),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ORIENTAL WEAVERS CARPETS COMPANY.csv
Netcare Limited (South Africa),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/NETCARE LIMITED.csv
Reunert Ltd (South Africa),20,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/REUNERT LTD.csv
AECI Ltd (South Africa),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/AECI LTD.csv
Edita Food Industries Company (Egypt),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EDITA FOOD INDUSTRIES COMPANY.csv
Ste Nationale de Siderurgie SA (Morocco),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/STE NATIONALE DE SIDERURGIE SA.csv
Redefine Properties Ltd (South Africa),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/REDEFINE PROPERTIES LTD.csv
Delta Corporation Limited (Zimbabwe),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/DELTA CORPORATION LIMITED.csv
IBL Ltd (Mauritius),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/IBL LTD.csv
QNB Alahli (Egypt),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/QNB ALAHLI.csv
Enterprise Group PLC (Ghana),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/ENTERPRISE GROUP PLC.csv
Choppies Enterprises Limited (South Africa),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/CHOPPIES ENTERPRISES LIMITED.csv
Momentum Metropolitan Holdings Ltd (South Africa),18,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/MOMENTUM METROPOLITAN HOLDINGS LTD.csv
Bid Corporation Ltd (South Africa),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/BID CORPORATION LTD.csv
Transpaco Ltd (South Africa),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/TRANSPACO LTD.csv
GOIL PLC (Ghana),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/GOIL PLC.csv
Label Vie (Morocco),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/LABEL VIE.csv
Sasol Ltd (south Africa),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SASOL LTD.csv
Fortress Real Estate Investments Limited (South Africa),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/FORTRESS REAL ESTATE INVESTMENTS LIMITED.csv
Fan Milk PLC (Ghana),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/FAN MILK PLC.csv
Pick n Pay Stores Ltd (South Africa),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/PICK N PAY STORES LTD.csv
Credit Agricole - Egypt Bank (S.A.E.),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/s.a.e./CREDIT AGRICOLE - EGYPT BANK.csv
KAP Limited (South Africa),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/KAP LIMITED.csv
Hulamin Limited (South Africa),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/HULAMIN LIMITED.csv
Société de Fabrication des Boissons de Tunisie Société Anonyme (Tunisia),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME.csv
Tsogo Sun Gaming (South Africa),16,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/TSOGO SUN GAMING.csv
Madinet Masr For Housing and Development (Egypt),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/MADINET MASR FOR HOUSING AND DEVELOPMENT.csv
El Sewedy Electric (Egypt),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EL SEWEDY ELECTRIC.csv
Intravenous Infusions PLC (Ghana),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/INTRAVENOUS INFUSIONS PLC.csv
Compagnie Sucrerie Marocaine et de Raffinage SA (Morroco),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morroco/COMPAGNIE SUCRERIE MAROCAINE ET DE RAFFINAGE SA.csv
"Crédit Immobilier et Hôtelier, Société Anonyme (Morroco)",4,"/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morroco/CRÉDIT IMMOBILIER ET HÔTELIER, SOCIÉTÉ ANONYME.csv"
Douja Promotion Groupe Addoha S.A. (Morocco),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/DOUJA PROMOTION GROUPE ADDOHA S.A..csv
