Date,ADV_USD
2018-04-30,1250506039.258162
2018-07-31,1114849126.7813492
2018-10-31,1034621923.1026285
2019-01-31,856856020.1778085
2019-04-30,986353405.0847553
2019-07-31,2325696420.4391932
2019-10-31,1737832401.263959
2020-01-31,1475585951.387613
2020-04-30,2311078797.1751366
2020-07-31,3343765143.9241176
2020-10-31,1687016008.00738
2021-01-31,1980386065.4482205
2021-04-30,2504264456.298357
2021-07-31,2871040995.256872
2021-10-31,2827261634.72814
2022-01-31,3219207357.4966903
2022-04-30,4197765459.903978
2022-07-31,3351749122.8013525
2022-10-31,1451420250.2925835
2023-01-31,1682056778.3735175
2023-04-30,1735815356.5079384
2023-07-31,2195764594.3590446
2023-10-31,1291451632.5019062
2024-01-31,1396000485.380341
2024-04-30,1170422587.2298853
2024-07-31,1071170611.6288601
2024-10-31,973216923.9275995
2025-01-31,929228617.4338708
2025-04-30,1163851347.906318
2025-07-31,1107571973.6822205
2025-10-31,1292292157.7707286
2026-01-31,1273333769.5619297
