Component,Contribution
Price volatility,0.11209981785443082
Dividend dampening,-0.0009826780514331501
Diversification effect (proxy),-0.10577551869523859
Concentration proxy (HHI),0.020712368211285064
Average correlation,0.0564166764963415
Total return volatility,0.11111713980299767
