Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
ARADEL HOLDINGS NIGERIA (NIGERIA),1115446087.3588665,780.2,90,0.7,2276420586.4466667,,,21.0,2026-01-31,NIGERIA,MID,1115446087.3588665,5.0,1.0,True,2026-01-31
NASPERS (SOUTH AFRICA),1007637358.9725331,991.5,90,0.7,2056402773.4133332,,,21.0,2026-01-31,SOUTH AFRICA,HIGH,1007637358.9725331,3.0903069247940866,2.0,True,2026-01-31
ABU QIR FERTILIZERS EGYPT (EGYPT),808304098.3127999,1283.2,90,0.6,2245289161.98,,,18.0,2026-01-31,EGYPT,MID,808304098.3127999,5.0,3.0,True,2026-01-31
ZENITH BANK NIGERIA (NIGERIA),803193082.0631077,71.45,90,0.7,1639169555.2308323,,,21.0,2026-01-31,NIGERIA,MID,803193082.0631077,5.0,4.0,True,2026-01-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),800352883.0536166,99.0,90,0.7,1633373230.7216668,,,21.0,2026-01-31,NIGERIA,MID,800352883.0536166,5.0,5.0,True,2026-01-31
BLUE LABEL TELECOMS (SOUTH AFRICA),797465426.2166666,958.0,90,0.7,1627480461.6666667,,,21.0,2026-01-31,SOUTH AFRICA,HIGH,797465426.2166666,2.4457339805603704,6.0,True,2026-01-31
RAYA HOLDING EGYPT (EGYPT),777665510.3104799,179.6,90,0.6,2160181973.0846663,,,18.0,2026-01-31,EGYPT,MID,777665510.3104799,5.0,7.0,True,2026-01-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),620864383.0239664,1540.64,90,0.7,1267070169.4366663,,,21.0,2026-01-31,SOUTH AFRICA,HIGH,620864383.0239664,1.9041190614184758,8.0,True,2026-01-31
GOLD FIELDS (SOUTH AFRICA),612119844.9333332,849.71,90,0.7,1249224173.3333333,,,21.0,2026-01-31,SOUTH AFRICA,HIGH,612119844.9333332,1.877300577193988,9.0,True,2026-01-31
MTN NIGERIA (NIGERIA),596544481.1503333,572.0,90,0.7,1217437716.6333334,,,21.0,2026-01-31,NIGERIA,MID,596544481.1503333,5.0,10.0,True,2026-01-31
CRDB BANK PLC TANZANIA (TANZANIA),562955644.1481481,2050.0,90,0.6666666666666666,1266650199.3333333,,,20.0,2026-01-31,TANZANIA,LOW,562955644.1481481,5.0,11.0,True,2026-01-31
EASTERN TOBACCO EGYPT (EGYPT),522692278.4359195,756.0,90,0.6,1451922995.655332,,,18.0,2026-01-31,EGYPT,MID,522692278.4359195,5.0,12.0,True,2026-01-31
GRINDROD (SOUTH AFRICA),521327198.0933333,1722.0,90,0.7,1063933057.3333334,,,21.0,2026-01-31,SOUTH AFRICA,HIGH,521327198.0933333,1.5988500585112206,13.0,True,2026-01-31
