HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM200,TANGA CEMENT TANZANIA (TANZANIA),TANGA CEMENT TANZANIA TANZANIA (TANZANIA),
AM300,TANGA CEMENT TANZANIA (TANZANIA),TANGA CEMENT TANZANIA TANZANIA (TANZANIA),
AM100,TANZANIA BREWERIES LTD (TANZANIA),TANZANIA BREWERIES LTD TANZANIA (TANZANIA),
AM200,TANZANIA BREWERIES LTD (TANZANIA),TANZANIA BREWERIES LTD TANZANIA (TANZANIA),
AM300,TANZANIA BREWERIES LTD (TANZANIA),TANZANIA BREWERIES LTD TANZANIA (TANZANIA),
AM100,TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA CIGARETTE COMPANY TANZANIA (TANZANIA),
AM200,TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA CIGARETTE COMPANY TANZANIA (TANZANIA),
AM300,TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA CIGARETTE COMPANY TANZANIA (TANZANIA),
AM100,TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA PORTLAND CEMENT TANZANIA (TANZANIA),
AM200,TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA PORTLAND CEMENT TANZANIA (TANZANIA),
AM300,TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA PORTLAND CEMENT TANZANIA (TANZANIA),
AM200,TANZANIA TEA PACKERS (TANZANIA),TANZANIA TEA PACKERS TANZANIA (TANZANIA),
AM300,TANZANIA TEA PACKERS (TANZANIA),TANZANIA TEA PACKERS TANZANIA (TANZANIA),
AM200,TAQA MOROCCO (MOROCCO),TAQA MOROCCO MOROCCO (MOROCCO),
AM300,TAQA MOROCCO (MOROCCO),TAQA MOROCCO MOROCCO (MOROCCO),
AM100,TELECOM EGYPT (EGYPT),TELECOM EGYPT EGYPT (EGYPT),
AM200,TELECOM EGYPT (EGYPT),TELECOM EGYPT EGYPT (EGYPT),
AM300,TELECOM EGYPT (EGYPT),TELECOM EGYPT EGYPT (EGYPT),
AM100,TELEKOM NETWORKS MALAWI (MALAWI),TELEKOM NETWORKS MALAWI MALAWI (MALAWI),
AM200,TELEKOM NETWORKS MALAWI (MALAWI),TELEKOM NETWORKS MALAWI MALAWI (MALAWI),
AM300,TELEKOM NETWORKS MALAWI (MALAWI),TELEKOM NETWORKS MALAWI MALAWI (MALAWI),
AM100,TIGER BRANDS (SOUTH AFRICA),TIGER BRANDS SOUTH AFRICA (SOUTH AFRICA),
AM300,TIGER BRANDS (SOUTH AFRICA),TIGER BRANDS SOUTH AFRICA (SOUTH AFRICA),
AM100,TIGERE PROPERTY FUND (ZIMBABWE),TIGERE PROPERTY FUND ZIMBABWE (ZIMBABWE),
AM200,TIGERE PROPERTY FUND (ZIMBABWE),TIGERE PROPERTY FUND ZIMBABWE (ZIMBABWE),
AM300,TIGERE PROPERTY FUND (ZIMBABWE),TIGERE PROPERTY FUND ZIMBABWE (ZIMBABWE),
AM100,TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),TN CYBERTECH INVESTMENTS HOLDINGS ZIMBABWE (ZIMBABWE),
AM200,TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),TN CYBERTECH INVESTMENTS HOLDINGS ZIMBABWE (ZIMBABWE),
AM300,TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),TN CYBERTECH INVESTMENTS HOLDINGS ZIMBABWE (ZIMBABWE),
AM200,TOL GASES (TANZANIA) (TANZANIA),TOL GASES TANZANIA,
AM300,TOL GASES (TANZANIA) (TANZANIA),TOL GASES TANZANIA,
AM200,TOTALENERGIES MARKETING KENYA (KENYA),TOTALENERGIES MARKETING KENYA KENYA (KENYA),
AM300,TOTALENERGIES MARKETING KENYA (KENYA),TOTALENERGIES MARKETING KENYA KENYA (KENYA),
AM100,TOTALENERGIES MARKETING NIGERIA (NIGERIA),TOTALENERGIES MARKETING NIGERIA NIGERIA (NIGERIA),
AM200,TOTALENERGIES MARKETING NIGERIA (NIGERIA),TOTALENERGIES MARKETING NIGERIA NIGERIA (NIGERIA),
AM300,TOTALENERGIES MARKETING NIGERIA (NIGERIA),TOTALENERGIES MARKETING NIGERIA NIGERIA (NIGERIA),
AM100,TOTALENERGIES MARKETING SENEGAL (SENEGAL),TOTALENERGIES MARKETING SENEGAL SENEGAL (SENEGAL),
AM200,TOTALENERGIES MARKETING SENEGAL (SENEGAL),TOTALENERGIES MARKETING SENEGAL SENEGAL (SENEGAL),
AM300,TOTALENERGIES MARKETING SENEGAL (SENEGAL),TOTALENERGIES MARKETING SENEGAL SENEGAL (SENEGAL),
AM200,TRANSCORP HOTELS NIGERIA (NIGERIA),TRANSCORP HOTELS NIGERIA NIGERIA (NIGERIA),
AM300,TRANSCORP HOTELS NIGERIA (NIGERIA),TRANSCORP HOTELS NIGERIA NIGERIA (NIGERIA),
AM100,TRANSCORP PLC NIGERIA (NIGERIA),TRANSCORP PLC NIGERIA NIGERIA (NIGERIA),
AM200,TRANSCORP PLC NIGERIA (NIGERIA),TRANSCORP PLC NIGERIA NIGERIA (NIGERIA),
AM300,TRANSCORP PLC NIGERIA (NIGERIA),TRANSCORP PLC NIGERIA NIGERIA (NIGERIA),
AM100,TRANSCORP POWER NIGERIA (NIGERIA),TRANSCORP POWER NIGERIA NIGERIA (NIGERIA),
AM200,TRANSCORP POWER NIGERIA (NIGERIA),TRANSCORP POWER NIGERIA NIGERIA (NIGERIA),
AM300,TRANSCORP POWER NIGERIA (NIGERIA),TRANSCORP POWER NIGERIA NIGERIA (NIGERIA),
AM100,TRUWORTHS INT (SOUTH AFRICA),TRUWORTHS INT SOUTH AFRICA (SOUTH AFRICA),
AM300,TRUWORTHS INT (SOUTH AFRICA),TRUWORTHS INT SOUTH AFRICA (SOUTH AFRICA),
AM200,TSL (ZIMBABWE),TSL ZIMBABWE (ZIMBABWE),
AM300,TSL (ZIMBABWE),TSL ZIMBABWE (ZIMBABWE),
AM100,TSOGO SUN GAMING (SOUTH AFRICA),TSOGO SUN GAMING SOUTH AFRICA (SOUTH AFRICA),
AM200,TSOGO SUN GAMING (SOUTH AFRICA),TSOGO SUN GAMING SOUTH AFRICA (SOUTH AFRICA),
AM300,TSOGO SUN GAMING (SOUTH AFRICA),TSOGO SUN GAMING SOUTH AFRICA (SOUTH AFRICA),
AM200,UCHUMI SUPERMARKETS (KENYA) (KENYA),UCHUMI SUPERMARKETS KENYA,
AM300,UCHUMI SUPERMARKETS (KENYA) (KENYA),UCHUMI SUPERMARKETS KENYA,
AM100,UMEME UGANDA (UGANDA),UMEME UGANDA UGANDA (UGANDA),
AM200,UMEME UGANDA (UGANDA),UMEME UGANDA UGANDA (UGANDA),
AM300,UMEME UGANDA (UGANDA),UMEME UGANDA UGANDA (UGANDA),
AM100,UNILEVER NIGERIA (NIGERIA),UNILEVER NIGERIA NIGERIA (NIGERIA),
AM200,UNILEVER NIGERIA (NIGERIA),UNILEVER NIGERIA NIGERIA (NIGERIA),
AM300,UNILEVER NIGERIA (NIGERIA),UNILEVER NIGERIA NIGERIA (NIGERIA),
AM100,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),UNITED BANK FOR AFRICA NIGERIA NIGERIA (NIGERIA),
AM300,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),UNITED BANK FOR AFRICA NIGERIA NIGERIA (NIGERIA),
AM200,UPDC PLC NIGERIA (NIGERIA),UPDC PLC NIGERIA NIGERIA (NIGERIA),
AM300,UPDC PLC NIGERIA (NIGERIA),UPDC PLC NIGERIA NIGERIA (NIGERIA),
AM100,VODACOM (SOUTH AFRICA),VODACOM SOUTH AFRICA (SOUTH AFRICA),
AM300,VODACOM (SOUTH AFRICA),VODACOM SOUTH AFRICA (SOUTH AFRICA),
AM100,VODACOM TANZANIA (TANZANIA),VODACOM TANZANIA TANZANIA (TANZANIA),
AM200,VODACOM TANZANIA (TANZANIA),VODACOM TANZANIA TANZANIA (TANZANIA),
AM300,VODACOM TANZANIA (TANZANIA),VODACOM TANZANIA TANZANIA (TANZANIA),
AM100,WEMA BANK NIGERIA (NIGERIA),WEMA BANK NIGERIA NIGERIA (NIGERIA),
AM200,WEMA BANK NIGERIA (NIGERIA),WEMA BANK NIGERIA NIGERIA (NIGERIA),
AM300,WEMA BANK NIGERIA (NIGERIA),WEMA BANK NIGERIA NIGERIA (NIGERIA),
AM200,WILLIAMSON TEA KENYA (KENYA),WILLIAMSON TEA KENYA KENYA (KENYA),
AM300,WILLIAMSON TEA KENYA (KENYA),WILLIAMSON TEA KENYA KENYA (KENYA),
AM100,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),WILSON BAYLY HOLMES OVCON SOUTH AFRICA (SOUTH AFRICA),
AM200,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),WILSON BAYLY HOLMES OVCON SOUTH AFRICA (SOUTH AFRICA),
AM300,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),WILSON BAYLY HOLMES OVCON SOUTH AFRICA (SOUTH AFRICA),
AM100,ZENITH BANK NIGERIA (NIGERIA),ZENITH BANK NIGERIA NIGERIA (NIGERIA),
AM300,ZENITH BANK NIGERIA (NIGERIA),ZENITH BANK NIGERIA NIGERIA (NIGERIA),
