HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM200,MANAGEM MOROCCO (MOROCCO),MANAGEM MOROCCO MOROCCO (MOROCCO),
AM300,MANAGEM MOROCCO (MOROCCO),MANAGEM MOROCCO MOROCCO (MOROCCO),
AM200,MARIDIVE & OIL SERVICE (EGYPT) (EGYPT),MARIDIVE & OIL SERVICE EGYPT,
AM300,MARIDIVE & OIL SERVICE (EGYPT) (EGYPT),MARIDIVE & OIL SERVICE EGYPT,
AM100,MAROC TELECOM MOROCCO (MOROCCO),MAROC TELECOM MOROCCO MOROCCO (MOROCCO),
AM200,MAROC TELECOM MOROCCO (MOROCCO),MAROC TELECOM MOROCCO MOROCCO (MOROCCO),
AM300,MAROC TELECOM MOROCCO (MOROCCO),MAROC TELECOM MOROCCO MOROCCO (MOROCCO),
AM100,MARSA MAROC MOROCCO (MOROCCO),MARSA MAROC MOROCCO MOROCCO (MOROCCO),
AM200,MARSA MAROC MOROCCO (MOROCCO),MARSA MAROC MOROCCO MOROCCO (MOROCCO),
AM300,MARSA MAROC MOROCCO (MOROCCO),MARSA MAROC MOROCCO MOROCCO (MOROCCO),
AM100,MCB GROUP LTD MAURITIUS (MAURITIUS),MCB GROUP LTD MAURITIUS MAURITIUS (MAURITIUS),
AM200,MCB GROUP LTD MAURITIUS (MAURITIUS),MCB GROUP LTD MAURITIUS MAURITIUS (MAURITIUS),
AM300,MCB GROUP LTD MAURITIUS (MAURITIUS),MCB GROUP LTD MAURITIUS MAURITIUS (MAURITIUS),
AM200,MKOMBOZI COMMERCIAL BANK (TANZANIA) (TANZANIA),MKOMBOZI COMMERCIAL BANK TANZANIA,
AM300,MKOMBOZI COMMERCIAL BANK (TANZANIA) (TANZANIA),MKOMBOZI COMMERCIAL BANK TANZANIA,
AM200,MOBILE TELECOMMUNICATIONS (NAMIBIA),MOBILE TELECOMMUNICATIONS NAMIBIA (NAMIBIA),
