Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,14727598.995587306,4.14371649736592,86,14727598.995587306,14727598.995587306,2945519.7991174613,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,14727598.995587306,24.0,True,2020-07-31
VODACOM (SOUTH AFRICA),OK,13557702.71222098,7.089757074187864,86,13557702.71222098,13557702.71222098,2711540.542444196,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,13557702.71222098,25.0,True,2020-07-31
BIDVEST (SOUTH AFRICA),OK,13505822.909333391,8.190557908236228,86,13505822.909333391,13505822.909333391,2701164.5818666783,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,13505822.909333391,26.0,True,2020-07-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,13493876.836014638,8.275323608919889,86,13493876.836014638,13493876.836014638,2698775.367202928,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,13493876.836014638,27.0,True,2020-07-31
MR PRICE (SOUTH AFRICA),OK,13181428.036811018,8.245915100519436,86,13181428.036811018,13181428.036811018,2636285.6073622038,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,13181428.036811018,28.0,True,2020-07-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,12957017.14378901,6.700526815946563,86,12957017.14378901,12957017.14378901,2591403.428757802,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,12957017.14378901,29.0,True,2020-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,12263026.670639876,6.149838080212572,86,12263026.670639876,12263026.670639876,2452605.334127975,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,12263026.670639876,30.0,True,2020-07-31
KUMBA IRON ORE (SOUTH AFRICA),OK,12208643.751576452,26.7040789024514,86,12208643.751576452,12208643.751576452,2441728.7503152904,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,12208643.751576452,31.0,True,2020-07-31
MONDI (SOUTH AFRICA),OK,12101128.066827022,18.64268777620932,86,12101128.066827022,12101128.066827022,2420225.6133654043,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,12101128.066827022,32.0,True,2020-07-31
OLD MUTUAL (SOUTH AFRICA),OK,11576987.299051197,0.5939365422052462,86,11576987.299051197,11576987.299051197,2315397.4598102397,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,11576987.299051197,33.0,True,2020-07-31
EXXARO RESOURCES (SOUTH AFRICA),OK,10468216.78893867,7.290426896214492,86,10468216.78893867,10468216.78893867,2093643.357787734,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,10468216.78893867,34.0,True,2020-07-31
