Rank,Company,Country,Liquidity,AvgDailyValue30d
62.0,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),NIGERIA,87342128.59990369,217750459.1133333
63.0,EXXARO RESOURCES (SOUTH AFRICA),SOUTH AFRICA,86943160.41448888,161671166.06
64.0,EFG HOLDING EGYPT (EGYPT),EGYPT,82074616.19292629,204618156.71366665
65.0,TIGER BRANDS (SOUTH AFRICA),SOUTH AFRICA,81975245.528,152433307.8
66.0,BUA FOODS NIGERIA (NIGERIA),NIGERIA,78987396.2677111,196921486.54
67.0,KUMBA IRON ORE (SOUTH AFRICA),SOUTH AFRICA,75729058.84557036,140818497.85333332
68.0,INVESTEC (SOUTH AFRICA),SOUTH AFRICA,71771982.15554073,133460297.39666668
69.0,KCB GROUP KENYA (KENYA),KENYA,66963659.561166644,136660529.71666664
70.0,TRUWORTHS INT (SOUTH AFRICA),SOUTH AFRICA,66292833.718385175,123271798.23666666
71.0,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),SOUTH AFRICA,65830170.08039998,122411473.28999999
72.0,FAWRY EGYPT (EGYPT),EGYPT,64929368.366835184,161873771.55166668
73.0,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),NIGERIA,63320146.468312584,157861861.00133333
74.0,FOSCHINI (SOUTH AFRICA),SOUTH AFRICA,60382443.83746666,112281403.83
75.0,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),NIGERIA,59787038.632129624,149053558.91666666
76.0,GUINNESS NIGERIA (NIGERIA),NIGERIA,57933954.377414815,144433681.27333334
77.0,BELTONE HOLDING EGYPT (EGYPT),EGYPT,57890606.09520407,144325610.76366666
78.0,ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,49429619.395663895,123231738.10553327
79.0,UNILEVER NIGERIA (NIGERIA),NIGERIA,47937925.08959259,119512832.63333334
80.0,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),NIGERIA,44056932.52834444,109837227.91
81.0,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,43384512.73349963,108160835.06966667
82.0,SPAR (SOUTH AFRICA),SOUTH AFRICA,40838765.98445925,75939854.10333332
83.0,INTERNATIONAL BREWERIES NIGERIA (NIGERIA),NIGERIA,35777608.345492125,89196253.49291666
84.0,AVI (SOUTH AFRICA),SOUTH AFRICA,35419920.60411852,65863488.726666674
85.0,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),EGYPT,34683006.654544055,86467329.60966663
86.0,LIFE HEALTHCARE (SOUTH AFRICA),SOUTH AFRICA,33912388.56296296,63060226.666666664
