Date,InvestableCapacityUSD
2016-10-31,210153381.04509634
2017-01-31,174613739.96863264
2017-04-30,213073600.3282514
2017-07-31,215336219.64486945
2017-10-31,211702366.81850824
2018-01-31,253071136.16116357
2018-04-30,263331438.88634294
2018-07-31,221233265.11785942
2018-10-31,202415678.02820262
2019-01-31,168085352.95242915
2019-04-30,193047708.55679223
2019-07-31,415803123.23662144
2019-10-31,278889913.93047553
2020-01-31,295998583.3928463
2020-04-30,373263036.54973704
2020-07-31,555576539.5019516
2020-10-31,209462573.54488274
2021-01-31,399513570.43271446
2021-04-30,446619193.98364383
2021-07-31,521049489.59564775
2021-10-31,536116584.23875576
2022-01-31,578479505.4057574
2022-04-30,754253767.5805805
2022-07-31,584832141.5195221
2022-10-31,293793534.9279113
2023-01-31,315766849.6202985
2023-04-30,345790017.6627754
2023-07-31,433272707.3782242
2023-10-31,251258523.55215213
2024-01-31,277002141.5125895
2024-04-30,247719587.55364498
2024-07-31,201998036.81131098
2024-10-31,189215756.6953384
2025-01-31,181145781.5402165
2025-04-30,227397656.42919216
2025-07-31,210710840.61665562
2025-10-31,249948367.92020565
2026-01-31,250649691.31669685
