Date,OriginalPrice,SanitizedPrice,Action,ReturnIn,ReturnOut,Company
2021-09-27,11.96,2.99,scaled_forward_regime_by_0.25,2.6024096385542173,-0.09698996655518399,AXA MANSARD NIGERIA (NIGERIA)
2018-10-15,1.85,3.7,scaled_forward_regime_by_2,-0.5256410256410255,0.09729729729729719,CUTIX PLC NIGERIA (NIGERIA)
2021-11-15,6.0,12.0,scaled_forward_regime_by_2,-0.4642857142857143,0.08333333333333326,CUTIX PLC NIGERIA (NIGERIA)
2024-08-19,10.56,21.12,scaled_forward_regime_by_2,-0.4666666666666667,0.0984848484848484,CUTIX PLC NIGERIA (NIGERIA)
2024-10-28,48.6,12.15,scaled_forward_regime_by_0.25,3.3981900452488683,-0.07407407407407407,TRANSCORP PLC NIGERIA (NIGERIA)
2022-03-30,2.76,0.69,scaled_forward_regime_by_0.25,1.9999999999999996,-0.010869565217391242,WEMA BANK NIGERIA (NIGERIA)
2020-07-22,50.0,100.0,scaled_forward_regime_by_2,-0.4444444444444444,0.0,I&M BANK RWANDA (RWANDA)
2017-06-27,35500.0,71000.0,scaled_forward_regime_by_2,-0.5,0.0,BANK OF AFRICA SENEGAL (SENEGAL)
2017-10-30,6000.0,60000.0,scaled_forward_regime_by_10,-0.9016393442622951,-0.033333333333333326,BANK OF AFRICA SENEGAL (SENEGAL)
2017-11-02,1700.0,17000.0,scaled_forward_regime_by_10,-0.89375,0.0,TOTALENERGIES MARKETING SENEGAL (SENEGAL)
2025-07-07,1.77,177.0,scaled_forward_regime_by_100,-0.9901178047010217,-0.0034463276836159684,AFRICAN RAINBOW MINERALS (SOUTH AFRICA)
2020-03-20,963.41,481.705,scaled_forward_regime_by_0.5,0.4215877231813485,-0.0476536469415928,CAPITEC BANK (SOUTH AFRICA)
2025-07-07,1.42,142.0,scaled_forward_regime_by_100,-0.9898549689219118,0.003098591549295815,MTN GROUP (SOUTH AFRICA)
2021-05-04,64.57,129.14,scaled_forward_regime_by_2,-0.46960735994742897,-0.008827628929843456,BIAT TUNISIA (TUNISIA)
2025-08-01,14.17,28.34,scaled_forward_regime_by_2,-0.5008805917576611,-0.019054340155257532,DÉLICE HOLDING TUNISIA (TUNISIA)
2022-01-03,8.84,17.68,scaled_forward_regime_by_2,-0.3640287769784173,-0.02149321266968318,ONE TECH HOLDING TUNISIA (TUNISIA)
2022-02-28,15000.0,30000.0,scaled_forward_regime_by_2,-0.5,0.0,BRITISH AMERICAN TOBACCO UGANDA (UGANDA)
2019-04-01,1980.8,990.4,scaled_forward_regime_by_0.5,0.6820652173913044,0.0,CENTUM INVESTMENT UG (UGANDA)
2019-04-03,586.71,1173.42,scaled_forward_regime_by_2,-0.40760298869143774,0.0,CENTUM INVESTMENT UG (UGANDA)
2023-12-18,1.0,2.0,scaled_forward_regime_by_2,-0.5,0.0,FIRST CAPITAL BANK (ZIMBABWE)
2023-12-29,4.0,2.0,scaled_forward_regime_by_0.5,1.0,0.0,FIRST CAPITAL BANK (ZIMBABWE)
2024-01-10,1.0,2.0,scaled_forward_regime_by_2,-0.5,0.0,FIRST CAPITAL BANK (ZIMBABWE)
2024-01-18,4.0,2.0,scaled_forward_regime_by_0.5,1.0,0.0,FIRST CAPITAL BANK (ZIMBABWE)
2020-02-17,4.0,2.0,scaled_forward_regime_by_0.5,1.0512820512820515,0.0,HIPPO VALLEY ESTATES (ZIMBABWE)
2023-10-02,18.0,36.0,scaled_forward_regime_by_2,-0.4170248185489748,0.0,PADENGA HOLDINGS (ZIMBABWE)
2023-10-02,40.0,200.0,scaled_forward_regime_by_5,-0.8405858152461335,-0.025000000000000022,SIMBISA BRANDS (ZIMBABWE)
2024-04-10,0.02,0.01,scaled_forward_regime_by_0.5,0.478743068391867,0.0,STARAFRICACORPORATION (ZIMBABWE)
2024-04-22,0.001,0.002,scaled_price_point,-0.5004995004995005,0.7765,STARAFRICACORPORATION (ZIMBABWE)
2024-04-25,0.0032645,0.00163225,scaled_forward_regime_by_0.5,0.4508888888888891,0.025578189615561353,STARAFRICACORPORATION (ZIMBABWE)
2024-10-04,0.00623,0.003115,scaled_forward_regime_by_0.5,0.44875297947793724,-0.01930176565008035,STARAFRICACORPORATION (ZIMBABWE)
2025-05-02,0.0025,0.005,scaled_forward_regime_by_2,-0.46064022005879024,0.10040000000000004,STARAFRICACORPORATION (ZIMBABWE)
