Strategy,AM100,AM200,AM300,Expected Return,Expected Volatility,Expected Sharpe
Optimized Max Sharpe,0.05984458190894462,0.8810903462942028,0.059065071796852435,0.2208544022374346,0.07365033864254243,2.7271348094170973
High Risk,0.0,1.0,5.551115123125783e-17,0.22692443112898836,0.07689211799960802,2.691100681217329
