Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),OK,136090205.4723274,40.6705997237473,86,86,136090205.4723274,136090205.4723274,27218041.094465483,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,136090205.4723274,1.0,True,2024-07-31
FIRSTRAND (SOUTH AFRICA),OK,71230575.15953735,4.383787170268232,86,86,71230575.15953735,71230575.15953735,14246115.031907469,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,71230575.15953735,2.0,True,2024-07-31
CAPITEC BANK (SOUTH AFRICA),OK,46493902.03751482,149.8696550147618,86,86,46493902.03751482,46493902.03751482,9298780.407502964,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,46493902.03751482,3.0,True,2024-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,45736598.849971615,32.86415219323323,86,86,45736598.849971615,45736598.849971615,9147319.769994324,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,45736598.849971615,4.0,True,2024-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,44470706.90498788,12.01750550538681,86,86,44470706.90498788,44470706.90498788,8894141.380997576,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,44470706.90498788,5.0,True,2024-07-31
PROSUS (SOUTH AFRICA),OK,43868390.68076656,37.08889168853334,86,86,43868390.68076656,43868390.68076656,8773678.136153312,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,43868390.68076656,6.0,True,2024-07-31
ABSA (SOUTH AFRICA),OK,39660608.34468321,9.03265379881666,86,86,39660608.34468321,39660608.34468321,7932121.668936642,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,39660608.34468321,7.0,True,2024-07-31
GOLD FIELDS (SOUTH AFRICA),OK,37389341.34683706,15.58667214687568,86,86,37389341.34683706,37389341.34683706,7477868.269367412,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,37389341.34683706,8.0,True,2024-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,29643117.630126588,26.20980269537353,86,86,29643117.630126588,29643117.630126588,5928623.526025318,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,29643117.630126588,9.0,True,2024-07-31
BHP (SOUTH AFRICA),OK,26553465.495345216,29.71740249493926,86,86,26553465.495345216,26553465.495345216,5310693.099069044,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,26553465.495345216,10.0,True,2024-07-31
MTN GROUP (SOUTH AFRICA),OK,26392287.27920528,4.842118104584962,86,86,26392287.27920528,26392287.27920528,5278457.455841057,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,26392287.27920528,11.0,True,2024-07-31
BID CORPORATION (SOUTH AFRICA),OK,25449086.00206254,24.22028159989419,86,86,25449086.00206254,25449086.00206254,5089817.200412508,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,25449086.00206254,12.0,True,2024-07-31
BID CORP (SOUTH AFRICA),OK,25449086.00206254,24.22028159989419,86,86,25449086.00206254,25449086.00206254,5089817.200412508,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,25449086.00206254,13.0,True,2024-07-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,24734294.91055911,5.174465038299705,86,86,24734294.91055911,24734294.91055911,4946858.982111822,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,24734294.91055911,14.0,True,2024-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,23870761.797162157,16.19150936243544,86,86,23870761.797162157,23870761.797162157,4774152.359432432,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,23870761.797162157,15.0,True,2024-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,22257474.612322725,32.01931830684343,86,86,22257474.612322725,22257474.612322725,4451494.922464545,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,22257474.612322725,16.0,True,2024-07-31
SANLAM (SOUTH AFRICA),OK,21471765.26519738,4.612952637426597,86,86,21471765.26519738,21471765.26519738,4294353.053039476,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,21471765.26519738,17.0,True,2024-07-31
BIDVEST (SOUTH AFRICA),OK,21057006.417987287,16.21488195983219,86,86,21057006.417987287,21057006.417987287,4211401.283597457,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,21057006.417987287,18.0,True,2024-07-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,17735576.881389894,9.579914615911266,86,86,17735576.881389894,17735576.881389894,3547115.376277979,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,17735576.881389894,19.0,True,2024-07-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,15707918.503045714,1.067728656685617,83,83,15707918.503045714,15707918.503045714,3141583.700609143,30,,,,,2024-07-31,2024-06-30,2024-07-31,SOUTH AFRICA,HIGH,15707918.503045714,20.0,True,2024-07-31
