Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
SHOPRITE HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,39939926.95935663,21670663.492435716,AM100-scale,17.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
GLENCORE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,35462804.919896156,13359267.776604258,AM100-scale,18.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SANLAM (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,32594194.65685567,22001601.340382602,AM100-scale,19.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
DISCOVERY HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,31105338.151399925,13771072.290945556,AM100-scale,20.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BID CORP (SOUTH AFRICA),0.6515921862456516,2016-01-06,2026-03-25,0,27,31024925.583677128,18778791.298067898,AM100-scale,21.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BID CORPORATION (SOUTH AFRICA),0.6521273748996521,2016-01-06,2026-03-25,0,27,31021453.14736943,18786444.83849321,AM100-scale,22.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BHP (SOUTH AFRICA),0.27187583623227185,2022-01-02,2026-03-25,0,21,29138757.262763787,19829987.865475196,AM100-scale,23.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
VODACOM (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,24752259.179198448,14616212.70411121,AM100-scale,24.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MR PRICE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,24158305.159183566,16391904.888841558,AM100-scale,25.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
OLD MUTUAL (SOUTH AFRICA),0.6783516189456783,2016-01-02,2026-03-25,0,13,22631529.08727516,12392552.719992293,AM100-scale,26.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
PEPKOR HOLDINGS LTD (SOUTH AFRICA),0.5691731335295692,2017-09-21,2026-03-25,0,5,22092089.02807918,8277978.336575458,AM100-scale,27.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
REINET INVEST (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,19711432.579887245,21512261.70926387,AM100-scale,28.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
CLICKS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,18542584.660991397,12633956.758069849,AM100-scale,29.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
REMGRO (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,15874228.188808812,11093838.752422186,AM100-scale,30.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BIDVEST (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,14875687.357310891,13876194.608398912,AM100-scale,31.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
GROWTHPOINT PROPERTIES (SOUTH AFRICA),0.6791544019266792,2016-01-02,2026-03-25,0,10,14582361.243707558,10614645.53240217,AM100-scale,32.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,13671422.21583491,7240169.7859953055,AM100-scale,33.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MONDI (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,13668139.309598295,12514564.329985233,AM100-scale,34.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
WOOLWORTHS HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,13507559.666567598,15859958.747581923,AM100-scale,35.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
OUTSURANCE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,13438352.141645374,4074269.1392476493,AM100-scale,36.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
THUNGELA RESOURSES (SOUTH AFRICA),0.3211131924003211,2021-06-08,2026-03-25,0,5,13361101.962875212,5922935.762385911,AM100-scale,37.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
EXXARO RESOURCES (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,12181486.400326421,8991202.128651684,AM100-scale,38.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
TIGER BRANDS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,11428667.853954714,9684120.41745283,AM100-scale,39.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
KUMBA IRON ORE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,9347740.308044428,9758129.095744045,AM100-scale,40.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,9067034.617749425,16471696.027473433,AM100-scale,41.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ATTIJARIWAFA BANK MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,9014571.466969794,2679984.5877460046,AM100-scale,42.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
INVESTEC (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,8790363.628837423,6739813.784988252,AM100-scale,43.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
TRUWORTHS INT (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,8730873.875959832,9927725.758098863,AM100-scale,44.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,8464703.737922912,6133611.706511894,AM100-scale,45.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
FOSCHINI (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,8223691.816368327,12639753.971458832,AM100-scale,46.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),0.6435643564356436,2016-03-29,2026-03-25,0,10,6765602.98304883,2431299.5782284057,AM100-scale,47.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
REDEFINE PROPERTIES (SOUTH AFRICA),0.6791544019266792,2016-01-02,2026-03-25,0,10,6112329.852007778,5943217.005563269,AM100-scale,48.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SPAR (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,5705589.027546317,7850227.871470629,AM100-scale,49.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,4721700.247164531,1511896.799323722,AM100-scale,50.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
FAWRY EGYPT (EGYPT),0.42734814021942735,2019-08-14,2026-03-25,0,10,4308676.649760147,2034391.3750857937,AM100-scale,52.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
ABU QIR FERTILIZERS EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,4279005.046663366,1008327.8758154464,AM100-scale,53.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MARSA MAROC MOROCCO (MOROCCO),0.6406208188386406,2016-07-19,2026-03-25,0,7,4193386.225799664,1157780.9927278054,AM100-scale,55.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
AVI (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,4142179.0313473763,4928598.837348444,AM100-scale,57.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MAROC TELECOM MOROCCO (MOROCCO),0.6604227990366605,2016-03-29,2026-03-25,0,9,4071760.796789723,1737953.2748912394,AM100-scale,58.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ZENITH BANK NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,3637150.067493614,1322345.0874569095,AM100-scale,60.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
LIFE HEALTHCARE (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,3585751.591501316,4315697.036323919,AM100-scale,61.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
EGYPT ALUMINIUM (EGYPT),0.6435643564356436,2016-03-29,2026-03-25,0,10,3299735.132662445,534279.3197697616,AM100-scale,64.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
EFG HOLDING EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,3179425.037606678,3032419.9552547457,AM100-scale,65.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,2906019.1279851785,1496633.68752025,AM100-scale,67.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
TELECOM EGYPT (EGYPT),0.6435643564356436,2016-03-29,2026-03-25,0,10,2661473.155086032,1094964.705313792,AM100-scale,68.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BELTONE HOLDING EGYPT (EGYPT),0.6424939791276425,2016-03-29,2026-03-25,0,10,2452922.5865562507,1708292.0233717994,AM100-scale,71.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SANTAM (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,2331053.7843746897,1013254.6813708452,AM100-scale,73.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
RAYA HOLDING EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,2172860.045346218,312778.9176611721,AM100-scale,74.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
QUILTER (SOUTH AFRICA),0.5132459191865133,2018-01-08,2026-03-25,0,27,2171406.888146311,3727380.6130346833,AM100-scale,75.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
EQUITY GROUP HOLDINGS KENYA (KENYA),0.6644367139416645,2016-03-29,2026-03-25,0,6,2141182.6535188425,757721.6691783092,AM100-scale,77.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,1979564.607079348,744462.9437798519,AM100-scale,79.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
EASTERN TOBACCO EGYPT (EGYPT),0.643029167781643,2016-03-29,2026-03-25,0,10,1911088.9016497405,1121442.9444746647,AM100-scale,81.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
PSG KONSULT (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1822826.481107702,356425.64921331895,AM100-scale,84.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1818957.398970406,786658.5244184233,AM100-scale,85.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
SAFARICOM KENYA (KENYA),0.6622959593256623,2016-03-29,2026-03-25,0,6,1742790.3184131437,1920333.4026436757,AM100-scale,86.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,1638557.2791820392,476057.5705010935,AM100-scale,89.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,1608936.0954456467,1858562.1237128354,AM100-scale,90.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
NINETY ONE (SOUTH AFRICA),0.3976451699223976,2020-01-04,2026-03-25,0,23,1600123.9306600722,1264469.8636399107,AM100-scale,91.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016; below_am300_coverage
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,1515305.3563582122,1462456.430337608,AM100-scale,92.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BLUE LABEL TELECOMS (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1500568.2396029606,827346.0651470408,AM100-scale,93.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
RAUBEX (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1407055.0312855274,471481.2868912158,AM100-scale,97.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,1400253.8209073155,1324623.93267713,AM100-scale,99.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
KCB GROUP KENYA (KENYA),0.6641691196146642,2016-03-29,2026-03-25,0,6,1006445.0304602381,600137.5019767985,AM100-scale,104.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
FIRST HOLDCO NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,857041.3092914413,496158.35830409406,AM200-scale,107.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
TAQA MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,798907.4341727466,354332.1891638946,AM200-scale,108.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
CIH BANK (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,547740.5243168876,224802.01162468625,AM200-scale,120.0,True,True,True,Included AM100,coverage_below_95pct; starts_after_2016
MTN NIGERIA (NIGERIA),0.45303719561145306,2019-05-15,2026-03-24,0,5,3546882.0696013435,920681.9765103657,AM100-scale,62.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; below_am300_coverage
BANK OF AFRICA MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,2170583.99377397,483228.55976234155,AM100-scale,76.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
MANAGEM MOROCCO (MOROCCO),0.6609579876906609,2016-03-29,2026-03-25,0,7,1940802.8231262863,319722.81909745425,AM100-scale,80.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
GB AUTO EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,1887197.4971021179,718851.4429615338,AM100-scale,82.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
IBNSINA PHARMA (EGYPT),0.48033181696548033,2018-10-14,2026-03-25,0,10,1685053.061146595,782919.1986310069,AM100-scale,87.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; below_am300_coverage
ALEXANDRIA CONTAINERS AND GOODS (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,1439320.8944536687,324007.3975661646,AM100-scale,95.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
COSUMAR MOROCCO (MOROCCO),0.6612255820176612,2016-03-29,2026-03-25,0,7,1138570.6139973574,711293.8863606569,AM100-scale,101.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
CIMENTS DU MAROC MOROCCO (MOROCCO),0.6601552047096602,2016-03-29,2026-03-25,0,7,1087684.383627134,566698.817480304,AM100-scale,102.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
PPC (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1046203.8622233019,1010394.917256473,AM100-scale,103.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
JUHAYNA FOOD INDUSTRIES (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,721017.8980290447,527157.8849403424,AM200-scale,110.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
CRDB BANK PLC TANZANIA (TANZANIA),0.6585496387476586,2016-03-29,2026-03-25,0,5,684514.6902876692,89775.1442422777,AM200-scale,112.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
GRINDROD (SOUTH AFRICA),0.6786192132726786,2016-01-02,2026-03-25,0,13,675096.3120901331,510369.59116842825,AM200-scale,114.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
ARABIAN CEMENT COMPANY (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,617810.2726651649,300783.7449118229,AM200-scale,115.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
MCB GROUP LTD MAURITIUS (MAURITIUS),0.6577468557666577,2016-03-31,2026-03-25,0,18,608867.1262152832,489756.2147055242,AM200-scale,116.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
SONATEL SENEGAL (SENEGAL),0.6622959593256623,2016-03-29,2026-03-25,0,6,556792.2241378188,382354.04205477145,AM200-scale,117.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
EDITA FOOD INDUSTRIES COMPANY (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,465358.92073693324,338047.49172926106,AM300-scale,124.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
MTN GHANA (GHANA),0.4947819106234948,2018-09-05,2026-03-24,0,5,389480.4337004635,98879.56289867013,AM300-scale,127.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; below_am300_coverage
EMAAR MISR EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,270928.89642807917,956799.4835988309,AM300-scale,134.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),0.6438319507626439,2016-03-29,2026-03-25,0,10,4146204.6021947027,767743.1719678129,AM100-scale,56.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),0.6435643564356436,2016-03-29,2026-03-25,0,10,2460867.9855943765,898055.0449837348,AM100-scale,70.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
INNSCOR AFRICA (ZIMBABWE),0.6058335563286058,2016-03-24,2026-03-20,2,224,1489939.2862985225,29784806.81939997,AM100-scale,94.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,1419710.093716647,502963.00192603434,AM100-scale,96.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
PADENGA HOLDINGS (ZIMBABWE),0.5796093122825796,2016-03-30,2026-03-20,2,348,1404389.8256828685,2803531.801698945,AM100-scale,98.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_coverage
LAFARGE AFRICA NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,921249.5586411518,198012.96929568876,AM200-scale,106.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
TSOGO SUN GAMING (SOUTH AFRICA),0.6791544019266792,2016-01-02,2026-03-25,0,10,748892.9836665675,892987.1836505915,AM200-scale,109.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
SEPLAT ENERGY NIGERIA (NIGERIA),0.6601552047096602,2016-03-29,2026-03-24,0,5,720342.2568896454,218935.568815914,AM200-scale,111.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
DELTA CORPORATION LIMITED (ZIMBABWE),0.6542681295156543,2016-04-11,2026-03-25,1,38,675113.4085913355,237566749.60199007,AM200-scale,113.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps
NIGERIAN BREWERIES (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,555378.6953564619,446859.1002988841,AM200-scale,118.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
EXPORT DEVELOPMENT BANK OF (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,404054.63369941706,194846.6386910859,AM300-scale,125.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
EL SEWEDY ELECTRIC (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,390171.46465974906,1609088.9389053048,AM300-scale,126.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
AMEN BANK TUNISIA (TUNISIA),0.6109178485416109,2016-03-29,2026-03-25,2,63,299716.2924327531,51205.64587343149,AM300-scale,132.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps
EAST AFRICAN BREWERIES KENYA (KENYA),0.6617607706716617,2016-03-29,2026-03-25,0,6,280478.1137763406,374347.49781982,AM300-scale,133.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
FCMB GROUP NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,247777.06477153822,91310.98317300597,AM300-scale,136.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
FIDELITY BANK NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,233269.52488025316,162373.811045787,AM300-scale,138.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016
SOCIETE FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),0.6170725180626171,2016-03-29,2026-03-25,2,63,191392.62774445428,164323.31285830194,Below AM300-scale,144.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
ATTIJARI BANK TUNISIA (TUNISIA),0.6165373294086165,2016-03-29,2026-03-25,2,63,173844.1808611004,82799.65478604907,Below AM300-scale,148.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
POULINA GROUP HOLDING TUNISIA (TUNISIA),0.6018196414236018,2016-03-29,2026-03-25,2,63,167250.85799580868,44362.942334257496,Below AM300-scale,151.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
BIAT TUNISIA (TUNISIA),0.6168049237356168,2016-03-29,2026-03-25,2,63,136837.23767450315,101264.0779258842,Below AM300-scale,158.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,133250.9611163942,140046.51381344182,Below AM300-scale,160.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; below_am300_scale
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,95061.27407402072,17408.26720451696,Below AM300-scale,170.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; below_am300_scale
GCB BANK PLC GHANA (GHANA),0.6491838373026492,2016-03-29,2026-03-24,0,6,37017.44293295614,8780.895860636678,Below AM300-scale,196.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; below_am300_scale
FIRST CAPITAL BANK (ZIMBABWE),0.6162697350816163,2016-03-30,2026-03-20,2,143,19098.136494164304,1401441.4018269505,Below AM300-scale,218.0,False,False,True,Included AM300,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
NEDBANK LIMITED (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,44145814.308300346,20385483.78191072,AM100-scale,16.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
MOTUS HOLDINGS (SOUTH AFRICA),0.49023280706449024,2018-11-23,2026-03-25,0,5,4468252.008867114,2591870.7845369563,AM100-scale,51.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_coverage
NETCARE LTD (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,4202509.474053878,5724713.796969234,AM100-scale,54.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
HYPROP INVESTMENTS LTD (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,3741738.918187165,2884157.73759145,AM100-scale,59.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
ARADEL HOLDINGS NIGERIA (NIGERIA),0.09526358041209526,2024-10-15,2026-03-24,0,5,3389150.2665192103,1206953.014106788,AM100-scale,63.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_coverage
PICK N PAY STORES (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,3003683.3944519702,4998789.989919833,AM100-scale,66.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
DISCHEM PHARMACIES (SOUTH AFRICA),0.6192132726786193,2016-01-12,2026-03-25,6,90,2544173.674088143,1927710.7816205043,AM100-scale,69.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
AECI (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,2373443.7831102517,1358022.4098796127,AM100-scale,72.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
OMNIA HOLDINGS LTD (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,2002356.5314062869,899635.7522891226,AM100-scale,78.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
DANGOTE CEMENT NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,1831138.0889420568,472036.24674547225,AM100-scale,83.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
SUN INTERNATIONAL LTD (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,1646466.243596478,641823.3557172021,AM100-scale,88.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
CORONATION (NAMIBIA),0.6786192132726786,2016-01-02,2026-03-25,0,13,1169007.3391622067,2634810.857043785,AM100-scale,100.0,False,False,False,Excluded,excluded_collective_investment_security; coverage_below_95pct; starts_after_2016
DOUJA PROMOTION GROUPE ADDOHA SA (MOROCCO),0.6588172330746588,2016-04-11,2026-03-25,0,7,973697.3843803427,838356.4109487261,AM200-scale,105.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
KAP LTD (SOUTH AFRICA),0.683971099812684,2016-01-04,2026-03-25,0,5,554437.29773388,947884.1356543507,AM200-scale,119.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
NESTLE NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,540453.7298176092,427413.6802919074,AM200-scale,121.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
OANDO PLC NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,503248.98569972184,99914.09565889275,AM200-scale,122.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
PRESCO PLC NIGERIA (NIGERIA),0.6601552047096602,2016-03-29,2026-03-24,0,5,499134.6778085769,91494.31728970376,AM300-scale,123.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
OKOMU OIL PALM NIGERIA (NIGERIA),0.6604227990366605,2016-03-29,2026-03-24,0,5,387170.4923012154,60834.5380327978,AM300-scale,128.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016
