Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
TOTALENERGIES MARKETING KENYA (KENYA),0.6622959593256623,2016-03-29,2026-03-25,0,6,8098.162196684996,2379.3149043676362,Below AM300-scale,252.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
LUX ISLAND RESTORTS MAURITIUS (MAURITIUS),0.6553385068236554,2016-03-31,2026-03-25,0,18,8002.834851635217,22393.175685673243,Below AM300-scale,253.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
SASINI KENYA (KENYA),0.6606903933636606,2016-04-11,2026-03-25,0,6,7791.086571311784,1803.7257069739635,Below AM300-scale,254.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ECOBANK TRANSITIONAL INC GHANA (GHANA),0.6526625635536527,2016-03-29,2026-03-24,0,7,7441.253690385372,1037.9750608533286,Below AM300-scale,255.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
AIRTEL MALAWI (MALAWI),0.4037998394434038,2020-02-21,2026-03-25,0,5,7243.813159508594,10737.072533985862,Below AM300-scale,256.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
MTN RWANDA (RWANDA),0.3213807867273214,2021-05-04,2026-03-25,0,7,6781.770070859745,1466.6540505798605,Below AM300-scale,257.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
UCHUMI SUPERMARKETS KENYA (KENYA),0.6614931763446615,2016-04-11,2026-03-25,0,6,6614.408559869854,876.3725373046153,Below AM300-scale,258.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
TANGA CEMENT TANZANIA (TANZANIA),0.6465078940326465,2016-03-29,2026-03-25,1,75,6538.312068046595,3359.705147182716,Below AM300-scale,259.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
GOIL PLC (GHANA),0.647043082686647,2016-04-12,2026-03-25,0,12,6502.011359118566,2484.7049358154936,Below AM300-scale,260.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
TRANSCORP HOTELS NIGERIA (NIGERIA),0.6596200160556597,2016-03-29,2026-03-24,0,5,6090.405586943391,1566.4481095673495,Below AM300-scale,261.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
VODACOM TANZANIA (TANZANIA),0.5678351618945678,2017-08-15,2026-03-25,0,5,6052.858809766375,1346.9075563051458,Below AM300-scale,262.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
SWISSPORT TANZANIA (TANZANIA),0.6561412898046561,2016-04-11,2026-03-25,0,5,6027.999517747124,1992.122961469141,Below AM300-scale,263.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ACCESS BANK GHANA (GHANA),0.6069039336366069,2016-12-20,2026-03-24,0,6,5791.654450911879,1294.77164932411,Below AM300-scale,264.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
BANK OF BARODA UGANDA (UGANDA),0.6422263848006422,2016-04-12,2026-03-25,0,26,5611.40278143089,1798.241840665446,Below AM300-scale,265.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
NATION MEDIA GROUP KENYA (KENYA),0.6617607706716617,2016-04-11,2026-03-25,0,6,5449.64604905346,12780.1430905752,Below AM300-scale,266.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CHILANGA CEMENT ZAMBIA (ZAMBIA),0.6465078940326465,2016-03-29,2026-03-25,0,8,5233.502017263255,3323.5685216500983,Below AM300-scale,267.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
TSL (ZIMBABWE),0.6358041209526358,2016-04-26,2026-03-20,2,38,5034.233868114455,1645416.9219865014,Below AM300-scale,268.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
ENL LIMITED MAURITIUS (MAURITIUS),0.47337436446347336,2019-01-23,2026-03-25,0,18,4459.8812782055375,27859.310181131394,Below AM300-scale,269.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),0.5255552582285256,2016-01-02,2026-03-25,7,398,4223.350430937587,16206.65866836303,Below AM300-scale,270.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale; below_am300_coverage
ZAMBEEF PRODUCTS (ZAMBIA),0.6411560074926411,2016-04-22,2026-03-25,0,25,4085.877296021777,1978.2083822192894,Below AM300-scale,271.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
BRALIRWA RWANDA (RWANDA),0.6427615734546428,2016-03-30,2026-03-25,0,10,3997.665375816217,4508.290323338606,Below AM300-scale,272.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
TELEKOM NETWORKS MALAWI (MALAWI),0.6497190259566498,2016-04-11,2026-03-25,0,8,3975.989499870225,9006.696178534785,Below AM300-scale,273.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
MAENDELEO BANK TANZANIA (TANZANIA),0.633930960663634,2016-08-11,2026-03-25,0,5,3953.284677934521,375.1632507986589,Below AM300-scale,274.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
