Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1998157760.1999998,706.34,90,0.7,4077872980.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,1998157760.1999998,5.0,1.0,True,2021-03-31
PPC (SOUTH AFRICA),1581784026.6666663,240.0,90,0.7,3228130666.6666665,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,1581784026.6666663,5.0,2.0,True,2021-03-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),554248660.9337331,32.85,90,0.7333333333333333,1030627675.2899998,,,22.0,2021-03-31,NIGERIA,MID,554248660.9337331,5.0,3.0,True,2021-03-31
PROSUS (SOUTH AFRICA),439461011.0184,752.42,90,0.7,896859206.1600001,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,439461011.0184,2.017643373588659,4.0,True,2021-03-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),433405754.59999996,273.73,90,0.7,884501540.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,433405754.59999996,1.989842618387071,5.0,True,2021-03-31
SIBANYE STILLWATER (SOUTH AFRICA),429794667.0966666,65.0,90,0.7,877131973.6666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,429794667.0966666,1.9732634757785714,6.0,True,2021-03-31
ZENITH BANK NIGERIA (NIGERIA),422053958.33219254,22.55,90,0.7333333333333333,784811079.5433334,,,22.0,2021-03-31,NIGERIA,MID,422053958.33219254,5.0,7.0,True,2021-03-31
ANGLO AMERICAN (SOUTH AFRICA),411051428.66666657,562.5,90,0.7,838880466.6666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,411051428.66666657,1.8872099468654038,8.0,True,2021-03-31
FIRSTRAND (SOUTH AFRICA),327247185.99999994,50.57,90,0.7,667851400.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,327247185.99999994,1.502449818763991,9.0,True,2021-03-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),325286251.7333333,321.84,90,0.7,663849493.3333334,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,325286251.7333333,1.4934468220703498,10.0,True,2021-03-31
MTN GROUP (SOUTH AFRICA),321004773.8333333,86.85,90,0.7,655111783.3333334,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,321004773.8333333,1.4737897983583201,11.0,True,2021-03-31
EASTERN TOBACCO EGYPT (EGYPT),287176845.0939259,228.4,90,0.7333333333333333,534006530.1333333,,,22.0,2021-03-31,EGYPT,MID,287176845.0939259,5.0,12.0,True,2021-03-31
STANDARD BANK GROUP (SOUTH AFRICA),260698146.33333328,125.43,90,0.7,532037033.3333333,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,260698146.33333328,1.19691138523839,13.0,True,2021-03-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),242290692.37076667,561.59,90,0.7,494470800.7566667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,242290692.37076667,1.1123995023158437,14.0,True,2021-03-31
GOLD FIELDS (SOUTH AFRICA),242020448.83333328,137.51,90,0.7,493919283.3333333,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,242020448.83333328,1.1111587663486322,15.0,True,2021-03-31
BLUE LABEL TELECOMS (SOUTH AFRICA),241417445.19666666,418.0,90,0.7,492688663.6666667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,241417445.19666666,1.108390269801121,16.0,True,2021-03-31
ABSA (SOUTH AFRICA),194200679.16666666,126.09,90,0.7,396327916.6666667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,194200679.16666666,0.8916097301988789,17.0,True,2021-03-31
SANLAM (SOUTH AFRICA),174683716.2,59.53,90,0.7,356497380.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,174683716.2,0.8020038948347458,18.0,True,2021-03-31
SEPLAT ENERGY NIGERIA (NIGERIA),174075636.99758905,550.0,90,0.7333333333333333,323694366.3178309,,,22.0,2021-03-31,NIGERIA,MID,174075636.99758905,5.0,19.0,True,2021-03-31
GRINDROD (SOUTH AFRICA),170482700.21999997,455.0,90,0.7,347923878.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,170482700.21999997,0.7827162860551987,20.0,True,2021-03-31
MTN NIGERIA (NIGERIA),166918101.67380735,160.2,90,0.7333333333333333,310384899.8066666,,,22.0,2021-03-31,NIGERIA,MID,166918101.67380735,5.0,21.0,True,2021-03-31
BID CORP (SOUTH AFRICA),163539403.2988333,286.01,90,0.7,333753884.28333336,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,163539403.2988333,0.7508383795456178,22.0,True,2021-03-31
SAFARICOM KENYA (KENYA),156494331.2230222,36.25,90,0.7333333333333333,291001855.58,,,22.0,2021-03-31,KENYA,MID,156494331.2230222,5.0,23.0,True,2021-03-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),154565150.8333333,257.38,90,0.7,315439083.3333333,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,154565150.8333333,0.7096359962489353,24.0,True,2021-03-31
SHOPRITE HOLDINGS (SOUTH AFRICA),136752888.5289,157.12,90,0.7,279087527.61,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,136752888.5289,0.6278567436961798,25.0,True,2021-03-31
CLICKS (SOUTH AFRICA),132378667.68699999,240.4,90,0.7,270160546.3,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,132378667.68699999,0.6077739207039408,26.0,True,2021-03-31
TANZANIA BREWERIES LTD (TANZANIA),122709777.77777778,10900.0,90,0.6666666666666666,276097000.0,,,20.0,2021-03-31,TANZANIA,LOW,122709777.77777778,5.0,27.0,True,2021-03-31
DISCOVERY HOLDINGS (SOUTH AFRICA),121941008.65333332,132.58,90,0.7,248859201.33333334,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,121941008.65333332,0.5598527785387861,28.0,True,2021-03-31
VODACOM (SOUTH AFRICA),121892770.90386666,126.26,90,0.7,248760756.9466667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,121892770.90386666,0.559631310483309,29.0,True,2021-03-31
NMB BANK TANZANIA (TANZANIA),116920752.0,2340.0,90,0.6666666666666666,263071692.0,,,20.0,2021-03-31,TANZANIA,LOW,116920752.0,5.0,30.0,True,2021-03-31
NESTLÉ NIGERIA (NIGERIA),116203261.08518516,1375.0,90,0.7333333333333333,216080444.16666666,,,22.0,2021-03-31,NIGERIA,MID,116203261.08518516,4.929751529602082,31.0,True,2021-03-31
DANGOTE CEMENT NIGERIA (NIGERIA),113778684.53534813,215.0,90,0.7333333333333333,211571934.05333334,,,22.0,2021-03-31,NIGERIA,MID,113778684.53534813,4.826892454533317,32.0,True,2021-03-31
MR PRICE (SOUTH AFRICA),113731513.28676665,193.61,90,0.7,232105129.15666667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,113731513.28676665,0.5221615305974152,33.0,True,2021-03-31
GLENCORE (SOUTH AFRICA),108840679.90606998,55.59,90,0.7,222123836.54299998,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,108840679.90606998,0.4997068478963924,34.0,True,2021-03-31
FIRST HOLDCO NIGERIA (NIGERIA),107550544.65425923,7.25,90,0.7333333333333333,199990682.2083333,,,22.0,2021-03-31,NIGERIA,MID,107550544.65425923,4.562672829209152,35.0,True,2021-03-31
BIDVEST (SOUTH AFRICA),103717421.77463332,170.39,90,0.7,211668207.70333332,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,103717421.77463332,0.47618506197931454,36.0,True,2021-03-31
OLD MUTUAL (SOUTH AFRICA),102984969.26666665,10.81,90,0.7,210173406.66666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,102984969.26666665,0.47282224272546847,37.0,True,2021-03-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),96453068.36666664,62.6,90,0.7,196842996.66666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,96453068.36666664,0.4428331282479818,38.0,True,2021-03-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),96215549.03333333,49.45,90,0.7,196358263.33333334,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,96215549.03333333,0.44174263490048643,39.0,True,2021-03-31
CAPITEC BANK (SOUTH AFRICA),96206544.84396665,704.93,90,0.7,196339887.43666667,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,96206544.84396665,0.44170129507157163,40.0,True,2021-03-31
KUMBA IRON ORE (SOUTH AFRICA),96013133.50906666,608.5,90,0.7,195945170.42666668,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,96013133.50906666,0.440813309360772,41.0,True,2021-03-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),94565230.11459999,144.36,90,0.7,192990265.54,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,94565230.11459999,0.43416572830990174,42.0,True,2021-03-31
SONATEL SENEGAL (SENEGAL),89063989.40592591,12900.0,90,0.7333333333333333,165614856.33333334,,,22.0,2021-03-31,SENEGAL,LOW,89063989.40592591,5.0,43.0,True,2021-03-31
EXXARO RESOURCES (SOUTH AFRICA),86643399.48249999,168.52,90,0.7,176823264.25,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,86643399.48249999,0.39779520013833886,44.0,True,2021-03-31
SPAR (SOUTH AFRICA),86551069.61713333,189.89,90,0.7,176634835.95333335,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,86551069.61713333,0.39737129736569093,45.0,True,2021-03-31
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),83254067.75699197,17.0,90,0.7333333333333333,154811283.01919997,,,22.0,2021-03-31,NIGERIA,MID,83254067.75699197,3.531930722406822,46.0,True,2021-03-31
MONDI (SOUTH AFRICA),81139458.06096666,378.09,90,0.7,165590730.73666668,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,81139458.06096666,0.3725256297797709,47.0,True,2021-03-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),78222117.82382664,278.11,90,0.7,159636975.15066662,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,78222117.82382664,0.3591316038016104,48.0,True,2021-03-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),76911289.87079999,7.05,90,0.7333333333333333,143016861.33,,,22.0,2021-03-31,NIGERIA,MID,76911289.87079999,3.262847749223657,49.0,True,2021-03-31
TRUWORTHS INT (SOUTH AFRICA),72357552.83166665,47.84,90,0.7,147668475.16666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,72357552.83166665,0.33220634672819915,50.0,True,2021-03-31
REMGRO (SOUTH AFRICA),70037584.16759999,101.94,90,0.7,142933845.24,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,70037584.16759999,0.3215549594955979,51.0,True,2021-03-31
FOSCHINI (SOUTH AFRICA),62289593.24466666,122.79,90,0.7,127121618.86666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,62289593.24466666,0.2859825602330226,52.0,True,2021-03-31
AVI (SOUTH AFRICA),53336460.8735,71.88,90,0.7,108849920.15,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,53336460.8735,0.24487714303188166,53.0,True,2021-03-31
CRDB BANK PLC TANZANIA (TANZANIA),52199497.48148148,230.0,90,0.6666666666666666,117448869.33333333,,,20.0,2021-03-31,TANZANIA,LOW,52199497.48148148,5.0,54.0,True,2021-03-31
TIGER BRANDS (SOUTH AFRICA),49537676.58676667,210.75,90,0.7,101097299.15666668,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,49537676.58676667,0.22743625123113143,55.0,True,2021-03-31
ABU QIR FERTILIZERS EGYPT (EGYPT),49036164.82811852,427.6,90,0.7333333333333333,91182951.12666668,,,22.0,2021-03-31,EGYPT,MID,49036164.82811852,2.0802867863581516,56.0,True,2021-03-31
BANK OF AFRICA NIGER (NIGER),48780767.28148147,38500.0,90,0.7333333333333333,90708038.33333333,,,22.0,2021-03-31,NIGER,LOW,48780767.28148147,5.0,57.0,True,2021-03-31
REINET INVEST (SOUTH AFRICA),48491955.58013333,291.81,90,0.7,98963174.65333334,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,48491955.58013333,0.22263516078907652,58.0,True,2021-03-31
QUILTER (SOUTH AFRICA),41416793.431066655,31.57,90,0.7,84524068.22666666,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,41416793.431066655,0.19015183765183472,59.0,True,2021-03-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),40264347.855730385,57.78,90,0.7333333333333333,74871721.21933337,,,22.0,2021-03-31,EGYPT,MID,40264347.855730385,1.7081554215996373,60.0,True,2021-03-31
STANBIC BANK UGANDA (UGANDA),40029522.58819556,26.5,90,0.7333333333333333,74435062.66400002,,,22.0,2021-03-31,UGANDA,LOW,40029522.58819556,5.0,61.0,True,2021-03-31
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),39990117.86676296,51.25,90,0.7333333333333333,74361789.42166667,,,22.0,2021-03-31,NIGERIA,MID,39990117.86676296,1.696521619803112,62.0,True,2021-03-31
NIGERIAN BREWERIES (NIGERIA),38396482.727533326,48.5,90,0.7333333333333333,71398418.295,,,22.0,2021-03-31,NIGERIA,MID,38396482.727533326,1.628914005422258,63.0,True,2021-03-31
GUINNESS NIGERIA (NIGERIA),38220040.601925924,33.9,90,0.7333333333333333,71070323.43333334,,,22.0,2021-03-31,NIGERIA,MID,38220040.601925924,1.6214287091364532,64.0,True,2021-03-31
INVESTEC (SOUTH AFRICA),36286461.10413333,42.3,90,0.7,74054002.25333333,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,36286461.10413333,0.1665975728496921,65.0,True,2021-03-31
EQUITY GROUP HOLDINGS KENYA (KENYA),34712212.0074074,37.95,90,0.7333333333333333,64547501.666666664,,,22.0,2021-03-31,KENYA,MID,34712212.0074074,1.472614267803926,66.0,True,2021-03-31
EAST AFRICAN BREWERIES KENYA (KENYA),34267997.25555555,158.0,90,0.7333333333333333,63721482.5,,,22.0,2021-03-31,KENYA,MID,34267997.25555555,1.4537691137870508,67.0,True,2021-03-31
LAFARGE AFRICA NIGERIA (NIGERIA),30918175.622807406,22.1,90,0.7333333333333333,57492475.33166667,,,22.0,2021-03-31,NIGERIA,MID,30918175.622807406,1.3116578841733781,68.0,True,2021-03-31
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),28545893.96706666,25.8,90,0.7333333333333333,53081207.79,,,22.0,2021-03-31,EGYPT,MID,28545893.96706666,1.211017342661709,69.0,True,2021-03-31
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),28065798.024717033,0.58,90,0.7333333333333333,52188467.40133333,,,22.0,2021-03-31,EGYPT,MID,28065798.024717033,1.1906499821930658,70.0,True,2021-03-31
LIFE HEALTHCARE (SOUTH AFRICA),28031954.299999997,12.01,90,0.7,57208070.0,,,21.0,2021-03-31,SOUTH AFRICA,HIGH,28031954.299999997,0.1286996694224759,71.0,True,2021-03-31
KCB GROUP KENYA (KENYA),24136775.528148144,41.3,90,0.7333333333333333,44882433.833333336,,,22.0,2021-03-31,KENYA,MID,24136775.528148144,1.0239670123571112,72.0,True,2021-03-31
