Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),3039902833.333333,468.0,90,0.7,6203883333.333333,6203883333.333333,1240776666.6666667,21.0,0,12,7537500000.0,47551371399.999596,2025-05-31,SOUTH AFRICA,HIGH,3039902833.333333,5.0,1.0,True,2025-05-31
MTN NIGERIA (NIGERIA),987617379.1023754,280.1,90,0.7,2015545671.637501,2015545671.637501,403109134.3275002,21.0,0,8,216407829.35,5750749447.312517,2025-05-31,NIGERIA,MID,987617379.1023754,5.0,2.0,True,2025-05-31
NASPERS (SOUTH AFRICA),976028341.2763332,1032.77,90,0.7,1991894574.0333333,1991894574.0333333,398378914.8066667,21.0,0,12,1928958600.0,10154965675.999838,2025-05-31,SOUTH AFRICA,HIGH,976028341.2763332,3.987834966153228,3.0,True,2025-05-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),965848538.5718676,67.0,90,0.7,1971119466.4731994,1971119466.4731994,394223893.2946399,21.0,0,12,436764161.1,4612173987.52299,2025-05-31,NIGERIA,MID,965848538.5718676,5.0,4.0,True,2025-05-31
BLUE LABEL TELECOMS (SOUTH AFRICA),702656020.3833332,1185.0,90,0.7,1433991878.3333333,1433991878.3333333,286798375.6666667,21.0,0,12,569737800.0,9956775999.99999,2025-05-31,SOUTH AFRICA,HIGH,702656020.3833332,2.870896395896159,5.0,True,2025-05-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),515656062.18583304,770.0,90,0.7,1052359310.5833329,1052359310.5833329,210471862.1166666,21.0,0,12,379807200.0,1905098735.999987,2025-05-31,SOUTH AFRICA,HIGH,515656062.18583304,2.106856110965485,6.0,True,2025-05-31
GOLD FIELDS (SOUTH AFRICA),482191789.9847999,405.36,90,0.7,984064877.52,984064877.52,196812975.504,21.0,0,12,307360900.0,2050342259.9999986,2025-05-31,SOUTH AFRICA,HIGH,482191789.9847999,1.9701285292380533,7.0,True,2025-05-31
ZENITH BANK NIGERIA (NIGERIA),462922183.77276665,49.0,90,0.7,944739150.5566667,944739150.5566667,188947830.11133337,21.0,0,12,404625878.32500005,4739761962.641997,2025-05-31,NIGERIA,MID,462922183.77276665,5.0,8.0,True,2025-05-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),437409842.6538964,34.7,90,0.7,892673148.2732581,892673148.2732581,178534629.65465164,21.0,0,12,125627388.82499999,3006938951.997745,2025-05-31,NIGERIA,MID,437409842.6538964,5.0,9.0,True,2025-05-31
CAPITEC BANK (SOUTH AFRICA),432753223.97159994,3446.41,90,0.7,883169844.84,883169844.84,176633968.96800002,21.0,0,12,304655948.4,2045702429.9999886,2025-05-31,SOUTH AFRICA,HIGH,432753223.97159994,1.7681335318734268,10.0,True,2025-05-31
GRINDROD (SOUTH AFRICA),421891584.65999997,1326.0,90,0.7,861003234.0,861003234.0,172200646.8,21.0,0,12,489285770.0,5692450599.999995,2025-05-31,SOUTH AFRICA,HIGH,421891584.65999997,1.7237552866885573,11.0,True,2025-05-31
FIDELITY BANK NIGERIA (NIGERIA),385875731.04978323,19.4,90,0.7,787501491.9383333,787501491.9383333,157500298.38766667,21.0,0,28,24816278.52,1240813926.0,2025-05-31,NIGERIA,MID,385875731.04978323,5.0,12.0,True,2025-05-31
PPC (SOUTH AFRICA),378682802.3766666,468.0,90,0.7,772822045.6666666,772822045.6666666,154564409.13333333,21.0,0,12,884940000.0,11381288799.999943,2025-05-31,SOUTH AFRICA,HIGH,378682802.3766666,1.5472138016236325,13.0,True,2025-05-31
FIRSTRAND (SOUTH AFRICA),364081575.4333333,74.51,90,0.7,743023623.3333334,743023623.3333334,148604724.6666667,21.0,0,12,628635400.0,2926221399.999999,2025-05-31,SOUTH AFRICA,HIGH,364081575.4333333,1.4875564321693597,14.0,True,2025-05-31
NIGERIAN BREWERIES (NIGERIA),359093341.41897064,57.0,90,0.7,732843553.9162667,732843553.9162667,146568710.78325334,21.0,0,12,56455097.379999995,2742265807.337999,2025-05-31,NIGERIA,MID,359093341.41897064,5.0,15.0,True,2025-05-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),335818883.1092665,255.75,90,0.7,685344659.4066664,685344659.4066664,137068931.8813333,21.0,0,12,114706800.0,1043109065.999998,2025-05-31,SOUTH AFRICA,HIGH,335818883.1092665,1.3720813502263915,16.0,True,2025-05-31
PROSUS (SOUTH AFRICA),323848247.83009994,920.04,90,0.7,660914791.49,660914791.49,132182958.29800001,21.0,0,8,801526200.0,4568093123.999968,2025-05-31,SOUTH AFRICA,HIGH,323848247.83009994,1.323171993894686,17.0,True,2025-05-31
STANDARD BANK GROUP (SOUTH AFRICA),300457676.3141333,233.24,90,0.7,613178931.2533333,613178931.2533333,122635786.25066668,21.0,0,12,532980000.0,2269995209.9999876,2025-05-31,SOUTH AFRICA,HIGH,300457676.3141333,1.2276033151740433,18.0,True,2025-05-31
ARADEL HOLDINGS NIGERIA (NIGERIA),265702723.1133333,530.0,90,0.7,542250455.3333334,542250455.3333334,108450091.06666668,21.0,0,1,545952944.0,14682762926.449957,2025-05-31,NIGERIA,MID,265702723.1133333,5.0,19.0,True,2025-05-31
