Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,857280682.2485336,2384.52027972028,86,857280682.2485336,857280682.2485336,171456136.44970673,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,857280682.2485336,1.0,True,2022-07-31
INNSCOR AFRICA (ZIMBABWE),OK,725379745.5042226,2799.425874125875,86,725379745.5042226,725379745.5042226,145075949.10084453,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,725379745.5042226,2.0,True,2022-07-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,429300114.8465183,22.57664062048237,84,429300114.8465183,429300114.8465183,85860022.96930367,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,429300114.8465183,3.0,True,2022-07-31
SIMBISA BRANDS (ZIMBABWE),OK,407085418.49612224,1358.782517482518,86,407085418.49612224,407085418.49612224,81417083.69922446,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,407085418.49612224,4.0,True,2022-07-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,251698947.90963954,478.2944055944056,83,251698947.90963954,251698947.90963954,50339789.58192791,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,251698947.90963954,5.0,True,2022-07-31
NASPERS (SOUTH AFRICA),OK,140808145.62013352,29.1306332409352,84,140808145.62013352,140808145.62013352,28161629.124026705,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,140808145.62013352,6.0,True,2022-07-31
PPC (SOUTH AFRICA),OK,67185448.92357098,17.65530206560883,84,67185448.92357098,67185448.92357098,13437089.784714196,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,67185448.92357098,7.0,True,2022-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,56540808.029461674,35.70984772148176,84,56540808.029461674,56540808.029461674,11308161.605892336,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,56540808.029461674,8.0,True,2022-07-31
MTN GROUP (SOUTH AFRICA),OK,52636311.57774331,8.122669284818778,84,52636311.57774331,52636311.57774331,10527262.315548662,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,52636311.57774331,9.0,True,2022-07-31
FIRSTRAND (SOUTH AFRICA),OK,47816805.792292915,3.758672321284666,84,47816805.792292915,47816805.792292915,9563361.158458583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,47816805.792292915,10.0,True,2022-07-31
GRINDROD (SOUTH AFRICA),OK,46711430.937180154,52.4122556094032,84,46711430.937180154,46711430.937180154,9342286.187436031,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,46711430.937180154,11.0,True,2022-07-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,41960665.620254055,38.26340726414178,84,41960665.620254055,41960665.620254055,8392133.124050811,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,41960665.620254055,12.0,True,2022-07-31
CAPITEC BANK (SOUTH AFRICA),OK,40295617.09205524,121.9341598721436,84,40295617.09205524,40295617.09205524,8059123.418411048,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,40295617.09205524,13.0,True,2022-07-31
GOLD FIELDS (SOUTH AFRICA),OK,38494490.26547703,9.412059986195645,84,38494490.26547703,38494490.26547703,7698898.053095407,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,38494490.26547703,14.0,True,2022-07-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,37413253.22722884,11.14314082287241,84,37413253.22722884,37413253.22722884,7482650.645445769,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,37413253.22722884,15.0,True,2022-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,36675605.39575411,9.54555129449659,84,36675605.39575411,36675605.39575411,7335121.079150822,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,36675605.39575411,16.0,True,2022-07-31
ABSA (SOUTH AFRICA),OK,34384853.8825285,9.510486757293116,84,34384853.8825285,34384853.8825285,6876970.7765057,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,34384853.8825285,17.0,True,2022-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,33571928.594191596,43.08385837864041,84,33571928.594191596,33571928.594191596,6714385.718838319,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,33571928.594191596,18.0,True,2022-07-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,31674522.97058087,2.501885487833836,84,31674522.97058087,31674522.97058087,6334904.594116174,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,31674522.97058087,19.0,True,2022-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,27704658.065762915,15.07344482625829,84,27704658.065762915,27704658.065762915,5540931.613152583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27704658.065762915,20.0,True,2022-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,27607857.98065316,12.1729309154797,84,27607857.98065316,27607857.98065316,5521571.596130632,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27607857.98065316,21.0,True,2022-07-31
