Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,746334641.7803496,3243.355882352941,87,87,746334641.7803496,746334641.7803496,149266928.35606992,30,,,,,2021-10-31,2021-09-30,2021-10-31,ZIMBABWE,LOW,746334641.7803496,1.0,True,2021-10-31
INNSCOR AFRICA (ZIMBABWE),OK,383039800.34446985,3970.988235294117,87,87,383039800.34446985,383039800.34446985,76607960.06889397,30,,,,,2021-10-31,2021-09-30,2021-10-31,ZIMBABWE,LOW,383039800.34446985,2.0,True,2021-10-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,347831597.3666688,30.32172880298838,88,88,347831597.3666688,347831597.3666688,69566319.47333376,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,347831597.3666688,3.0,True,2021-10-31
PPC (SOUTH AFRICA),OK,280131800.1759457,29.06108799936305,88,88,280131800.1759457,280131800.1759457,56026360.035189144,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,280131800.1759457,4.0,True,2021-10-31
NASPERS (SOUTH AFRICA),OK,222002950.1147866,33.07656070648964,88,88,222002950.1147866,222002950.1147866,44400590.022957325,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,222002950.1147866,5.0,True,2021-10-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,221710936.17632625,925.1941176470588,87,87,221710936.17632625,221710936.17632625,44342187.235265255,30,,,,,2021-10-31,2021-09-30,2021-10-31,ZIMBABWE,LOW,221710936.17632625,6.0,True,2021-10-31
PROSUS (SOUTH AFRICA),OK,182457104.7204102,36.49223378915451,88,88,182457104.7204102,182457104.7204102,36491420.944082044,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,182457104.7204102,7.0,True,2021-10-31
SIMBISA BRANDS (ZIMBABWE),OK,105153242.974722,2035.80294117647,86,86,105153242.974722,105153242.974722,21030648.594944403,30,,,,,2021-10-31,2021-09-30,2021-10-31,ZIMBABWE,LOW,105153242.974722,8.0,True,2021-10-31
ANGLO AMERICAN (SOUTH AFRICA),OK,67959610.60833308,34.99406171831976,88,88,67959610.60833308,67959610.60833308,13591922.121666618,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,67959610.60833308,9.0,True,2021-10-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,61234178.93530992,3.086579483402669,88,88,61234178.93530992,61234178.93530992,12246835.787061984,30,,,,,2021-10-31,2021-09-30,2021-10-31,SOUTH AFRICA,HIGH,61234178.93530992,10.0,True,2021-10-31
