Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),2407504096.6666665,364.0,90,0.7,4913273666.666667,4913273666.666667,982654733.3333335,21.0,0,10,8817530000.0,48889483399.99999,2023-03-31,SOUTH AFRICA,HIGH,2407504096.6666665,5.0,1.0,True,2023-03-31
NASPERS (SOUTH AFRICA),1053577691.1333333,658.59,90,0.7,2150158553.3333335,2150158553.3333335,430031710.66666675,21.0,0,10,2065327000.0,10625055556.999956,2023-03-31,SOUTH AFRICA,HIGH,1053577691.1333333,4.082118087595958,2.0,True,2023-03-31
GRINDROD (SOUTH AFRICA),825615852.8799999,912.0,90,0.7,1684930312.0,1684930312.0,336986062.40000004,21.0,0,10,385991255.0,5512098899.999986,2023-03-31,SOUTH AFRICA,HIGH,825615852.8799999,3.198873167883824,3.0,True,2023-03-31
PROSUS (SOUTH AFRICA),571778248.601,637.25,90,0.7,1166894384.9,1166894384.9,233378876.98000002,21.0,0,5,959731000.0,6144865838.999916,2023-03-31,SOUTH AFRICA,HIGH,571778248.601,2.215371823408035,4.0,True,2023-03-31
FIRSTRAND (SOUTH AFRICA),507787746.6619999,60.38,90,0.7,1036301523.7999998,1036301523.7999998,207260304.76,21.0,0,10,595044600.0,2562866713.999996,2023-03-31,SOUTH AFRICA,HIGH,507787746.6619999,1.9674387211813302,5.0,True,2023-03-31
ANGLO AMERICAN (SOUTH AFRICA),470458549.74556637,586.0,90,0.7,960119489.2766662,960119489.2766662,192023897.85533324,21.0,0,10,576291350.0,2837090615.999987,2023-03-31,SOUTH AFRICA,HIGH,470458549.74556637,1.8228056379161681,6.0,True,2023-03-31
BLUE LABEL TELECOMS (SOUTH AFRICA),455201957.1399999,418.0,90,0.7,928983586.0,928983586.0,185796717.20000002,21.0,0,10,724220925.0,10608356249.999968,2023-03-31,SOUTH AFRICA,HIGH,455201957.1399999,1.7636935162811023,7.0,True,2023-03-31
GOLD FIELDS (SOUTH AFRICA),398778326.5713332,237.0,90,0.7,813833319.5333332,813833319.5333332,162766663.90666664,21.0,0,10,213788800.0,1698268142.9999976,2023-03-31,SOUTH AFRICA,HIGH,398778326.5713332,1.5450784821449648,8.0,True,2023-03-31
PPC (SOUTH AFRICA),395455917.4066666,268.0,90,0.7,807052892.6666666,807052892.6666666,161410578.53333333,21.0,0,10,1147625000.0,12605861349.999971,2023-03-31,SOUTH AFRICA,HIGH,395455917.4066666,1.5322057090598673,9.0,True,2023-03-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),355633142.85963327,431.4,90,0.7,725781924.2033333,725781924.2033333,145156384.84066665,21.0,0,10,332248350.0,1609566926.9999993,2023-03-31,SOUTH AFRICA,HIGH,355633142.85963327,1.3779111851298538,10.0,True,2023-03-31
