Company,Date,TradedValueUSD,Price,Volume
CENTUM INVESTMENT UG (UGANDA),2022-07-19,17582125.0,317.88,100000.0
PFUMA REIT (ZIMBABWE),2026-03-04,2135708.9430000004,15.15,150000.0
