Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),4288767956.6666656,422.0,90,0.7,8752587666.666666,8752587666.666666,1750517533.3333333,21.0,0,8,9587410000.0,52106992000.00067,2022-02-28,SOUTH AFRICA,HIGH,4288767956.6666656,5.0,1.0,True,2022-02-28
PPC (SOUTH AFRICA),1245680776.6666665,407.0,90,0.7,2542205666.6666665,2542205666.6666665,508441133.3333333,21.0,0,8,1296160000.0,13040468000.000027,2022-02-28,SOUTH AFRICA,HIGH,1245680776.6666665,5.0,2.0,True,2022-02-28
NASPERS (SOUTH AFRICA),695620663.2666667,385.69,90,0.7,1419634006.6666667,1419634006.6666667,283926801.3333334,21.0,0,8,2157856400.0,10833797335.500002,2022-02-28,SOUTH AFRICA,HIGH,695620663.2666667,3.2002030369788708,3.0,True,2022-02-28
PROSUS (SOUTH AFRICA),586903330.9999999,429.92,90,0.7,1197761900.0,1197761900.0,239552380.0,21.0,0,4,956180050.0,9163628981.99991,2022-02-28,SOUTH AFRICA,HIGH,586903330.9999999,2.7000489224386395,4.0,True,2022-02-28
ANGLO AMERICAN (SOUTH AFRICA),441497456.51619995,773.96,90,0.7,901015217.38,901015217.38,180203043.476,21.0,0,8,551152800.0,2306762598.5,2022-02-28,SOUTH AFRICA,HIGH,441497456.51619995,2.0311091601658777,5.0,True,2022-02-28
MTN GROUP (SOUTH AFRICA),372430033.7333333,191.6,90,0.7,760061293.3333334,760061293.3333334,152012258.6666667,21.0,0,8,528345600.0,2590198537.500013,2022-02-28,SOUTH AFRICA,HIGH,372430033.7333333,1.713364464216123,6.0,True,2022-02-28
SIBANYE STILLWATER (SOUTH AFRICA),369391994.82733345,71.37,90,0.7,753861213.9333336,753861213.9333336,150772242.78666672,21.0,0,8,265897400.0,2226537209.0000024,2022-02-28,SOUTH AFRICA,HIGH,369391994.82733345,1.6993879654620692,7.0,True,2022-02-28
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),309786527.7395002,293.92,90,0.7,632217403.5500005,632217403.5500005,126443480.71000011,21.0,0,8,265589550.0,1937528406.5000145,2022-02-28,SOUTH AFRICA,HIGH,309786527.7395002,1.4251729990761384,8.0,True,2022-02-28
FIRSTRAND (SOUTH AFRICA),308335779.7333333,64.78,90,0.7,629256693.3333334,629256693.3333334,125851338.66666669,21.0,0,8,583255550.0,2418808760.0000005,2022-02-28,SOUTH AFRICA,HIGH,308335779.7333333,1.4184988325075027,9.0,True,2022-02-28
MTN NIGERIA (NIGERIA),280554839.3258333,201.0,90,0.7,572560896.5833334,572560896.5833334,114512179.31666668,21.0,0,4,151961697.0,5680358963.349952,2022-02-28,NIGERIA,MID,280554839.3258333,5.0,10.0,True,2022-02-28
