Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,432650274.6904762,625.4699999999999,85,432650274.6904762,432650274.6904762,86530054.93809524,30,,,,,2020-04-30,2020-03-31,2020-04-30,ZIMBABWE,LOW,432650274.6904762,1.0,True,2020-04-30
NASPERS (SOUTH AFRICA),OK,275160310.8786093,28.78657220315292,87,275160310.8786093,275160310.8786093,55032062.17572186,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,275160310.8786093,2.0,True,2020-04-30
INNSCOR AFRICA (ZIMBABWE),OK,267844006.76190478,750.0,80,267844006.76190478,267844006.76190478,53568801.35238096,30,,,,,2020-04-30,2020-03-31,2020-04-30,ZIMBABWE,LOW,267844006.76190478,3.0,True,2020-04-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,54453756.67201559,17.98583047293756,87,54453756.67201559,54453756.67201559,10890751.33440312,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,54453756.67201559,4.0,True,2020-04-30
ANGLO AMERICAN (SOUTH AFRICA),OK,52075661.86328334,16.61058600068762,87,52075661.86328334,52075661.86328334,10415132.37265667,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,52075661.86328334,5.0,True,2020-04-30
STANDARD BANK GROUP (SOUTH AFRICA),OK,50939366.54101241,5.775463158666013,87,50939366.54101241,50939366.54101241,10187873.308202483,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,50939366.54101241,6.0,True,2020-04-30
FIRSTRAND (SOUTH AFRICA),OK,49319974.70145608,2.223499771731963,87,49319974.70145608,49319974.70145608,9863994.940291217,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,49319974.70145608,7.0,True,2020-04-30
SIBANYE STILLWATER (SOUTH AFRICA),OK,46389174.988470964,1.272101136831189,87,46389174.988470964,46389174.988470964,9277834.997694192,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,46389174.988470964,8.0,True,2020-04-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,46025398.99078115,4.268894111811885,87,46025398.99078115,46025398.99078115,9205079.79815623,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,46025398.99078115,9.0,True,2020-04-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,45525135.66860669,33.74196130152235,87,45525135.66860669,45525135.66860669,9105027.133721339,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,45525135.66860669,10.0,True,2020-04-30
MTN GROUP (SOUTH AFRICA),OK,40600822.93651684,2.727380328367799,87,40600822.93651684,40600822.93651684,8120164.587303367,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,40600822.93651684,11.0,True,2020-04-30
ABSA (SOUTH AFRICA),OK,32513543.47788471,4.227185877817419,87,32513543.47788471,32513543.47788471,6502708.6955769425,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,32513543.47788471,12.0,True,2020-04-30
CAPITEC BANK (SOUTH AFRICA),OK,32426686.623368077,49.25009722527518,87,32426686.623368077,32426686.623368077,6485337.324673615,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,32426686.623368077,13.0,True,2020-04-30
GOLD FIELDS (SOUTH AFRICA),OK,32102494.27031324,5.201129504066553,87,32102494.27031324,32102494.27031324,6420498.8540626485,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,32102494.27031324,14.0,True,2020-04-30
SANLAM (SOUTH AFRICA),OK,30694861.69014322,2.879559019969226,87,30694861.69014322,30694861.69014322,6138972.338028644,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,30694861.69014322,15.0,True,2020-04-30
BID CORP (SOUTH AFRICA),OK,26304195.37904321,11.98717189992278,87,26304195.37904321,26304195.37904321,5260839.075808642,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,26304195.37904321,16.0,True,2020-04-30
BID CORPORATION (SOUTH AFRICA),OK,26304195.37904321,11.98717189992278,87,26304195.37904321,26304195.37904321,5260839.075808642,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,26304195.37904321,17.0,True,2020-04-30
CLICKS (SOUTH AFRICA),OK,26107573.987812392,14.52461067618065,87,26107573.987812392,26107573.987812392,5221514.797562479,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,26107573.987812392,18.0,True,2020-04-30
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,26075133.55789958,7.045309796362366,87,26075133.55789958,26075133.55789958,5215026.711579916,30,,,,,2020-04-30,2020-03-31,2020-04-30,SOUTH AFRICA,HIGH,26075133.55789958,19.0,True,2020-04-30
