Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),6047262153.333333,823.0,90,0.7,12341351333.333334,12341351333.333334,2468270266.666667,21.0,0,5,11074320000.0,59653972500.000015,2019-11-30,SOUTH AFRICA,HIGH,6047262153.333333,5.0,1.0,True,2019-11-30
NASPERS (SOUTH AFRICA),1319748461.2666664,418.98,90,0.7,2693364206.6666665,2693364206.6666665,538672841.3333334,21.0,0,5,1899654550.0,8464119367.000001,2019-11-30,SOUTH AFRICA,HIGH,1319748461.2666664,5.0,2.0,True,2019-11-30
BLUE LABEL TELECOMS (SOUTH AFRICA),569245477.0333332,324.0,90,0.7,1161725463.3333333,1161725463.3333333,232345092.66666666,21.0,0,5,1302241020.0,12095248500.000006,2019-11-30,SOUTH AFRICA,HIGH,569245477.0333332,3.7949650820993965,3.0,True,2019-11-30
ZENITH BANK NIGERIA (NIGERIA),518720040.04980755,18.6,90,0.6666666666666666,1167120090.112067,1167120090.112067,233424018.0224134,20.0,0,5,356526979.13,6069251387.562007,2019-11-30,NIGERIA,MID,518720040.04980755,5.0,4.0,True,2019-11-30
PPC (SOUTH AFRICA),423215568.5799999,303.0,90,0.7,863705242.0,863705242.0,172741048.4,21.0,0,5,1310055000.0,10190326750.000008,2019-11-30,SOUTH AFRICA,HIGH,423215568.5799999,2.8214335814000586,5.0,True,2019-11-30
STANDARD BANK GROUP (SOUTH AFRICA),333541351.9666666,165.74,90,0.7,680696636.6666666,680696636.6666666,136139327.33333334,21.0,0,5,597831600.0,2110997237.0000007,2019-11-30,SOUTH AFRICA,HIGH,333541351.9666666,2.2236062212499665,6.0,True,2019-11-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),326450121.29333335,112.6,90,0.7,666224737.3333335,666224737.3333335,133244947.4666667,21.0,0,5,151574500.0,1252766910.0000007,2019-11-30,SOUTH AFRICA,HIGH,326450121.29333335,2.176331409450564,7.0,True,2019-11-30
FIRSTRAND (SOUTH AFRICA),318714177.3666666,61.35,90,0.7,650437096.6666666,650437096.6666666,130087419.33333333,21.0,0,5,595044600.0,2368676612.0000005,2019-11-30,SOUTH AFRICA,HIGH,318714177.3666666,2.124758514692087,8.0,True,2019-11-30
SIBANYE STILLWATER (SOUTH AFRICA),266916422.47199994,28.88,90,0.7,544727392.8,544727392.8,108945478.56,21.0,0,5,157213500.0,1029691384.0000012,2019-11-30,SOUTH AFRICA,HIGH,266916422.47199994,1.779440582293491,9.0,True,2019-11-30
ANGLO AMERICAN (SOUTH AFRICA),265318471.46699995,373.32,90,0.7,541466268.3,541466268.3,108293253.66,21.0,0,5,499154150.0,2142122739.0,2019-11-30,SOUTH AFRICA,HIGH,265318471.46699995,1.768787588968916,10.0,True,2019-11-30
