Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1154666940.2074072,828.83,90,0.7333333333333333,2147107946.6666667,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,1154666940.2074072,5.0,1.0,True,2024-10-31
GRINDROD (SOUTH AFRICA),870685909.5407398,1410.0,90,0.7333333333333333,1619044046.666665,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,870685909.5407398,3.93930778318964,2.0,True,2024-10-31
FIRSTRAND (SOUTH AFRICA),567336726.1629628,77.1,90,0.7333333333333333,1054964986.6666666,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,567336726.1629628,2.566842941379329,3.0,True,2024-10-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),485314864.8161726,29.8,90,0.7333333333333333,902444996.5589988,,,22.0,2024-10-31,NIGERIA,MID,485314864.8161726,5.0,4.0,True,2024-10-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),412771493.8223555,489.88,90,0.7333333333333333,767550298.4300001,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,412771493.8223555,1.867532184081057,5.0,True,2024-10-31
CAPITEC BANK (SOUTH AFRICA),387757325.22595835,3170.77,90,0.7333333333333333,721036348.5606664,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,387757325.22595835,1.7543587561410308,6.0,True,2024-10-31
STANDARD BANK GROUP (SOUTH AFRICA),385577735.97037035,241.56,90,0.7333333333333333,716983393.3333334,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,385577735.97037035,1.7444974814556242,7.0,True,2024-10-31
GOLD FIELDS (SOUTH AFRICA),383115221.5717036,290.17,90,0.7333333333333333,712404337.6333333,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,383115221.5717036,1.7333561479040094,8.0,True,2024-10-31
ZENITH BANK NIGERIA (NIGERIA),367081413.37975556,39.95,90,0.7333333333333333,682589405.0450001,,,22.0,2024-10-31,NIGERIA,MID,367081413.37975556,5.0,9.0,True,2024-10-31
PROSUS (SOUTH AFRICA),365153014.9179407,737.15,90,0.7333333333333333,679003540.1366667,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,365153014.9179407,1.6520884258712134,10.0,True,2024-10-31
ANGLO AMERICAN (SOUTH AFRICA),363124350.5204741,543.36,90,0.7333333333333333,675231230.3066667,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,363124350.5204741,1.642909991532434,11.0,True,2024-10-31
PPC (SOUTH AFRICA),334344067.62370366,394.0,90,0.7333333333333333,621714175.3333334,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,334344067.62370366,1.5126972578987306,12.0,True,2024-10-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),295611772.94814813,115.36,90,0.7333333333333333,549691313.3333334,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,295611772.94814813,1.337457911305088,13.0,True,2024-10-31
SONATEL SENEGAL (SENEGAL),253053565.42481476,23700.0,90,0.7333333333333333,470554150.5833333,,,22.0,2024-10-31,SENEGAL,LOW,253053565.42481476,5.0,14.0,True,2024-10-31
SHOPRITE HOLDINGS (SOUTH AFRICA),225439143.41487405,303.14,90,0.7333333333333333,419205018.74666667,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,225439143.41487405,1.0199707639213442,15.0,True,2024-10-31
ABSA (SOUTH AFRICA),225145024.4592592,168.63,90,0.7333333333333333,418658103.3333333,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,225145024.4592592,1.018640060072412,16.0,True,2024-10-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),224921821.82628885,53.7,90,0.7333333333333333,418243057.115,,,22.0,2024-10-31,NIGERIA,MID,224921821.82628885,5.0,17.0,True,2024-10-31
BLUE LABEL TELECOMS (SOUTH AFRICA),219651796.1896296,556.0,90,0.7333333333333333,408443422.6666667,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,219651796.1896296,0.9937866466425294,18.0,True,2024-10-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),217683539.3858073,188.76,90,0.7333333333333333,404783441.00666654,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,217683539.3858073,0.9848815187868335,19.0,True,2024-10-31
FIRST HOLDCO NIGERIA (NIGERIA),212303715.67908144,26.15,90,0.7333333333333333,394779636.5933333,,,22.0,2024-10-31,NIGERIA,MID,212303715.67908144,5.0,20.0,True,2024-10-31
MTN GROUP (SOUTH AFRICA),202357049.6444444,87.53,90,0.7333333333333333,376283770.0,,,22.0,2024-10-31,SOUTH AFRICA,HIGH,202357049.6444444,0.9155387630748759,21.0,True,2024-10-31
