Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),OK,277664509.06821936,24.07787047904907,86,86,277664509.06821936,277664509.06821936,55532901.81364387,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,277664509.06821936,1.0,True,2025-01-31
NASPERS (SOUTH AFRICA),OK,109494005.24773669,44.16781058600774,86,86,109494005.24773669,109494005.24773669,21898801.04954734,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,109494005.24773669,2.0,True,2025-01-31
GRINDROD (SOUTH AFRICA),OK,68784267.43389408,63.29040240207186,86,86,68784267.43389408,68784267.43389408,13756853.486778818,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,68784267.43389408,3.0,True,2025-01-31
FIRSTRAND (SOUTH AFRICA),OK,51766906.220592074,4.019681410084764,86,86,51766906.220592074,51766906.220592074,10353381.244118415,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,51766906.220592074,4.0,True,2025-01-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,46638219.93672064,22.27864499270255,86,86,46638219.93672064,46638219.93672064,9327643.987344129,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,46638219.93672064,5.0,True,2025-01-31
PPC (SOUTH AFRICA),OK,43395111.19887117,27.25297427848412,86,86,43395111.19887117,43395111.19887117,8679022.239774235,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,43395111.19887117,6.0,True,2025-01-31
CAPITEC BANK (SOUTH AFRICA),OK,42251202.43668292,165.8642473786872,86,86,42251202.43668292,42251202.43668292,8450240.487336583,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,42251202.43668292,7.0,True,2025-01-31
PROSUS (SOUTH AFRICA),OK,39212589.23656372,39.63852501611365,86,86,39212589.23656372,39212589.23656372,7842517.847312745,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,39212589.23656372,8.0,True,2025-01-31
GOLD FIELDS (SOUTH AFRICA),OK,38821811.07505118,13.07613581400665,86,86,38821811.07505118,38821811.07505118,7764362.215010237,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,38821811.07505118,9.0,True,2025-01-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,33884321.55485598,11.73518364271192,86,86,33884321.55485598,33884321.55485598,6776864.310971197,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,33884321.55485598,10.0,True,2025-01-31
ANGLO AMERICAN (SOUTH AFRICA),OK,28403352.733101375,29.20301719530381,86,86,28403352.733101375,28403352.733101375,5680670.546620276,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,28403352.733101375,11.0,True,2025-01-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,27377111.21351277,35.80299962639612,86,86,27377111.21351277,27377111.21351277,5475422.242702555,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,27377111.21351277,12.0,True,2025-01-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,24099998.68477543,1.531987583227408,86,86,24099998.68477543,24099998.68477543,4819999.736955087,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,24099998.68477543,13.0,True,2025-01-31
ABSA (SOUTH AFRICA),OK,22454078.883202888,10.04126576571332,86,86,22454078.883202888,22454078.883202888,4490815.776640578,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,22454078.883202888,14.0,True,2025-01-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,22427280.712597203,5.154781018382792,86,86,22427280.712597203,22427280.712597203,4485456.1425194405,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,22427280.712597203,15.0,True,2025-01-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,20679776.45590835,7.973744008314538,86,86,20679776.45590835,20679776.45590835,4135955.2911816705,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20679776.45590835,16.0,True,2025-01-31
MTN GROUP (SOUTH AFRICA),OK,20578454.75104596,4.867963308500493,86,86,20578454.75104596,20578454.75104596,4115690.9502091925,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20578454.75104596,17.0,True,2025-01-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,20518422.349256463,15.58446781556034,86,86,20518422.349256463,20518422.349256463,4103684.4698512927,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20518422.349256463,18.0,True,2025-01-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,18865399.365082417,4.643589306673751,86,86,18865399.365082417,18865399.365082417,3773079.8730164836,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,18865399.365082417,19.0,True,2025-01-31
BID CORP (SOUTH AFRICA),OK,17836159.99765732,22.78507404871244,86,86,17836159.99765732,17836159.99765732,3567231.9995314647,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,17836159.99765732,20.0,True,2025-01-31
BID CORPORATION (SOUTH AFRICA),OK,17836159.99765732,22.78507404871244,86,86,17836159.99765732,17836159.99765732,3567231.9995314647,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,17836159.99765732,21.0,True,2025-01-31
SANLAM (SOUTH AFRICA),OK,17531198.658127513,4.597550301581942,86,86,17531198.658127513,17531198.658127513,3506239.731625503,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,17531198.658127513,22.0,True,2025-01-31
MR PRICE (SOUTH AFRICA),OK,16480943.50651573,15.62415661305327,86,86,16480943.50651573,16480943.50651573,3296188.7013031463,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,16480943.50651573,23.0,True,2025-01-31
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,15451648.294487538,10.30691611693272,86,86,15451648.294487538,15451648.294487538,3090329.658897508,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,15451648.294487538,24.0,True,2025-01-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,14748432.409665907,30.90434364783442,86,86,14748432.409665907,14748432.409665907,2949686.4819331816,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,14748432.409665907,25.0,True,2025-01-31
BHP (SOUTH AFRICA),OK,13406916.013046483,24.36257145306508,86,86,13406916.013046483,13406916.013046483,2681383.202609297,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,13406916.013046483,26.0,True,2025-01-31
CLICKS (SOUTH AFRICA),OK,13392773.465746783,19.74385379282024,86,86,13392773.465746783,13392773.465746783,2678554.6931493566,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,13392773.465746783,27.0,True,2025-01-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,13281359.221540036,0.7927175819256157,86,86,13281359.221540036,13281359.221540036,2656271.8443080075,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,13281359.221540036,28.0,True,2025-01-31
BIDVEST (SOUTH AFRICA),OK,12524582.966422157,13.9529936466173,86,86,12524582.966422157,12524582.966422157,2504916.5932844314,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,12524582.966422157,29.0,True,2025-01-31
OUTSURANCE (SOUTH AFRICA),OK,11743962.67807938,3.519073377707173,86,86,11743962.67807938,11743962.67807938,2348792.535615876,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,11743962.67807938,30.0,True,2025-01-31
GLENCORE (SOUTH AFRICA),OK,11141378.974841276,4.41974448881358,86,86,11141378.974841276,11141378.974841276,2228275.7949682553,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,11141378.974841276,31.0,True,2025-01-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,10985805.86793855,3.299462031579582,86,86,10985805.86793855,10985805.86793855,2197161.17358771,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,10985805.86793855,32.0,True,2025-01-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,10825241.129848363,8.72359768894778,86,86,10825241.129848363,10825241.129848363,2165048.2259696727,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,10825241.129848363,33.0,True,2025-01-31
FOSCHINI (SOUTH AFRICA),OK,10347099.624367949,8.89029063841812,86,86,10347099.624367949,10347099.624367949,2069419.9248735898,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,10347099.624367949,34.0,True,2025-01-31
MONDI (SOUTH AFRICA),OK,10286280.11669814,14.68485507238707,86,86,10286280.11669814,10286280.11669814,2057256.0233396282,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,10286280.11669814,35.0,True,2025-01-31
OLD MUTUAL (SOUTH AFRICA),OK,9730751.312197406,0.6620091421822064,86,86,9730751.312197406,9730751.312197406,1946150.2624394812,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,9730751.312197406,36.0,True,2025-01-31
REMGRO (SOUTH AFRICA),OK,9082061.723644126,8.207643321539585,86,86,9082061.723644126,9082061.723644126,1816412.3447288254,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,9082061.723644126,37.0,True,2025-01-31
