Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),OK,137592687.39593336,49.35442166132577,87,137592687.39593336,137592687.39593336,27518537.479186673,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,137592687.39593336,1.0,True,2025-04-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,60876982.154381596,37.51394852305419,87,60876982.154381596,60876982.154381596,12175396.43087632,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,60876982.154381596,2.0,True,2025-04-30
GOLD FIELDS (SOUTH AFRICA),OK,59148288.175941154,22.14394602693082,87,59148288.175941154,59148288.175941154,11829657.635188231,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,59148288.175941154,3.0,True,2025-04-30
FIRSTRAND (SOUTH AFRICA),OK,55019157.70430853,3.92388407719084,87,55019157.70430853,55019157.70430853,11003831.540861707,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,55019157.70430853,4.0,True,2025-04-30
STANDARD BANK GROUP (SOUTH AFRICA),OK,51822103.46898101,13.07651847049358,87,51822103.46898101,51822103.46898101,10364420.693796203,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,51822103.46898101,5.0,True,2025-04-30
PROSUS (SOUTH AFRICA),OK,50541465.164666705,45.96799609359425,87,50541465.164666705,50541465.164666705,10108293.032933341,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,50541465.164666705,6.0,True,2025-04-30
CAPITEC BANK (SOUTH AFRICA),OK,48333692.80901303,169.4665669673849,87,48333692.80901303,48333692.80901303,9666738.561802607,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,48333692.80901303,7.0,True,2025-04-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,36900724.28605602,41.21716874067026,87,36900724.28605602,36900724.28605602,7380144.857211204,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,36900724.28605602,8.0,True,2025-04-30
MTN GROUP (SOUTH AFRICA),OK,36297121.069469176,6.730793914702494,87,36297121.069469176,36297121.069469176,7259424.213893835,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,36297121.069469176,9.0,True,2025-04-30
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,32318078.197769858,14.55562176685116,87,32318078.197769858,32318078.197769858,6463615.639553972,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,32318078.197769858,10.0,True,2025-04-30
