Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1388720527.4074073,459.01,90,0.6666666666666666,3124621186.6666665,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,1388720527.4074073,5.0,1.0,True,2019-09-30
PPC (SOUTH AFRICA),629164321.3333333,401.0,90,0.6666666666666666,1415619723.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,629164321.3333333,4.026724447455783,2.0,True,2019-09-30
BLUE LABEL TELECOMS (SOUTH AFRICA),465313937.3333333,289.0,90,0.6666666666666666,1046956359.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,465313937.3333333,2.978063033249074,3.0,True,2019-09-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),429553083.0018166,29.2,90,0.7,876638944.9016666,,,21.0,2019-09-30,NIGERIA,MID,429553083.0018166,5.0,4.0,True,2019-09-30
FIRSTRAND (SOUTH AFRICA),364109751.1111111,60.93,90,0.6666666666666666,819246940.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,364109751.1111111,2.330344532647728,5.0,True,2019-09-30
STANDARD BANK GROUP (SOUTH AFRICA),328918137.77777773,174.69,90,0.6666666666666666,740065810.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,328918137.77777773,2.1051141358343215,6.0,True,2019-09-30
ANGLO AMERICAN (SOUTH AFRICA),315798961.4814815,340.69,90,0.6666666666666666,710547663.3333334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,315798961.4814815,2.0211498897200055,7.0,True,2019-09-30
MTN GROUP (SOUTH AFRICA),241364979.25925925,96.3,90,0.6666666666666666,543071203.3333334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,241364979.25925925,1.544763791887042,8.0,True,2019-09-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),227936156.1285926,284.09,90,0.6666666666666666,512856351.2893334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,227936156.1285926,1.458817770208285,9.0,True,2019-09-30
SHOPRITE HOLDINGS (SOUTH AFRICA),185316426.66666666,122.64,90,0.6666666666666666,416961960.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,185316426.66666666,1.1860465707788677,10.0,True,2019-09-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),180484220.87555555,562.22,90,0.6666666666666666,406089496.97,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,180484220.87555555,1.1551198946555792,11.0,True,2019-09-30
ABSA (SOUTH AFRICA),170970678.5185185,152.87,90,0.6666666666666666,384684026.6666667,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,170970678.5185185,1.0942321229049443,12.0,True,2019-09-30
NESTLÉ NIGERIA (NIGERIA),158732089.83193332,1394.9,90,0.7,323943040.47333336,,,21.0,2019-09-30,NIGERIA,MID,158732089.83193332,5.0,13.0,True,2019-09-30
SANLAM (SOUTH AFRICA),157953010.37037036,74.58,90,0.6666666666666666,355394273.3333333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,157953010.37037036,1.010917540682722,14.0,True,2019-09-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),156247175.47555557,95.28,90,0.6666666666666666,351556144.82000005,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,156247175.47555557,1.0,15.0,True,2019-09-30
SIBANYE STILLWATER (SOUTH AFRICA),155577289.62962967,20.98,90,0.6666666666666666,350048901.6666668,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,155577289.62962967,0.9957126530838908,16.0,True,2019-09-30
OLD MUTUAL (SOUTH AFRICA),153946249.62962964,16.54,90,0.6666666666666666,346379061.6666667,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,153946249.62962964,0.9852738083813496,17.0,True,2019-09-30
NIGERIAN BREWERIES (NIGERIA),150731217.97031662,52.5,90,0.7,307614730.5516666,,,21.0,2019-09-30,NIGERIA,MID,150731217.97031662,5.0,18.0,True,2019-09-30
ZENITH BANK NIGERIA (NIGERIA),149798036.23388332,18.7,90,0.7,305710278.02833337,,,21.0,2019-09-30,NIGERIA,MID,149798036.23388332,5.0,19.0,True,2019-09-30
MR PRICE (SOUTH AFRICA),147370676.73037034,158.25,90,0.6666666666666666,331584022.6433333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,147370676.73037034,0.9431893810677305,20.0,True,2019-09-30
CAPITEC BANK (SOUTH AFRICA),142856766.02814817,1278.39,90,0.6666666666666666,321427723.5633334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,142856766.02814817,0.9142998303383584,21.0,True,2019-09-30
GRINDROD (SOUTH AFRICA),128789346.71111108,426.0,90,0.6666666666666666,289776030.09999996,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,128789346.71111108,0.8242667191846922,22.0,True,2019-09-30
DISCOVERY HOLDINGS (SOUTH AFRICA),127000992.59259258,114.05,90,0.6666666666666666,285752233.3333333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,127000992.59259258,0.8128210459232368,23.0,True,2019-09-30
MONDI (SOUTH AFRICA),126065977.14814816,289.52,90,0.6666666666666666,283648448.5833334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,126065977.14814816,0.8068368389025428,24.0,True,2019-09-30
BID CORP (SOUTH AFRICA),122353203.27259259,322.05,90,0.6666666666666666,275294707.36333334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,122353203.27259259,0.7830746565510517,25.0,True,2019-09-30
WOOLWORTHS HOLDINGS (SOUTH AFRICA),115788133.33333333,55.08,90,0.6666666666666666,260523300.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,115788133.33333333,0.7410574493965688,26.0,True,2019-09-30
GOLD FIELDS (SOUTH AFRICA),110464395.49777777,76.12,90,0.6666666666666666,248544889.87,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,110464395.49777777,0.7069849113212265,27.0,True,2019-09-30
BIDVEST (SOUTH AFRICA),101656480.00296296,190.81,90,0.6666666666666666,228727080.00666666,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,101656480.00296296,0.6506132331260402,28.0,True,2019-09-30
VODACOM (SOUTH AFRICA),100010816.63851851,119.07,90,0.6666666666666666,225024337.43666667,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,100010816.63851851,0.6400807971992103,29.0,True,2019-09-30
SAFARICOM KENYA (KENYA),98319751.46,27.5,90,0.7,200652554.0,,,21.0,2019-09-30,KENYA,MID,98319751.46,5.0,30.0,True,2019-09-30
FOSCHINI (SOUTH AFRICA),98007701.69629629,143.2,90,0.6666666666666666,220517328.81666666,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,98007701.69629629,0.6272606298193808,31.0,True,2019-09-30
TIGER BRANDS (SOUTH AFRICA),91163880.49037036,209.25,90,0.6666666666666666,205118731.10333332,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,91163880.49037036,0.5834593823082114,32.0,True,2019-09-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),90747144.14814815,85.95,90,0.6666666666666666,204181074.33333334,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,90747144.14814815,0.5807922215038395,33.0,True,2019-09-30
CLICKS (SOUTH AFRICA),89486258.06814814,214.99,90,0.6666666666666666,201344080.6533333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,89486258.06814814,0.5727224047141128,34.0,True,2019-09-30
EXXARO RESOURCES (SOUTH AFRICA),82303044.4325926,118.34,90,0.6666666666666666,185181849.97333336,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,82303044.4325926,0.5267490063874383,35.0,True,2019-09-30
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),82152023.09966667,77.56,90,0.7333333333333333,152762026.42500004,,,22.0,2019-09-30,EGYPT,MID,82152023.09966667,5.0,36.0,True,2019-09-30
REMGRO (SOUTH AFRICA),76229105.32444443,116.93,90,0.6666666666666666,171515486.98,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,76229105.32444443,0.4878750933732575,37.0,True,2019-09-30
SONATEL SENEGAL (SENEGAL),73267621.33333333,15005.0,90,0.6666666666666666,164852148.0,,,20.0,2019-09-30,SENEGAL,LOW,73267621.33333333,5.0,38.0,True,2019-09-30
TRUWORTHS INT (SOUTH AFRICA),70639293.33333333,53.0,90,0.6666666666666666,158938410.0,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,70639293.33333333,0.4520996499190134,39.0,True,2019-09-30
KUMBA IRON ORE (SOUTH AFRICA),67618267.33333333,374.47,90,0.6666666666666666,152141101.5,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,67618267.33333333,0.43276473400258053,40.0,True,2019-09-30
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),65422977.576296285,43.3,90,0.6666666666666666,147201699.54666665,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,65422977.576296285,0.41871462557434536,41.0,True,2019-09-30
DANGOTE CEMENT NIGERIA (NIGERIA),59339605.826199986,151.5,90,0.7,121101236.37999998,,,21.0,2019-09-30,NIGERIA,MID,59339605.826199986,5.0,42.0,True,2019-09-30
SPAR (SOUTH AFRICA),58812369.708148144,191.01,90,0.6666666666666666,132327831.84333333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,58812369.708148144,0.37640597040648055,43.0,True,2019-09-30
FIRST HOLDCO NIGERIA (NIGERIA),54190625.02128333,5.5,90,0.7,110593112.28833334,,,21.0,2019-09-30,NIGERIA,MID,54190625.02128333,5.0,44.0,True,2019-09-30
LAFARGE AFRICA NIGERIA (NIGERIA),44878492.69399999,15.9,90,0.7,91588760.6,,,21.0,2019-09-30,NIGERIA,MID,44878492.69399999,4.75271956805367,45.0,True,2019-09-30
INVESTEC (SOUTH AFRICA),43241815.50222221,57.41,90,0.6666666666666666,97294084.87999998,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,43241815.50222221,0.276752622059317,46.0,True,2019-09-30
GLENCORE (SOUTH AFRICA),39839165.80148148,43.92,90,0.6666666666666666,89638123.05333333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,39839165.80148148,0.25497527030633715,47.0,True,2019-09-30
REINET INVEST (SOUTH AFRICA),35416968.95407407,274.5,90,0.6666666666666666,79688180.14666666,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,35416968.95407407,0.22667269885857844,48.0,True,2019-09-30
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),34409490.23213333,6.15,90,0.7,70223449.45333333,,,21.0,2019-09-30,NIGERIA,MID,34409490.23213333,3.6440318677386396,49.0,True,2019-09-30
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),33488271.470033333,38.0,90,0.7,68343411.16333334,,,21.0,2019-09-30,NIGERIA,MID,33488271.470033333,3.5464730110510088,50.0,True,2019-09-30
KCB GROUP KENYA (KENYA),30096532.958333332,42.0,90,0.7,61421495.833333336,,,21.0,2019-09-30,KENYA,MID,30096532.958333332,3.187281313054588,51.0,True,2019-09-30
EQUITY GROUP HOLDINGS KENYA (KENYA),29805459.72833333,37.45,90,0.7,60827468.833333336,,,21.0,2019-09-30,KENYA,MID,29805459.72833333,3.15645609248869,52.0,True,2019-09-30
LIFE HEALTHCARE (SOUTH AFRICA),29437251.85185185,14.72,90,0.6666666666666666,66233816.666666664,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,29437251.85185185,0.18840181758330232,53.0,True,2019-09-30
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),28641195.67259259,140.74,90,0.6666666666666666,64442690.263333336,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,28641195.67259259,0.18330696593663176,54.0,True,2019-09-30
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),27566482.626666665,83.12,90,0.6666666666666666,62024585.91,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,27566482.626666665,0.17642867810419627,55.0,True,2019-09-30
EAST AFRICAN BREWERIES KENYA (KENYA),25436770.974999998,193.75,90,0.7,51911777.5,,,21.0,2019-09-30,KENYA,MID,25436770.974999998,2.6938034658446752,56.0,True,2019-09-30
AVI (SOUTH AFRICA),24925464.426666666,79.27,90,0.6666666666666666,56082294.96,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,24925464.426666666,0.15952585607261863,57.0,True,2019-09-30
QUILTER (SOUTH AFRICA),24341452.63407407,24.88,90,0.6666666666666666,54768268.42666666,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,24341452.63407407,0.15578811303300788,58.0,True,2019-09-30
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),19421003.405890368,2.13,90,0.7333333333333333,36113436.08533333,,,22.0,2019-09-30,EGYPT,MID,19421003.405890368,2.0567219925983045,59.0,True,2019-09-30
EASTERN TOBACCO EGYPT (EGYPT),17573006.15538518,17.01,90,0.7333333333333333,32677077.561666667,,,22.0,2019-09-30,EGYPT,MID,17573006.15538518,1.8610154934056606,60.0,True,2019-09-30
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),16600104.607435552,0.58,90,0.7333333333333333,30867963.112999998,,,22.0,2019-09-30,EGYPT,MID,16600104.607435552,1.7579833292851375,61.0,True,2019-09-30
BRITISH AMERICAN TOBACCO KENYA (KENYA),16020937.508333331,485.0,90,0.7,32695790.833333332,,,21.0,2019-09-30,KENYA,MID,16020937.508333331,1.69664840826084,62.0,True,2019-09-30
CORONATION (NAMIBIA),15261657.795851853,41.69,90,0.6666666666666666,34338730.04066667,,,20.0,2019-09-30,NAMIBIA,LOW,15261657.795851853,5.0,63.0,True,2019-09-30
EFG HOLDING EGYPT (EGYPT),13779598.463660741,19.43,90,0.7333333333333333,25623220.28366667,,,22.0,2019-09-30,EGYPT,MID,13779598.463660741,1.4592862488654486,64.0,True,2019-09-30
OUTSURANCE (SOUTH AFRICA),12070769.685925925,16.17,90,0.6666666666666666,27159231.793333333,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,12070769.685925925,0.07725432251294913,65.0,True,2019-09-30
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),11876765.12510074,9.23,90,0.7333333333333333,22084893.827666666,,,22.0,2019-09-30,EGYPT,MID,11876765.12510074,1.2577725014100198,66.0,True,2019-09-30
DIS-CHEM PHARMACIES (SOUTH AFRICA),10847640.491851853,22.5,90,0.6666666666666666,24407191.10666667,,,20.0,2019-09-30,SOUTH AFRICA,HIGH,10847640.491851853,0.06942615416141673,67.0,True,2019-09-30
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),9828868.36878333,6.0,90,0.7,20058915.03833333,,,21.0,2019-09-30,NIGERIA,MID,9828868.36878333,1.0408962561789796,68.0,True,2019-09-30
TELECOM EGYPT (EGYPT),9468079.045463702,11.99,90,0.7333333333333333,17605932.109333333,,,22.0,2019-09-30,EGYPT,MID,9468079.045463702,1.0026879658832744,69.0,True,2019-09-30
