Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
BLUE LABEL TELECOMS (SOUTH AFRICA),1569166518.871111,1238.0,90,0.7333333333333333,2917871626.0,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,1569166518.871111,4.643332563541738,1.0,True,2025-10-31
NASPERS (SOUTH AFRICA),1100803442.4444442,1220.03,90,0.7333333333333333,2046948550.0,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,1100803442.4444442,3.2573958269504564,2.0,True,2025-10-31
ARADEL HOLDINGS NIGERIA (NIGERIA),1082105897.1074812,782.0,90,0.7333333333333333,2012180387.1833334,,,22.0,2025-10-31,NIGERIA,MID,1082105897.1074812,5.0,3.0,True,2025-10-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),910955825.8186221,89.5,90,0.7333333333333333,1693926122.39,,,22.0,2025-10-31,NIGERIA,MID,910955825.8186221,5.0,4.0,True,2025-10-31
GRINDROD (SOUTH AFRICA),874641669.3259257,1695.0,90,0.7333333333333333,1626399798.3333333,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,874641669.3259257,2.588158806455621,5.0,True,2025-10-31
ZENITH BANK NIGERIA (NIGERIA),781826590.7698888,63.0,90,0.7333333333333333,1453809776.225,,,22.0,2025-10-31,NIGERIA,MID,781826590.7698888,5.0,6.0,True,2025-10-31
MTN NIGERIA (NIGERIA),628422914.3619775,520.1,90,0.7333333333333333,1168555006.0449996,,,22.0,2025-10-31,NIGERIA,MID,628422914.3619775,5.0,7.0,True,2025-10-31
FIRSTRAND (SOUTH AFRICA),599435215.3777777,82.23,90,0.7333333333333333,1114652260.0,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,599435215.3777777,1.7737932984319003,8.0,True,2025-10-31
PPC (SOUTH AFRICA),559821272.7555555,551.0,90,0.7333333333333333,1040989970.0,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,559821272.7555555,1.6565713799573913,9.0,True,2025-10-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),552526322.264074,40.05,90,0.7333333333333333,1027424979.4166666,,,22.0,2025-10-31,NIGERIA,MID,552526322.264074,5.0,10.0,True,2025-10-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),549465552.9664888,1201.05,90,0.7333333333333333,1021733466.2600001,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,549465552.9664888,1.6259276908796507,11.0,True,2025-10-31
PROSUS (SOUTH AFRICA),543276275.8178961,1196.4,90,0.7333333333333333,1010224479.8266666,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,543276275.8178961,1.607612953862753,12.0,True,2025-10-31
GOLD FIELDS (SOUTH AFRICA),540704481.6513184,678.02,90,0.7333333333333333,1005442217.9466667,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,540704481.6513184,1.6000027382120978,13.0,True,2025-10-31
DANGOTE CEMENT NIGERIA (NIGERIA),527792593.26863915,660.0,90,0.7333333333333333,981432508.1441638,,,22.0,2025-10-31,NIGERIA,MID,527792593.26863915,5.0,14.0,True,2025-10-31
FIDELITY BANK NIGERIA (NIGERIA),481735729.11310786,19.0,90,0.7333333333333333,895789578.929333,,,22.0,2025-10-31,NIGERIA,MID,481735729.11310786,5.0,15.0,True,2025-10-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),459621213.9851851,186.4,90,0.7333333333333333,854667546.6666666,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,459621213.9851851,1.3600686250477494,16.0,True,2025-10-31
MTN GROUP (SOUTH AFRICA),444680551.6592592,172.93,90,0.7333333333333333,826885323.3333334,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,444680551.6592592,1.3158575976873377,17.0,True,2025-10-31
CAPITEC BANK (SOUTH AFRICA),435769728.49797034,3832.57,90,0.7333333333333333,810315610.8433334,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,435769728.49797034,1.289489513194596,18.0,True,2025-10-31
SIBANYE STILLWATER (SOUTH AFRICA),411011073.7333333,46.33,90,0.7333333333333333,764276790.0,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,411011073.7333333,1.2162259898428276,19.0,True,2025-10-31
GEREGU POWER NIGERIA (NIGERIA),388363301.55577767,1141.5,90,0.7333333333333333,722163164.05,,,22.0,2025-10-31,NIGERIA,MID,388363301.55577767,5.0,20.0,True,2025-10-31
FIRST HOLDCO NIGERIA (NIGERIA),375698125.9057482,31.5,90,0.7333333333333333,698612217.5933335,,,22.0,2025-10-31,NIGERIA,MID,375698125.9057482,5.0,21.0,True,2025-10-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),343570665.9961481,291.2,90,0.7333333333333333,638871073.1333333,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,343570665.9961481,1.0166625671094078,22.0,True,2025-10-31
STANDARD BANK GROUP (SOUTH AFRICA),336062741.5851851,254.56,90,0.7333333333333333,624910056.6666666,,,22.0,2025-10-31,SOUTH AFRICA,HIGH,336062741.5851851,0.9944458109635307,23.0,True,2025-10-31
