Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),662877893.2872,564.87,90,0.6,1841327481.3533332,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,662877893.2872,4.5610449543592,1.0,True,2022-12-31
GRINDROD (SOUTH AFRICA),486195425.64,1000.0,90,0.6,1350542849.0,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,486195425.64,3.3453509543831794,2.0,True,2022-12-31
PROSUS (SOUTH AFRICA),392359266.0984,540.36,90,0.6,1089886850.2733333,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,392359266.0984,2.699695176225818,3.0,True,2022-12-31
FIRSTRAND (SOUTH AFRICA),274799377.2,62.12,90,0.6,763331603.3333334,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,274799377.2,1.890804212256437,4.0,True,2022-12-31
ANGLO AMERICAN (SOUTH AFRICA),273278761.6512,663.34,90,0.6,759107671.2533333,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,273278761.6512,1.8803413563570182,5.0,True,2022-12-31
PPC (SOUTH AFRICA),269091763.79999995,200.0,90,0.6,747477121.6666666,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,269091763.79999995,1.8515320000388784,6.0,True,2022-12-31
MTN NIGERIA (NIGERIA),260484323.88405553,215.0,90,0.6333333333333333,649406901.65,,,19.0,2022-12-31,NIGERIA,MID,260484323.88405553,5.0,7.0,True,2022-12-31
STANDARD BANK GROUP (SOUTH AFRICA),216090958.99199998,167.79,90,0.6,600252663.8666667,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,216090958.99199998,1.486850878833093,8.0,True,2022-12-31
MTN GROUP (SOUTH AFRICA),187644697.22519997,127.3,90,0.6,521235270.06999993,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,187644697.22519997,1.2911214993866875,9.0,True,2022-12-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),178105909.188,213.14,90,0.6,494738636.6333333,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,178105909.188,1.2254882334588961,10.0,True,2022-12-31
ABSA (SOUTH AFRICA),173485183.5648,193.9,90,0.6,481903287.68,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,173485183.5648,1.1936945388695919,11.0,True,2022-12-31
CAPITEC BANK (SOUTH AFRICA),171135089.6328,1858.57,90,0.6,475375248.9800001,,,18.0,2022-12-31,SOUTH AFRICA,HIGH,171135089.6328,1.1775243147915737,12.0,True,2022-12-31
