Date,ObservationDate,ImplementationDate,Company,Country,Weight,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Rank,Dividend_Status,Price,Trading Days (90d),StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Regime,RawLiquidity
2026-01-31,2025-12-31,2026-01-31,MARSA MAROC MOROCCO (MOROCCO),MOROCCO,0.05237699688781658,5420773.640564676,5420773.640564676,5420773.640564676,1084154.728112935,30,47,OK,107.5181074640089,85,,,,,MID,5420773.640564676
2026-01-31,2025-12-31,2026-01-31,ATTIJARIWAFA BANK MOROCCO (MOROCCO),MOROCCO,0.05216151601289989,5398472.380160305,5398472.380160305,5398472.380160305,1079694.476032061,30,48,OK,82.63049500997147,85,,,,,MID,5398472.380160305
2026-01-31,2025-12-31,2026-01-31,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),EGYPT,0.03980695292482517,6292655.221301473,6292655.221301473,6292655.221301473,1258531.044260295,30,44,OK,2.160334579196188,86,,,,,MID,6292655.221301473
2026-01-31,2025-12-31,2026-01-31,SAFARICOM KENYA (KENYA),KENYA,0.03824865061574171,2030132.75800696,2030132.75800696,2030132.75800696,406026.551601392,30,64,OK,0.2213287532203919,83,,,,,MID,2030132.75800696
2026-01-31,2025-12-31,2026-01-31,BELTONE HOLDING EGYPT (EGYPT),EGYPT,0.03611182594179119,5708532.137400225,5708532.137400225,5708532.137400225,1141706.427480045,30,46,ZERO_CONFIRMED,0.07173149767816468,86,,,,,MID,5708532.137400225
2026-01-31,2025-12-31,2026-01-31,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),MOROCCO,0.0342659661489579,3546366.861517396,3546366.861517396,3546366.861517396,709273.3723034794,30,52,OK,32.82131701532903,85,,,,,MID,3546366.861517396
2026-01-31,2025-12-31,2026-01-31,MAROC TELECOM MOROCCO (MOROCCO),MOROCCO,0.03369793927913908,3487578.743335641,3487578.743335641,3487578.743335641,697515.7486671284,30,54,OK,12.3362881195547,85,,,,,MID,3487578.743335641
2026-01-31,2025-12-31,2026-01-31,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),NIGERIA,0.03311413326010556,1757606.754803538,1757606.754803538,1757606.754803538,351521.3509607076,30,68,OK,0.06277381356108162,86,,,,,MID,1757606.754803538
2026-01-31,2025-12-31,2026-01-31,LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),MOROCCO,0.02711067210091015,2805827.470738218,2805827.470738218,2805827.470738218,561165.4941476437,30,60,OK,208.2455976145014,85,,,,,MID,2805827.470738218
2026-01-31,2025-12-31,2026-01-31,CORONATION (NAMIBIA),NAMIBIA,0.02597523800495016,1378693.90741784,1378693.90741784,1378693.90741784,275738.781483568,30,73,OK,2.856556395607403,85,,,,,LOW,1378693.90741784
