header,status,canonical,events,output
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),imported,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/CUSTODIAN INVESTMENT NIGERIA.csv
CUTIX PLC NIGERIA (NIGERIA),imported,CUTIX PLC NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/CUTIX PLC NIGERIA.csv
DANGOTE CEMENT NIGERIA (NIGERIA),imported,DANGOTE CEMENT NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/DANGOTE CEMENT NIGERIA.csv
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),imported,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/DANGOTE SUGAR REFINERY NIGERIA.csv
DIS-CHEM PHARMACIES (SOUTH AFRICA),imported,DIS-CHEM PHARMACIES (SOUTH AFRICA),16,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/DIS-CHEM PHARMACIES.csv
DISCOVERY HOLDINGS (SOUTH AFRICA),imported,DISCOVERY HOLDINGS (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/DISCOVERY HOLDINGS.csv
EAST AFRICAN BREWERIES KENYA (KENYA),imported,EAST AFRICAN BREWERIES KENYA (KENYA),18,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/EAST AFRICAN BREWERIES KENYA.csv
EASTERN TOBACCO EGYPT (EGYPT),imported,EASTERN TOBACCO EGYPT (EGYPT),11,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/EASTERN TOBACCO EGYPT.csv
EFG HOLDING EGYPT (EGYPT),imported,EFG HOLDING EGYPT (EGYPT),3,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/EFG HOLDING EGYPT.csv
EGYPT ALUMINIUM (EGYPT),imported,EGYPT ALUMINIUM (EGYPT),9,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/EGYPT ALUMINIUM.csv
EMAAR MISR EGYPT (EGYPT),imported,EMAAR MISR EGYPT (EGYPT),0,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/EMAAR MISR EGYPT.csv
EQUITY GROUP HOLDINGS KENYA (KENYA),imported,EQUITY GROUP HOLDINGS KENYA (KENYA),8,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/EQUITY GROUP HOLDINGS KENYA.csv
ETERNA PLC NIGERIA (NIGERIA),imported,ETERNA PLC NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/ETERNA PLC NIGERIA.csv
EXXARO RESOURCES (SOUTH AFRICA),imported,EXXARO RESOURCES (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/EXXARO RESOURCES.csv
FAWRY EGYPT (EGYPT),imported,FAWRY EGYPT (EGYPT),0,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/FAWRY EGYPT.csv
FCMB GROUP NIGERIA (NIGERIA),imported,FCMB GROUP NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/FCMB GROUP NIGERIA.csv
FIDELITY BANK NIGERIA (NIGERIA),imported,FIDELITY BANK NIGERIA (NIGERIA),13,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/FIDELITY BANK NIGERIA.csv
FIRST HOLDCO NIGERIA (NIGERIA),imported,FIRST HOLDCO NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/FIRST HOLDCO NIGERIA.csv
FIRSTRAND (SOUTH AFRICA),imported,FIRSTRAND (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/FIRSTRAND.csv
FOSCHINI (SOUTH AFRICA),imported,FOSCHINI (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/FOSCHINI.csv
GB AUTO EGYPT (EGYPT),imported,GB AUTO EGYPT (EGYPT),4,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/GB AUTO EGYPT.csv
GLENCORE (SOUTH AFRICA),imported,GLENCORE (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/GLENCORE.csv
GOLD FIELDS (SOUTH AFRICA),imported,GOLD FIELDS (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/GOLD FIELDS.csv
GRINDROD (SOUTH AFRICA),imported,GRINDROD (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/GRINDROD.csv
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),imported,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/GUARANTY TRUST HOLDING COMPANY NIGERIA.csv
GUINNESS NIGERIA (NIGERIA),imported,GUINNESS NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/GUINNESS NIGERIA.csv
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),imported,HARMONY GOLD MINING COMPANY (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/HARMONY GOLD MINING COMPANY.csv
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),imported,HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/HONEYWELL FLOUR MILLS NIGERIA.csv
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),imported,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/IMPALA PLATINUM HOLDINGS.csv
