Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
CLICKS (SOUTH AFRICA),OK,17656511.453018907,16.81313800540609,84,17656511.453018907,17656511.453018907,3531302.2906037816,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,17656511.453018907,24.0,True,2022-07-31
TIGER BRANDS (SOUTH AFRICA),OK,16267185.790607495,8.73783660417797,84,16267185.790607495,16267185.790607495,3253437.1581214992,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,16267185.790607495,25.0,True,2022-07-31
VODACOM (SOUTH AFRICA),OK,14736749.620511778,8.066689058757092,84,14736749.620511778,14736749.620511778,2947349.9241023557,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14736749.620511778,26.0,True,2022-07-31
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,14707359.968473699,7.880293360991256,84,14707359.968473699,14707359.968473699,2941471.99369474,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14707359.968473699,27.0,True,2022-07-31
MR PRICE (SOUTH AFRICA),OK,14129390.497601267,10.911222743474,84,14129390.497601267,14129390.497601267,2825878.0995202535,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14129390.497601267,28.0,True,2022-07-31
MONDI (SOUTH AFRICA),OK,13736430.86980239,17.73281314784808,84,13736430.86980239,13736430.86980239,2747286.173960478,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,13736430.86980239,29.0,True,2022-07-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,13136129.929084802,10.53720101330361,84,13136129.929084802,13136129.929084802,2627225.9858169607,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,13136129.929084802,30.0,True,2022-07-31
KUMBA IRON ORE (SOUTH AFRICA),OK,12568485.083802808,32.33627014211596,84,12568485.083802808,12568485.083802808,2513697.0167605616,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12568485.083802808,31.0,True,2022-07-31
EXXARO RESOURCES (SOUTH AFRICA),OK,12525139.435391363,11.82966755127727,84,12525139.435391363,12525139.435391363,2505027.8870782726,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12525139.435391363,32.0,True,2022-07-31
BIDVEST (SOUTH AFRICA),OK,12391670.48636937,12.89329184644932,84,12391670.48636937,12391670.48636937,2478334.097273874,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12391670.48636937,33.0,True,2022-07-31
OLD MUTUAL (SOUTH AFRICA),OK,11708193.53254652,0.6785295532531893,84,11708193.53254652,11708193.53254652,2341638.7065093042,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,11708193.53254652,34.0,True,2022-07-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,11080630.999513166,8.553286408370212,84,11080630.999513166,11080630.999513166,2216126.199902633,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,11080630.999513166,35.0,True,2022-07-31
THUNGELA RESOURSES (SOUTH AFRICA),OK,9461883.74685148,14.24296894512339,84,9461883.74685148,9461883.74685148,1892376.749370296,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,9461883.74685148,36.0,True,2022-07-31
REMGRO (SOUTH AFRICA),OK,9338727.817006538,7.833540644719958,84,9338727.817006538,9338727.817006538,1867745.5634013077,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,9338727.817006538,37.0,True,2022-07-31
INVESTEC (SOUTH AFRICA),OK,9015159.746739587,5.376562371199343,84,9015159.746739587,9015159.746739587,1803031.9493479175,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,9015159.746739587,38.0,True,2022-07-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,8971860.312543001,1.176199914614776,84,8971860.312543001,8971860.312543001,1794372.0625086003,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,8971860.312543001,39.0,True,2022-07-31
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,8456847.590815997,0.7597316394086028,84,8456847.590815997,8456847.590815997,1691369.5181631995,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,8456847.590815997,40.0,True,2022-07-31
REINET INVEST (SOUTH AFRICA),OK,7846737.985672159,17.58148198728572,84,7846737.985672159,7846737.985672159,1569347.5971344318,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,7846737.985672159,41.0,True,2022-07-31
SPAR (SOUTH AFRICA),OK,7632340.7919282345,8.496691014989167,84,7632340.7919282345,7632340.7919282345,1526468.158385647,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,7632340.7919282345,42.0,True,2022-07-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,6485338.16606204,3.197024558709724,84,6485338.16606204,6485338.16606204,1297067.633212408,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,6485338.16606204,43.0,True,2022-07-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,5745602.227459879,13.14920145130274,84,5745602.227459879,5745602.227459879,1149120.4454919759,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,5745602.227459879,44.0,True,2022-07-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,5306205.6127731865,1.986264512038532,82,5306205.6127731865,5306205.6127731865,1061241.1225546373,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,5306205.6127731865,45.0,True,2022-07-31
TRUWORTHS INT (SOUTH AFRICA),OK,5262868.205986517,3.116437639873669,84,5262868.205986517,5262868.205986517,1052573.6411973033,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,5262868.205986517,46.0,True,2022-07-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,4293001.148465183,0.2257664062048237,84,4293001.148465183,4293001.148465183,858600.2296930365,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,4293001.148465183,47.0,True,2022-07-31
OUTSURANCE (SOUTH AFRICA),OK,4229004.893085835,1.708934813179837,84,4229004.893085835,4229004.893085835,845800.978617167,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,4229004.893085835,48.0,True,2022-07-31
QUILTER (SOUTH AFRICA),OK,3840736.471828463,1.237716646550695,84,3840736.471828463,3840736.471828463,768147.2943656927,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,3840736.471828463,49.0,True,2022-07-31
EFG HOLDING EGYPT (EGYPT),OK,3000113.392115101,0.6356259557033177,82,3000113.392115101,3000113.392115101,600022.6784230203,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,3000113.392115101,50.0,True,2022-07-31
LIFE HEALTHCARE (SOUTH AFRICA),OK,2675449.4676981,0.715439592414741,84,2675449.4676981,2675449.4676981,535089.89353962,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2675449.4676981,51.0,True,2022-07-31
AVI (SOUTH AFRICA),OK,2642957.107326574,4.042879622828613,84,2642957.107326574,2642957.107326574,528591.4214653148,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2642957.107326574,52.0,True,2022-07-31
NINETY ONE (SOUTH AFRICA),OK,2577854.898178743,2.370854848810328,84,2577854.898178743,2577854.898178743,515570.97963574866,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2577854.898178743,53.0,True,2022-07-31
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,2432880.843864863,43.5978824350796,87,2432880.843864863,2432880.843864863,486576.1687729726,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,2432880.843864863,54.0,True,2022-07-31
MTN NIGERIA (NIGERIA),OK,2257461.2909456063,0.5545241941316875,85,2257461.2909456063,2257461.2909456063,451492.25818912126,30,,,,,2022-07-31,2022-06-30,2022-07-31,NIGERIA,MID,2257461.2909456063,55.0,True,2022-07-31
SAFARICOM KENYA (KENYA),OK,2111470.608171506,0.213466803559206,81,2111470.608171506,2111470.608171506,422294.1216343012,30,,,,,2022-07-31,2022-06-30,2022-07-31,KENYA,MID,2111470.608171506,56.0,True,2022-07-31
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),OK,1729331.3248110479,172.9670948416227,81,1729331.3248110479,1729331.3248110479,345866.2649622096,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,1729331.3248110479,57.0,True,2022-07-31
MAROC TELECOM MOROCCO (MOROCCO),OK,1689153.5031705631,12.10769663891359,87,1689153.5031705631,1689153.5031705631,337830.70063411264,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,1689153.5031705631,58.0,True,2022-07-31
FAWRY EGYPT (EGYPT),ZERO_CONFIRMED,1600510.5654423884,0.1891426775143988,82,1600510.5654423884,1600510.5654423884,320102.1130884777,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,1600510.5654423884,59.0,True,2022-07-31
SANTAM (SOUTH AFRICA),OK,1278282.634496662,14.55301327408042,84,1278282.634496662,1278282.634496662,255656.5268993324,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,1278282.634496662,60.0,True,2022-07-31
ABU QIR FERTILIZERS EGYPT (EGYPT),OK,1259437.6382034803,1.209447543542776,82,1259437.6382034803,1259437.6382034803,251887.52764069606,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,1259437.6382034803,61.0,True,2022-07-31
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),OK,1171317.4453755806,0.2621357671467161,82,1171317.4453755806,1171317.4453755806,234263.48907511611,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,1171317.4453755806,62.0,True,2022-07-31
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),OK,1113797.151585436,25.93488969125272,85,1113797.151585436,1113797.151585436,222759.43031708722,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,1113797.151585436,63.0,True,2022-07-31
BANK OF AFRICA MOROCCO (MOROCCO),OK,1087071.9663387854,19.0263804325785,87,1087071.9663387854,1087071.9663387854,217414.39326775708,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,1087071.9663387854,64.0,True,2022-07-31
