Company,Date,OriginalDividend,SanitizedDividend,PrevPrice,OriginalImpact,Action
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),2024-04-01,0.8,0.8,39.5,0.020253164556962026,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2017-10-24,1.05,1.05,370.34,0.0028352324890641035,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2018-10-23,1.1,1.1,609.6,0.0018044619422572178,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2019-10-22,1.3,1.3,441.6,0.002943840579710145,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2020-10-20,1.2,1.2,359.6,0.003337041156840934,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2021-10-18,1.3,1.3,416.6,0.0031204992798847817,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2022-05-10,1.0,1.0,562.0,0.0017793594306049821,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2022-10-18,0.003,0.003,525.8,5.705591479650057e-06,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2023-10-24,7.0,7.0,1842.2,0.003799804581478667,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2024-10-22,0.0075,0.0075,1266.0,5.924170616113744e-06,keep
ABU QIR FERTILIZERS EGYPT (EGYPT),2025-10-22,0.006,0.006,1073.4,5.589714924538848e-06,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2016-10-18,0.0055,0.0055,36.12,0.0001522702104097453,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2017-10-18,0.85,0.85,124.3,0.006838294448913918,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2018-01-10,0.85,0.85,87.10000000000001,0.00975889781859931,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2018-10-03,0.85,0.85,105.0,0.008095238095238095,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2019-02-06,0.00085,0.00085,60.1,1.4143094841930115e-05,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2019-10-24,0.35,0.35,40.4,0.008663366336633662,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2020-02-26,0.00035,0.00035,31.1,1.12540192926045e-05,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2021-10-23,0.15,0.15,,,missing_prev_price
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2022-10-20,0.00055,0.00055,38.1,1.4435695538057743e-05,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2023-02-21,0.55,0.55,83.4,0.006594724220623501,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2023-11-08,0.65,0.65,101.8,0.0063850687622789785,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2024-03-06,0.65,0.65,92.5,0.007027027027027027,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2024-10-15,0.75,0.75,81.30000000000001,0.009225092250922507,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2025-02-11,0.75,0.75,77.5,0.00967741935483871,keep
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),2025-10-15,0.0008,0.0008,68.8,1.1627906976744187e-05,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2016-03-22,0.27192781,0.27192781,,,missing_prev_price
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2017-04-04,0.1812852,0.1812852,76.41,0.0023725323910482924,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2018-03-20,0.36257041,0.36257041,89.73,0.004040682157583863,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2019-03-26,0.45321301,0.45321301,68.15,0.006650227586206896,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2020-04-07,0.56651626,0.56651626,57.0,0.009938881754385965,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2022-04-05,0.81578341,0.81578341,47.94,0.01701675865665415,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2023-04-04,0.48895182,0.48895182,52.5,0.009313367999999999,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2024-04-22,0.5,0.5,81.15,0.0061614294516327784,keep
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),2025-04-08,2.27272727,2.27272727,78.15,0.029081602943058216,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2016-11-29,0.00675,0.00675,62.5,0.000108,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2017-11-27,0.01125,0.01125,110.84,0.0001014976542764345,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2018-11-19,0.014,0.014,132.01,0.00010605257177486555,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2019-12-16,0.014,0.014,114.11,0.00012268863377442818,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2020-12-01,0.011,0.011,98.42,0.00011176590123958544,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2021-11-29,0.012,0.012,100.0,0.00012,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2022-11-14,0.014,0.014,107.79,0.00012988217830967622,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2023-11-21,0.017,0.017,130.78,0.00012998929499923536,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2024-12-12,22.0,22.0,268.66,0.08188788803692398,keep
EAST DELTA FLOUR MILLS EGYPT (EGYPT),2025-11-05,23.0,23.0,363.58,0.06325980526981682,keep
EASTERN TOBACCO EGYPT (EGYPT),2016-11-02,0.19822222,0.19822222,208.09,0.0009525792685857081,keep
EASTERN TOBACCO EGYPT (EGYPT),2017-10-18,0.37992593,0.37992593,624.94,0.0006079398502256216,keep
EASTERN TOBACCO EGYPT (EGYPT),2018-06-11,0.99111112,0.99111112,332.1,0.002984375549533273,keep
EASTERN TOBACCO EGYPT (EGYPT),2018-10-16,0.74333334,0.74333334,306.4,0.0024260226501305483,keep
EASTERN TOBACCO EGYPT (EGYPT),2019-11-12,0.74333334,0.74333334,320.0,0.0023229166875,keep
EASTERN TOBACCO EGYPT (EGYPT),2020-11-11,1.06287896,1.06287896,250.8,0.0042379543859649114,keep
EASTERN TOBACCO EGYPT (EGYPT),2021-11-29,1.18933334,1.18933334,238.0,0.004997198907563025,keep
EASTERN TOBACCO EGYPT (EGYPT),2022-11-21,1.18933334,1.18933334,293.8,0.004048105309734513,keep
EASTERN TOBACCO EGYPT (EGYPT),2023-10-24,0.00278750002,0.00278750002,546.0,5.105311391941392e-06,keep
EASTERN TOBACCO EGYPT (EGYPT),2024-10-17,2.7,2.7,576.1999999999999,0.0046858729607775085,keep
EASTERN TOBACCO EGYPT (EGYPT),2025-12-09,2.85,2.85,894.0,0.0031879194630872482,keep
EFG HOLDING EGYPT (EGYPT),2017-05-23,1.22217778,1.22217778,26.32,0.04643532598784195,keep
EFG HOLDING EGYPT (EGYPT),2019-06-10,0.36111111,0.36111111,16.37,0.022059322541233963,keep
EFG HOLDING EGYPT (EGYPT),2025-06-15,2.2237,2.2237,,,missing_prev_price
EGYPT ALUMINIUM (EGYPT),2016-10-31,0.33,0.33,12.28,0.02687296416938111,keep
EGYPT ALUMINIUM (EGYPT),2017-11-05,1.0,1.0,,,missing_prev_price
EGYPT ALUMINIUM (EGYPT),2018-05-27,4.67,4.67,,,missing_prev_price
EGYPT ALUMINIUM (EGYPT),2018-11-05,2.0,2.0,73.16,0.02733734281027884,keep
EGYPT ALUMINIUM (EGYPT),2019-11-11,0.75,0.75,,,missing_prev_price
EGYPT ALUMINIUM (EGYPT),2022-11-21,0.0045,0.0045,62.2,7.234726688102893e-05,keep
EGYPT ALUMINIUM (EGYPT),2023-11-20,6.5,6.5,154.16,0.04216398546964193,keep
EGYPT ALUMINIUM (EGYPT),2024-11-18,7.0,7.0,227.2,0.030809859154929578,keep
EGYPT ALUMINIUM (EGYPT),2025-10-13,8.0,8.0,330.38,0.02421454083176948,keep
GB AUTO EGYPT (EGYPT),2021-04-20,0.25,0.25,3.79,0.06596306068601583,keep
GB AUTO EGYPT (EGYPT),2022-04-18,0.35,0.35,3.92,0.08928571428571429,keep
GB AUTO EGYPT (EGYPT),2024-04-21,0.2,0.2,,,missing_prev_price
GB AUTO EGYPT (EGYPT),2025-04-27,0.35,0.35,,,missing_prev_price
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),2017-06-22,0.0001,0.0001,0.68,0.00014705882352941175,keep
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),2021-02-17,0.0004779999999999,0.0004779999999999,0.65,0.0007353846153844615,keep
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),2016-04-05,0.14285714,0.14285714,2.79,0.05120327598566308,keep
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),2021-04-21,0.1,0.1,1.69,0.0591715976331361,keep
RAYA HOLDING EGYPT (EGYPT),2016-01-20,0.0047,0.0047,,,missing_prev_price
RAYA HOLDING EGYPT (EGYPT),2017-05-24,0.0059,0.0059,11.13,0.0005300988319856244,keep
RAYA HOLDING EGYPT (EGYPT),2019-06-15,0.0075,0.0075,,,missing_prev_price
RAYA HOLDING EGYPT (EGYPT),2019-07-15,0.012,0.012,10.22,0.0011741682974559687,keep
RAYA HOLDING EGYPT (EGYPT),2020-01-12,0.0095,0.0095,,,missing_prev_price
RAYA HOLDING EGYPT (EGYPT),2021-07-13,0.0225,0.0225,53.8,0.00041821561338289964,keep
RAYA HOLDING EGYPT (EGYPT),2022-01-15,0.03,0.03,,,missing_prev_price
RAYA HOLDING EGYPT (EGYPT),2023-01-10,0.0175,0.0175,61.0,0.0002868852459016394,keep
RAYA HOLDING EGYPT (EGYPT),2025-07-07,0.04,0.04,127.2,0.00031446540880503143,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2016-05-17,0.64814815,0.64814815,12.82,0.05055757800312013,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2017-05-24,0.74074074,0.74074074,18.78,0.03944306389776358,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2018-05-29,0.64814815,0.64814815,30.65,0.021146758564437197,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2019-05-27,0.5787037,0.5787037,13.07,0.0442772532517215,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2020-07-20,0.13888889,0.13888889,5.63,0.024669429840142094,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2023-05-15,0.6,0.6,23.28,0.02577319587628866,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2024-05-27,0.83333333,0.83333333,31.5,0.026455026349206347,keep
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),2025-05-27,0.8,0.8,20.9,0.038277511961722493,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2016-04-19,0.145378,0.145378,6.46,0.02250433436532508,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2017-04-23,0.145378,0.145378,,,missing_prev_price
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2018-04-22,0.17,0.17,,,missing_prev_price
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2019-05-13,0.176,0.176,11.0,0.016,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2020-05-12,0.088,0.088,5.24,0.01679389312977099,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2021-05-10,0.144,0.144,5.79,0.024870466321243522,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2022-05-11,0.174454,0.174454,8.36,0.0208677033492823,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2024-05-28,0.220006,0.220006,58.39,0.003767871210823771,keep
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),2025-05-27,0.25,0.25,51.13,0.004889497359671426,keep
TELECOM EGYPT (EGYPT),2016-04-26,0.75,0.75,,,missing_prev_price
TELECOM EGYPT (EGYPT),2017-04-24,1.0,1.0,11.54,0.08665511265164645,keep
TELECOM EGYPT (EGYPT),2018-04-24,0.25,0.25,15.11,0.01654533421575116,keep
TELECOM EGYPT (EGYPT),2019-04-22,0.25,0.25,14.24,0.0175561797752809,keep
TELECOM EGYPT (EGYPT),2020-04-16,0.25,0.25,9.89,0.025278058645096056,keep
TELECOM EGYPT (EGYPT),2021-04-26,0.75,0.75,11.79,0.06361323155216285,keep
TELECOM EGYPT (EGYPT),2022-04-20,1.0,1.0,16.3,0.06134969325153374,keep
TELECOM EGYPT (EGYPT),2023-04-18,1.25,1.25,,,missing_prev_price
TELECOM EGYPT (EGYPT),2024-04-22,1.5,1.5,36.8,0.04076086956521739,keep
TELECOM EGYPT (EGYPT),2025-04-22,1.5,1.5,,,missing_prev_price
CALBANK PLC GHANA (GHANA),2016-03-22,0.0781,0.0781,,,missing_prev_price
CALBANK PLC GHANA (GHANA),2018-05-15,0.048,0.048,1.76,0.027272727272727275,keep
CALBANK PLC GHANA (GHANA),2019-05-02,0.0442,0.0442,,,missing_prev_price
CALBANK PLC GHANA (GHANA),2020-06-17,8.9e-05,8.9e-05,0.69,0.00012898550724637682,keep
CALBANK PLC GHANA (GHANA),2021-05-05,0.00011,0.00011,0.84,0.00013095238095238096,keep
CALBANK PLC GHANA (GHANA),2022-06-01,0.0001012,0.0001012,0.87,0.00011632183908045976,keep
ECOBANK GHANA (GHANA),2016-04-20,0.0007025,0.0007025,6.85,0.00010255474452554745,keep
ECOBANK GHANA (GHANA),2017-04-19,0.6858,0.6858,7.31,0.09381668946648426,keep
ECOBANK GHANA (GHANA),2020-08-12,0.276,0.276,7.5,0.036800000000000006,keep
ECOBANK GHANA (GHANA),2021-05-12,0.506,0.506,7.0,0.07228571428571429,keep
ECOBANK GHANA (GHANA),2022-05-27,0.5704,0.5704,7.6,0.07505263157894737,keep
ECOBANK GHANA (GHANA),2025-06-11,0.34,0.34,7.61,0.04467805519053877,keep
ECOBANK TRANSITIONAL INC GHANA (GHANA),2016-06-15,0.002,0.002,0.19,0.010526315789473684,keep
ECOBANK TRANSITIONAL INC GHANA (GHANA),2017-06-14,0.002,0.002,0.11,0.01818181818181818,keep
ECOBANK TRANSITIONAL INC GHANA (GHANA),2022-06-01,0.0016,0.0016,0.18,0.008888888888888889,keep
ECOBANK TRANSITIONAL INC GHANA (GHANA),2023-06-14,0.0011,0.0011,0.15,0.007333333333333334,keep
ECOBANK TRANSITIONAL INC GHANA (GHANA),2025-06-18,0.0011,0.0011,0.85,0.0012941176470588236,keep
GCB BANK PLC GHANA (GHANA),2016-05-25,0.3,0.3,3.04,0.09868421052631579,keep
GCB BANK PLC GHANA (GHANA),2017-06-14,0.38,0.38,5.2,0.07307692307692308,keep
GCB BANK PLC GHANA (GHANA),2018-06-13,0.1,0.1,5.19,0.019267822736030827,keep
GCB BANK PLC GHANA (GHANA),2019-05-15,0.3,0.3,5.01,0.059880239520958084,keep
GCB BANK PLC GHANA (GHANA),2020-07-15,0.2,0.2,3.74,0.053475935828877004,keep
GCB BANK PLC GHANA (GHANA),2021-05-19,0.25,0.25,5.08,0.049212598425196846,keep
GCB BANK PLC GHANA (GHANA),2022-06-15,0.5,0.5,5.0,0.1,keep
MTN GHANA (GHANA),2019-09-13,0.02,0.02,0.71,0.028169014084507043,keep
MTN GHANA (GHANA),2020-08-28,0.04,0.04,0.59,0.06779661016949153,keep
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2016-03-23,0.06,0.06,,,missing_prev_price
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2017-03-27,0.03,0.03,,,missing_prev_price
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2019-03-22,0.0368,0.0368,0.9,0.040888888888888884,keep
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2020-09-24,0.0414,0.0414,0.64,0.0646875,keep
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2021-09-24,0.1049,0.1049,1.25,0.08392,keep
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2022-10-14,0.0682,0.0682,1.0,0.0682,keep
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),2025-06-30,0.34,0.34,,,missing_prev_price
STANDARD CHARTERED BANK GHANA (GHANA),2016-06-01,0.2918,0.2918,14.5,0.020124137931034482,keep
STANDARD CHARTERED BANK GHANA (GHANA),2017-05-31,0.8832,0.8832,16.06,0.054993773349937734,keep
STANDARD CHARTERED BANK GHANA (GHANA),2019-05-30,0.9568,0.9568,21.7,0.04409216589861751,keep
STANDARD CHARTERED BANK GHANA (GHANA),2020-08-05,1.4352,1.4352,,,missing_prev_price
STANDARD CHARTERED BANK GHANA (GHANA),2021-07-21,1.6008,1.6008,,,missing_prev_price
STANDARD CHARTERED BANK GHANA (GHANA),2022-05-25,1.6928,1.6928,20.3,0.08338916256157636,keep
STANDARD CHARTERED BANK GHANA (GHANA),2024-09-02,2.7098,2.7098,,,missing_prev_price
STANDARD CHARTERED BANK GHANA (GHANA),2025-07-09,1.5368,1.5368,27.88,0.055121951219512196,keep
ABSA BANK KENYA (KENYA),2016-04-29,0.8,0.8,11.0,0.07272727272727274,keep
ABSA BANK KENYA (KENYA),2016-09-23,0.2,0.2,8.1,0.02469135802469136,keep
ABSA BANK KENYA (KENYA),2017-04-28,0.8,0.8,8.15,0.09815950920245399,keep
ABSA BANK KENYA (KENYA),2017-09-22,0.2,0.2,10.45,0.019138755980861247,keep
ABSA BANK KENYA (KENYA),2018-04-27,0.8,0.8,13.4,0.05970149253731343,keep
ABSA BANK KENYA (KENYA),2018-09-21,0.2,0.2,10.1,0.019801980198019802,keep
ABSA BANK KENYA (KENYA),2019-04-26,0.9,0.9,11.9,0.07563025210084033,keep
ABSA BANK KENYA (KENYA),2019-09-23,0.2,0.2,,,missing_prev_price
ABSA BANK KENYA (KENYA),2020-04-27,0.9,0.9,,,missing_prev_price
ABSA BANK KENYA (KENYA),2022-04-27,1.1,1.1,11.75,0.09361702127659575,keep
ABSA BANK KENYA (KENYA),2022-09-22,0.2,0.2,11.55,0.017316017316017316,keep
ABSA BANK KENYA (KENYA),2023-04-27,1.15,1.15,12.15,0.09465020576131686,keep
ABSA BANK KENYA (KENYA),2023-09-21,0.2,0.2,11.95,0.01673640167364017,keep
ABSA BANK KENYA (KENYA),2024-04-27,0.00135,0.00135,13.35,0.00010112359550561799,keep
ABSA BANK KENYA (KENYA),2024-09-21,0.2,0.2,14.3,0.013986013986013986,keep
ABSA BANK KENYA (KENYA),2025-04-28,1.35,1.35,,,missing_prev_price
ABSA BANK KENYA (KENYA),2025-09-20,0.2,0.2,21.25,0.009411764705882354,keep
BRITAM HOLDINGS KENYA (KENYA),2016-06-10,0.3,0.3,14.05,0.021352313167259784,keep
BRITAM HOLDINGS KENYA (KENYA),2017-05-10,0.3,0.3,10.0,0.03,keep
BRITAM HOLDINGS KENYA (KENYA),2018-05-16,0.35,0.35,13.9,0.02517985611510791,keep
BRITAM HOLDINGS KENYA (KENYA),2020-06-24,0.25,0.25,8.04,0.031094527363184084,keep
BRITISH AMERICAN TOBACCO KENYA (KENYA),2016-05-01,49.5,49.5,,,missing_prev_price
BRITISH AMERICAN TOBACCO KENYA (KENYA),2017-05-01,43.5,43.5,,,missing_prev_price
BRITISH AMERICAN TOBACCO KENYA (KENYA),2018-05-01,26.0,26.0,657.0,0.0395738203957382,keep
BRITISH AMERICAN TOBACCO KENYA (KENYA),2019-05-01,35.0,35.0,510.0,0.06862745098039216,keep
BRITISH AMERICAN TOBACCO KENYA (KENYA),2020-05-01,0.0335,0.0335,320.0,0.0001046875,keep
BRITISH AMERICAN TOBACCO KENYA (KENYA),2021-04-22,41.5,41.5,434.75,0.09545715928694652,keep
BRITISH AMERICAN TOBACCO KENYA (KENYA),2022-04-25,53.5,53.5,,,missing_prev_price
BRITISH AMERICAN TOBACCO KENYA (KENYA),2023-05-29,57.0,57.0,,,missing_prev_price
BRITISH AMERICAN TOBACCO KENYA (KENYA),2024-05-27,50.0,50.0,,,missing_prev_price
BRITISH AMERICAN TOBACCO KENYA (KENYA),2025-05-26,50.0,50.0,,,missing_prev_price
CIC INSURANCE GROUP KENYA (KENYA),2016-06-01,0.1,0.1,4.75,0.021052631578947368,keep
CIC INSURANCE GROUP KENYA (KENYA),2017-06-01,0.105,0.105,3.75,0.028,keep
CIC INSURANCE GROUP KENYA (KENYA),2018-06-01,0.12,0.12,4.55,0.026373626373626374,keep
CIC INSURANCE GROUP KENYA (KENYA),2019-06-01,0.13,0.13,3.52,0.036931818181818184,keep
CIC INSURANCE GROUP KENYA (KENYA),2023-05-09,0.13,0.13,1.89,0.0687830687830688,keep
CIC INSURANCE GROUP KENYA (KENYA),2024-06-05,0.13,0.13,2.3,0.05652173913043479,keep
CIC INSURANCE GROUP KENYA (KENYA),2025-04-23,0.13,0.13,3.07,0.042345276872964174,keep
CO-OPERATIVE BANK KENYA (KENYA),2016-05-18,0.8,0.8,18.45,0.04336043360433605,keep
CO-OPERATIVE BANK KENYA (KENYA),2017-05-18,0.8,0.8,16.85,0.04747774480712166,keep
CO-OPERATIVE BANK KENYA (KENYA),2018-05-17,0.8,0.8,18.55,0.0431266846361186,keep
CO-OPERATIVE BANK KENYA (KENYA),2019-05-16,1.0,1.0,12.25,0.08163265306122448,keep
CO-OPERATIVE BANK KENYA (KENYA),2020-05-14,1.0,1.0,13.0,0.07692307692307693,keep
CO-OPERATIVE BANK KENYA (KENYA),2021-03-25,1.0,1.0,13.7,0.07299270072992702,keep
CO-OPERATIVE BANK KENYA (KENYA),2022-05-26,1.0,1.0,11.5,0.08695652173913043,keep
CO-OPERATIVE BANK KENYA (KENYA),2023-05-22,1.5,1.5,,,missing_prev_price
CO-OPERATIVE BANK KENYA (KENYA),2024-05-30,0.0015,0.0015,13.9,0.0001079136690647482,keep
CO-OPERATIVE BANK KENYA (KENYA),2025-05-23,1.5,1.5,15.85,0.09463722397476342,keep
DIAMOND TRUST BANK KENYA (KENYA),2016-05-26,2.5,2.5,186.36,0.013414895900407812,keep
DIAMOND TRUST BANK KENYA (KENYA),2017-05-29,2.6,2.6,,,missing_prev_price
DIAMOND TRUST BANK KENYA (KENYA),2018-05-28,2.6,2.6,,,missing_prev_price
DIAMOND TRUST BANK KENYA (KENYA),2019-05-27,2.6,2.6,,,missing_prev_price
DIAMOND TRUST BANK KENYA (KENYA),2020-06-26,2.7,2.7,72.25,0.037370242214532876,keep
DIAMOND TRUST BANK KENYA (KENYA),2022-07-01,3.0,3.0,49.95,0.06006006006006006,keep
DIAMOND TRUST BANK KENYA (KENYA),2023-05-15,5.0,5.0,,,missing_prev_price
DIAMOND TRUST BANK KENYA (KENYA),2024-05-27,6.0,6.0,,,missing_prev_price
DIAMOND TRUST BANK KENYA (KENYA),2025-05-26,7.0,7.0,,,missing_prev_price
EAST AFRICAN BREWERIES KENYA (KENYA),2016-02-26,2.0,2.0,,,missing_prev_price
EAST AFRICAN BREWERIES KENYA (KENYA),2016-08-26,5.0,5.0,269.0,0.01858736059479554,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2017-02-24,2.0,2.0,225.0,0.008888888888888889,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2017-08-25,5.5,5.5,267.0,0.020599250936329586,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2018-02-23,2.0,2.0,244.0,0.00819672131147541,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2018-08-24,5.5,5.5,209.0,0.02631578947368421,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2019-02-22,2.5,2.5,195.0,0.01282051282051282,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2019-08-23,6.0,6.0,200.75,0.029887920298879204,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2020-03-02,3.0,3.0,,,missing_prev_price
EAST AFRICAN BREWERIES KENYA (KENYA),2022-03-01,3.75,3.75,159.0,0.02358490566037736,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2022-09-16,7.25,7.25,150.25,0.048252911813643926,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2023-02-17,3.75,3.75,181.5,0.02066115702479339,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2023-09-15,1.75,1.75,131.0,0.013358778625954198,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2024-02-19,1.0,1.0,,,missing_prev_price
EAST AFRICAN BREWERIES KENYA (KENYA),2024-09-17,6.0,6.0,157.0,0.03821656050955414,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2025-02-24,2.5,2.5,,,missing_prev_price
EAST AFRICAN BREWERIES KENYA (KENYA),2025-09-17,5.5,5.5,220.0,0.025,keep
EAST AFRICAN BREWERIES KENYA (KENYA),2026-02-23,4.0,4.0,,,missing_prev_price
EQUITY GROUP HOLDINGS KENYA (KENYA),2017-04-21,2.0,2.0,32.75,0.061068702290076333,keep
EQUITY GROUP HOLDINGS KENYA (KENYA),2018-04-26,2.0,2.0,48.75,0.041025641025641026,keep
EQUITY GROUP HOLDINGS KENYA (KENYA),2019-04-22,2.0,2.0,,,missing_prev_price
EQUITY GROUP HOLDINGS KENYA (KENYA),2020-04-28,2.5,2.5,34.65,0.07215007215007216,keep
EQUITY GROUP HOLDINGS KENYA (KENYA),2022-05-23,3.0,3.0,,,missing_prev_price
EQUITY GROUP HOLDINGS KENYA (KENYA),2023-05-22,4.0,4.0,,,missing_prev_price
EQUITY GROUP HOLDINGS KENYA (KENYA),2024-05-27,4.0,4.0,,,missing_prev_price
EQUITY GROUP HOLDINGS KENYA (KENYA),2025-05-26,4.25,4.25,,,missing_prev_price
I&M GROUP KENYA (KENYA),2016-04-15,3.0,3.0,107.0,0.028037383177570093,keep
I&M GROUP KENYA (KENYA),2017-04-14,3.5,3.5,90.0,0.03888888888888889,keep
I&M GROUP KENYA (KENYA),2018-04-13,3.5,3.5,124.0,0.028225806451612902,keep
I&M GROUP KENYA (KENYA),2019-04-12,3.9,3.9,112.5,0.034666666666666665,keep
I&M GROUP KENYA (KENYA),2020-04-15,2.55,2.55,102.5,0.024878048780487803,keep
I&M GROUP KENYA (KENYA),2021-04-14,2.25,2.25,94.4,0.023834745762711863,keep
I&M GROUP KENYA (KENYA),2022-04-21,1.5,1.5,81.2,0.018472906403940885,keep
I&M GROUP KENYA (KENYA),2023-04-20,0.00225,0.00225,81.2,2.7709359605911328e-05,keep
I&M GROUP KENYA (KENYA),2024-04-18,0.00225,0.00225,87.0,2.586206896551724e-05,keep
I&M GROUP KENYA (KENYA),2025-04-17,2.55,2.55,64.6,0.039473684210526314,keep
JUBILEE HOLDINGS KENYA (KENYA),2020-09-14,1.0,1.0,,,missing_prev_price
JUBILEE HOLDINGS KENYA (KENYA),2021-05-27,8.0,8.0,280.0,0.02857142857142857,keep
JUBILEE HOLDINGS KENYA (KENYA),2021-09-13,1.0,1.0,,,missing_prev_price
JUBILEE HOLDINGS KENYA (KENYA),2022-06-23,13.0,13.0,260.0,0.05,keep
JUBILEE HOLDINGS KENYA (KENYA),2022-09-12,1.0,1.0,,,missing_prev_price
JUBILEE HOLDINGS KENYA (KENYA),2023-06-15,3.0,3.0,189.25,0.015852047556142668,keep
JUBILEE HOLDINGS KENYA (KENYA),2023-09-11,2.0,2.0,,,missing_prev_price
JUBILEE HOLDINGS KENYA (KENYA),2024-06-26,2.3,2.3,180.0,0.012777777777777777,keep
JUBILEE HOLDINGS KENYA (KENYA),2024-09-09,2.0,2.0,,,missing_prev_price
JUBILEE HOLDINGS KENYA (KENYA),2025-05-29,11.5,11.5,231.25,0.04972972972972973,keep
JUBILEE HOLDINGS KENYA (KENYA),2025-09-08,2.0,2.0,,,missing_prev_price
