Date,Conservative,Balanced,Growth,Aggressive
2016-12-02,1000.1512221737144,1000.3068265756993,1000.4624309776843,1000.8613169781369
2016-12-04,1000.9955044396277,1001.5094794149169,1002.0235658432082,1003.3156107084833
2016-12-05,1001.8299768125543,1002.5803209761867,1003.331018907945,1005.200529546085
2016-12-06,995.413932045046,996.5255808818227,997.6381294826098,1000.4224161465725
2016-12-07,995.8210902985602,994.5835022078919,993.3415677283856,990.2371548897586
2016-12-08,1000.6071370412952,998.6820137471192,996.7542253679874,991.9288155332789
2016-12-09,1002.2665569348142,1001.6524103833619,1001.0305207592849,999.4260807688814
2016-12-12,1000.7986727240998,1001.1510289583758,1001.4944544441427,1002.2961672505031
2016-12-13,1007.7974869144717,1007.549799163382,1007.2927048515317,1006.5959327479969
2016-12-14,1011.6296163083671,1010.6208266195745,1009.6029825386013,1007.0192011483509
2016-12-15,1007.1460111192551,1007.5105907057193,1007.8633986651444,1008.7118090079285
2016-12-16,1004.7152037225155,1006.4596027963897,1008.1932256356477,1012.475151014637
2016-12-18,1005.0419027070461,1006.7232073957571,1008.3935130320474,1012.5175705801994
2016-12-19,1006.3368236570896,1008.8888902907152,1011.4328259630394,1017.7412061428607
2016-12-20,1009.9124407790332,1012.4859834647266,1015.0514288745907,1021.4059886192592
2016-12-21,1014.6203931463549,1017.0776210560648,1019.5260637066466,1025.5986462083472
2016-12-22,1011.7014526101742,1015.5203343246037,1019.3370459928688,1028.8442733676065
2016-12-23,1006.1872006605796,1011.2543555669411,1016.3288916850066,1029.0069175468407
2016-12-25,1004.5810091892555,1010.7973680520952,1017.0327110751081,1032.644938471404
2016-12-26,1003.9606736791915,1010.0747577919573,1016.2065998891616,1031.5551081566339
2016-12-27,1005.616625832685,1012.6704464339468,1019.753341549887,1037.5187099389586
2016-12-28,1016.4170757217028,1022.0557659366502,1027.7029875519358,1041.7936241934294
2016-12-29,1022.0220703455132,1026.9595010602154,1031.8974171903599,1044.18805152044
2016-12-30,1026.9119652253007,1031.3258899855907,1035.7350409748847,1046.6945552444358
2017-01-03,1026.9119652253007,1031.3258899855907,1035.7350409748847,1046.6945552444358
2017-01-04,1026.351701752733,1030.4737965403965,1034.5886454743138,1044.805013257042
2017-01-05,1029.25323117027,1033.388526191593,1037.5165672292596,1047.7775789261163
2017-01-06,1033.465888548837,1036.3120608653455,1039.1405150582666,1046.1169697600963
2017-01-08,1033.9600496768996,1036.5626882103945,1039.146263343439,1045.5093365166686
2017-01-09,1032.5487093040847,1035.6366008673458,1038.7078916931982,1046.3052111940244
2017-01-10,1031.5491861487017,1034.237849230521,1036.907577464546,1043.4857691474153
2017-01-11,1035.591354799125,1037.146783127161,1038.6772974706266,1042.3883976616921
2017-01-12,1035.4319951839939,1036.4820572526944,1037.5057183421889,1039.9492567670043
2017-01-13,1037.6716066239283,1037.458091704358,1037.2156183208037,1036.495937283585
2017-01-15,1038.3198732999995,1038.0022090323216,1037.6556168303348,1036.6784744207523
2017-01-16,1039.8000043108068,1038.2684311234775,1036.7086991185083,1032.7077978431576
2017-01-17,1037.3701284948072,1036.5561970600354,1035.7120272190698,1033.4894336201633
2017-01-18,1037.3690445101188,1037.2054112798673,1037.010480472604,1036.3886212682517
2017-01-19,1030.1432350574787,1029.326876260439,1028.4796836630446,1026.232585436538
2017-01-20,1029.3556735328684,1028.429729293202,1027.473156243186,1024.9503311977805
2017-01-22,1027.8037088886792,1027.2545211537115,1026.6740525197793,1025.0801697386864
2017-01-23,1033.678244338904,1031.5666442208599,1029.4253466050898,1023.9403928087643
2017-01-24,1036.0949272169635,1032.1207631178147,1028.1245441124363,1018.0480517404667
2017-01-25,1036.5332268477962,1031.5856605795839,1026.6235547951721,1014.1882862832747
2017-01-26,1041.097495385606,1034.678410165926,1028.2586683391862,1012.252089846418
2017-01-27,1037.387201122242,1030.8721172422333,1024.357854235699,1008.1310244798194
2017-01-29,1038.344333035787,1031.6975151579109,1025.0531078418076,1008.5112819615814
2017-01-30,1032.2968478391642,1026.6492421391756,1020.9916612083516,1006.839545718861
2017-01-31,1028.7154302266317,1023.0689411915619,1017.4127151762395,1003.2537607088983
2017-02-01,1028.7154302266317,1023.0689411915619,1017.4127151762395,1003.2537607088983
2017-02-02,1031.604356466294,1024.336440230661,1017.0765130552011,999.0270434499895
2017-02-03,1027.2660577116494,1019.0283040799062,1010.8126864949976,990.4572102607544
2017-02-05,1026.6196651314106,1018.681793143765,1010.7612914388462,991.1165360271365
2017-02-06,1022.3626662916392,1015.7137219942451,1009.0625443408899,992.4920698476601
2017-02-07,1025.055661052807,1017.5302248842986,1010.0137991329846,991.3361623467619
2017-02-08,1025.623519261167,1017.671918551377,1009.7355677555024,990.0401360423897
2017-02-09,1024.8489217375786,1016.519481931117,1008.2112673713328,987.6087231260897
2017-02-10,1029.9302692434505,1020.7604619793146,1011.6250470957137,989.0145305872077
2017-02-12,1028.6472695458322,1019.6530296177309,1010.6902011686898,988.4928774764721
2017-02-13,1028.7900080386285,1020.3541357697862,1011.9398412082692,991.0365234061275
2017-02-14,1018.3742018008448,1012.6770657659483,1006.9575279185665,992.5555864745037
2017-02-15,1020.079919948944,1014.490637093941,1008.8775888189467,994.7391033428835
2017-02-16,1021.2321894107637,1017.2490866481661,1013.2243481736754,1002.9564075935431
2017-02-17,1019.6851064362338,1016.2573424315178,1012.783659149771,1003.8800732982832
2017-02-19,1019.2245546478083,1015.9960983794698,1012.7203916447319,1004.3013167035955
2017-02-20,1023.0600033288208,1018.9125668493144,1014.7235495840353,1004.0579217053229
2017-02-21,1025.6273357660987,1022.8792426008495,1020.0778725895383,1012.815433484043
2017-02-22,1021.2052697144352,1019.0375531012915,1016.8136752822275,1010.9794207550877
