Date,Country,Weight
2024-01-31,MOROCCO,0.17612116772607744
2024-01-31,NIGERIA,0.05688147285933571
2024-01-31,SOUTH AFRICA,0.24999999999999992
2024-01-31,ZIMBABWE,0.24999999999999992
2024-04-30,EGYPT,0.25
2024-04-30,GHANA,0.01652793278583129
2024-04-30,KENYA,0.05736306444512067
2024-04-30,MOROCCO,0.11741206037560292
2024-04-30,NIGERIA,0.05869694239344521
2024-04-30,SOUTH AFRICA,0.25
2024-04-30,ZIMBABWE,0.25
2024-07-31,EGYPT,0.25
2024-07-31,KENYA,0.06844258486161106
2024-07-31,MOROCCO,0.24999999999999997
2024-07-31,NIGERIA,0.11213332020196516
2024-07-31,SOUTH AFRICA,0.25
2024-07-31,TUNISIA,0.046857360178478594
2024-07-31,ZIMBABWE,0.022566734757945375
2024-10-31,EGYPT,0.24999999999999994
2024-10-31,KENYA,0.08346296212637559
2024-10-31,MOROCCO,0.24999999999999992
2024-10-31,NIGERIA,0.16653703787362437
2024-10-31,SOUTH AFRICA,0.24999999999999994
2025-01-31,EGYPT,0.25
2025-01-31,KENYA,0.14718201097434727
2025-01-31,MOROCCO,0.25
2025-01-31,NIGERIA,0.041985186924708456
2025-01-31,SOUTH AFRICA,0.25
2025-01-31,ZIMBABWE,0.06083280210094425
2025-04-30,EGYPT,0.25
2025-04-30,KENYA,0.11151536493271642
2025-04-30,MAURITIUS,0.037639828579223995
2025-04-30,MOROCCO,0.25
2025-04-30,NIGERIA,0.10084480648805966
2025-04-30,SOUTH AFRICA,0.25
2025-07-31,EGYPT,0.24999999999999994
2025-07-31,KENYA,0.04047776441667518
2025-07-31,MAURITIUS,0.01416269188308218
2025-07-31,MOROCCO,0.24999999999999997
2025-07-31,NIGERIA,0.13874459397401212
2025-07-31,SENEGAL,0.012843128818939177
2025-07-31,SOUTH AFRICA,0.24999999999999994
2025-07-31,TANZANIA,0.01326595245802757
2025-07-31,TUNISIA,0.01572256321463347
2025-07-31,ZIMBABWE,0.014783305234630333
2025-10-31,EGYPT,0.25
2025-10-31,GHANA,0.012271631672103605
2025-10-31,KENYA,0.10165654486160527
2025-10-31,MAURITIUS,0.01142009219418303
2025-10-31,MOROCCO,0.25
2025-10-31,NIGERIA,0.09406374460082889
2025-10-31,SOUTH AFRICA,0.25
2025-10-31,TUNISIA,0.01331491126914562
2025-10-31,ZIMBABWE,0.017273075402133662
2026-01-31,EGYPT,0.25
2026-01-31,GHANA,0.011760083363225213
2026-01-31,KENYA,0.09355900378581493
2026-01-31,MAURITIUS,0.014016817598766471
2026-01-31,MOROCCO,0.25
2026-01-31,NIGERIA,0.10034356895420825
2026-01-31,SENEGAL,0.01378291839181306
2026-01-31,SOUTH AFRICA,0.25
2026-01-31,TANZANIA,0.01653760790617206
