Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
GRINDROD (SOUTH AFRICA),669451090.3185185,1153.0,90,0.6666666666666666,1506264953.2166667,20.0,2023-09-30,SOUTH AFRICA,HIGH,669451090.3185185,3.598666659245251,1.0,True,2023-09-30
NASPERS (SOUTH AFRICA),619453090.3703703,605.11,90,0.6666666666666666,1393769453.3333333,20.0,2023-09-30,SOUTH AFRICA,HIGH,619453090.3703703,3.3298999964607603,2.0,True,2023-09-30
BLUE LABEL TELECOMS (SOUTH AFRICA),448971932.29629624,297.0,90,0.6666666666666666,1010186847.6666666,20.0,2023-09-30,SOUTH AFRICA,HIGH,448971932.29629624,2.4134702998584445,3.0,True,2023-09-30
FIRSTRAND (SOUTH AFRICA),425816247.40740734,63.86,90,0.6666666666666666,958086556.6666666,20.0,2023-09-30,SOUTH AFRICA,HIGH,425816247.40740734,2.2889957977077553,4.0,True,2023-09-30
ANGLO AMERICAN (SOUTH AFRICA),311292931.02666664,525.27,90,0.6666666666666666,700409094.81,20.0,2023-09-30,SOUTH AFRICA,HIGH,311292931.02666664,1.6733701809513783,5.0,True,2023-09-30
PROSUS (SOUTH AFRICA),305910961.14666665,558.0,90,0.6666666666666666,688299662.58,20.0,2023-09-30,SOUTH AFRICA,HIGH,305910961.14666665,1.644439142002733,6.0,True,2023-09-30
STANDARD BANK GROUP (SOUTH AFRICA),282801186.6666666,183.72,90,0.6666666666666666,636302670.0,20.0,2023-09-30,SOUTH AFRICA,HIGH,282801186.6666666,1.5202114334717274,7.0,True,2023-09-30
MTN GROUP (SOUTH AFRICA),245390817.77777776,112.85,90,0.6666666666666666,552129340.0,20.0,2023-09-30,SOUTH AFRICA,HIGH,245390817.77777776,1.3191101892173402,8.0,True,2023-09-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),234706220.74074075,98.86,90,0.6666666666666666,528088996.6666667,20.0,2023-09-30,SOUTH AFRICA,HIGH,234706220.74074075,1.2616746219582573,9.0,True,2023-09-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),234352911.27287036,34.45,90,0.6333333333333333,584259335.5833334,19.0,2023-09-30,NIGERIA,MID,234352911.27287036,5.0,10.0,True,2023-09-30
ZENITH BANK NIGERIA (NIGERIA),230410716.95232964,31.45,90,0.6333333333333333,574431150.2966667,19.0,2023-09-30,NIGERIA,MID,230410716.95232964,5.0,11.0,True,2023-09-30
GOLD FIELDS (SOUTH AFRICA),229505748.9185185,205.31,90,0.6666666666666666,516387935.06666666,20.0,2023-09-30,SOUTH AFRICA,HIGH,229505748.9185185,1.2337192345825025,12.0,True,2023-09-30
CAPITEC BANK (SOUTH AFRICA),224129907.1007407,1716.33,90,0.6666666666666666,504292290.9766666,20.0,2023-09-30,SOUTH AFRICA,HIGH,224129907.1007407,1.204821137328215,13.0,True,2023-09-30
MTN NIGERIA (NIGERIA),221909620.14237034,264.0,90,0.6333333333333333,553237280.1333333,19.0,2023-09-30,NIGERIA,MID,221909620.14237034,5.0,14.0,True,2023-09-30
PPC (SOUTH AFRICA),220636634.5185185,280.0,90,0.6666666666666666,496432427.6666667,20.0,2023-09-30,SOUTH AFRICA,HIGH,220636634.5185185,1.1860428818961155,15.0,True,2023-09-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),202601484.90370372,304.72,90,0.6666666666666666,455853341.03333336,20.0,2023-09-30,SOUTH AFRICA,HIGH,202601484.90370372,1.089094064347019,16.0,True,2023-09-30
ABSA (SOUTH AFRICA),180502885.9259259,174.83,90,0.6666666666666666,406131493.3333333,20.0,2023-09-30,SOUTH AFRICA,HIGH,180502885.9259259,0.9703019785509936,17.0,True,2023-09-30
SIBANYE STILLWATER (SOUTH AFRICA),174137782.2222222,29.23,90,0.6666666666666666,391810010.0,20.0,2023-09-30,SOUTH AFRICA,HIGH,174137782.2222222,0.9360860562641862,18.0,True,2023-09-30
BID CORP (SOUTH AFRICA),173935987.79140738,422.25,90,0.6666666666666666,391355972.53066665,20.0,2023-09-30,SOUTH AFRICA,HIGH,173935987.79140738,0.935001300558061,19.0,True,2023-09-30
MR PRICE (SOUTH AFRICA),172945074.51703703,138.95,90,0.6666666666666666,389126417.66333336,20.0,2023-09-30,SOUTH AFRICA,HIGH,172945074.51703703,0.9296745984072236,20.0,True,2023-09-30
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),160024141.95294812,16.8,90,0.6333333333333333,398952154.4533333,19.0,2023-09-30,NIGERIA,MID,160024141.95294812,5.0,21.0,True,2023-09-30
