Date,Optimized Max Sharpe
2016-12-02,1000.7658863137732
2016-12-04,1003.007908462598
2016-12-05,1004.7562297658357
2016-12-06,999.759807945992
2016-12-07,990.9767841105373
2016-12-08,993.0775567538818
2016-12-09,999.8129193441564
2016-12-12,1002.1115892052048
2016-12-13,1006.7676897431741
2016-12-14,1007.6387354321621
2016-12-15,1008.5156824746362
2016-12-16,1011.4632622896737
2016-12-18,1011.5432683851153
2016-12-19,1016.2465513475212
2016-12-20,1019.9007862006715
2016-12-21,1024.1600963515261
2016-12-22,1026.5860689350222
2016-12-23,1025.9901652823285
2016-12-25,1028.9249049454486
2016-12-26,1027.8984659165149
2016-12-27,1033.2814721769098
2016-12-28,1038.4417699928765
2016-12-29,1041.268323805961
2016-12-30,1044.0935403851788
2017-01-03,1044.0935403851788
2017-01-04,1042.381921091968
2017-01-05,1045.3431827491358
2017-01-06,1044.4689869086048
2017-01-08,1044.0076995826691
2017-01-09,1044.5084367778475
2017-01-10,1041.9329583504389
2017-01-11,1041.5203376660972
2017-01-12,1039.3830983354449
2017-01-13,1036.682633351056
2017-01-15,1036.926219066647
2017-01-16,1033.673791228628
2017-01-17,1034.0338275636934
2017-01-18,1036.5539951401684
2017-01-19,1026.783956637298
2017-01-20,1025.5673310047914
2017-01-22,1025.4771357041566
2017-01-23,1025.2614511451404
2017-01-24,1020.4558750456771
2017-01-25,1017.1514687652136
2017-01-26,1016.0560242423115
2017-01-27,1011.9859804152811
2017-01-29,1012.440065572648
2017-01-30,1010.2082659381662
2017-01-31,1006.6245957637494
2017-02-01,1006.6245957637494
2017-02-02,1003.3107769190494
2017-02-03,995.2802380051949
2017-02-05,995.7735455046382
2017-02-06,996.4296698529665
2017-02-07,995.7681656368004
2017-02-08,994.7104251710111
2017-02-09,992.4915834349226
2017-02-10,994.3674119089734
2017-02-12,993.7494408034239
2017-02-13,995.9926892534442
2017-02-14,995.9926208329919
2017-02-15,998.1140853079455
2017-02-16,1005.4223483307723
2017-02-17,1006.0237406744563
2017-02-19,1006.33079892926
2017-02-20,1006.6176584213429
2017-02-21,1014.5734509131954
2017-02-22,1012.3996859640845
2017-02-23,1009.7846544957248
2017-02-24,1011.2831833368982
2017-02-26,1010.475691315563
2017-02-27,1007.5936439441542
2017-02-28,1007.897345348418
2017-03-01,1007.897345348418
2017-03-02,1011.4362625013277
2017-03-03,1012.7215710315695
2017-03-05,1014.2538082994132
2017-03-06,1015.7416582417176
2017-03-07,1011.4005668368094
2017-03-08,1011.0223133257139
2017-03-09,1012.1581646435113
2017-03-10,1012.6807742590655
2017-03-12,1012.8402405281123
2017-03-13,1008.4049312603128
2017-03-14,1006.577901095985
2017-03-15,1008.0284090485904
2017-03-16,1011.6417254550785
2017-03-17,1015.4401638701653
2017-03-19,1016.8715683951492
2017-03-20,1013.7158111754769
2017-03-21,1016.424790044385
2017-03-22,1015.7883834594896
2017-03-23,1018.761458348536
2017-03-24,1016.5797941900405
2017-03-26,1017.0887031378526
2017-03-27,1026.5030188881847
2017-03-28,1030.0081768729674
2017-03-29,1023.9380060193304
2017-03-30,1015.6178591823204
2017-03-31,1007.0849233320589
2017-04-03,1007.0849233320589
2017-04-04,1014.6983305974924
2017-04-05,1015.4264798117434
2017-04-06,1022.5317890427268
2017-04-07,1023.2463456428336
2017-04-09,1020.5068340643753
2017-04-10,1017.8461838643665
2017-04-11,1015.8518724987207
2017-04-12,1022.3907861424773
2017-04-13,1024.1720032933822
2017-04-14,1023.70335731865
2017-04-17,1022.5116289731768
2017-04-18,1022.706137448228
2017-04-19,1028.885424254643
2017-04-20,1032.4767489311787
2017-04-21,1035.2428627233098
2017-04-23,1031.8748970442973
2017-04-24,1032.7000434694294
2017-04-25,1033.6134070756289
2017-04-26,1029.208772727355
2017-04-27,1037.9877369982141
2017-04-28,1042.4191154249145
2017-04-30,1041.0800199726348
2017-05-02,1041.0800199726348
2017-05-03,1039.5997527665493
2017-05-04,1043.767103933526
2017-05-05,1044.53431711106
2017-05-07,1046.460599201822
2017-05-08,1051.0118944820792
2017-05-09,1051.2541262788384
2017-05-10,1060.5152571955505
2017-05-11,1061.5218259577323
2017-05-12,1064.228858574679
2017-05-14,1064.5220425675345
2017-05-15,1064.639884474056
2017-05-16,1064.9855971938366
2017-05-17,1063.622759135223
2017-05-18,1062.9908806174458
2017-05-19,1068.4754058266235
2017-05-21,1073.6964240631971
2017-05-22,1065.6026985563321
2017-05-23,1071.242172850282
2017-05-24,1080.5522958681997
2017-05-25,1085.8041637125054
2017-05-26,1093.0811741044747
2017-05-28,1091.832854197223
2017-05-29,1095.0576394666246
2017-05-30,1101.0434438032241
2017-05-31,1101.814648856168
2017-06-01,1101.814648856168
2017-06-02,1121.3106836379586
2017-06-04,1123.6002265695313
2017-06-05,1134.744216422263
2017-06-06,1144.550650548007
2017-06-07,1155.8328408751997
2017-06-08,1168.0347376289005
2017-06-09,1176.791367948443
2017-06-11,1178.153471335954
2017-06-12,1172.7191846002108
2017-06-13,1168.5260580449774
2017-06-14,1167.581192071013
2017-06-15,1175.0897200030981
2017-06-16,1171.937138503519
2017-06-18,1172.3529962101136
2017-06-19,1183.5144571826854
2017-06-20,1186.6471088558005
2017-06-21,1170.8206162277295
2017-06-22,1164.6156487052065
2017-06-23,1160.0302794601955
2017-06-26,1160.1869041855746
2017-06-27,1159.4427018626986
2017-06-28,1159.770911507917
2017-06-29,1168.516238668697
2017-06-30,1166.778198046473
2017-07-03,1166.778198046473
2017-07-04,1166.6628516980081
2017-07-05,1165.645220711014
2017-07-06,1166.9728905024074
2017-07-07,1171.7696857911585
2017-07-10,1177.1790712506854
2017-07-11,1178.4811244583225
2017-07-12,1186.8572776055603
2017-07-13,1190.8425719493666
2017-07-14,1188.4218406509588
2017-07-17,1183.4359784736043
2017-07-18,1174.5038109006473
2017-07-19,1179.0212417293399
2017-07-20,1180.5956667631865
2017-07-21,1180.594064614827
2017-07-24,1181.5508892370597
2017-07-25,1186.3105555795885
2017-07-26,1192.815146794386
2017-07-27,1193.6308369556602
2017-07-28,1197.2653282316733
2017-07-30,1196.037905601168
2017-07-31,1200.9736214381478
2017-08-01,1200.9736214381478
2017-08-02,1200.2188812974193
2017-08-03,1200.1034496591049
2017-08-04,1206.5698757767684
2017-08-06,1209.8264432316373
2017-08-07,1207.8282513813624
2017-08-08,1212.9735469759935
2017-08-09,1224.7967729169552
2017-08-10,1230.8419247854777
2017-08-11,1238.1376393881583
2017-08-13,1234.121071839267
2017-08-14,1242.998970700977
2017-08-15,1236.2168026521
2017-08-16,1234.68190496451
2017-08-17,1229.6840282783785
2017-08-18,1228.0483062741785
2017-08-20,1222.9100930291045
2017-08-21,1224.1813685254874
2017-08-22,1225.6970084151744
2017-08-23,1229.1018698708729
2017-08-24,1228.947963065223
2017-08-25,1227.8241322542378
2017-08-27,1231.5129058457892
2017-08-28,1232.9006743622142
2017-08-29,1238.3990313246625
2017-08-30,1244.1095181604758
2017-08-31,1246.7778912307392
2017-09-01,1246.7778912307392
2017-09-04,1240.3421723218214
2017-09-05,1240.0356619271006
2017-09-06,1240.033168143427
2017-09-07,1241.8580584786648
2017-09-08,1246.136741642431
2017-09-10,1249.1740607979352
2017-09-11,1254.5978168078943
2017-09-12,1253.709680018416
2017-09-13,1255.8053178472985
2017-09-14,1258.0857751339163
2017-09-15,1256.780404652924
2017-09-17,1259.5386791560531
2017-09-18,1262.4880912580409
2017-09-19,1265.7555632283927
2017-09-20,1267.1388178688044
2017-09-21,1267.9976709248822
2017-09-22,1265.1130938317376
2017-09-24,1273.1910815483543
2017-09-25,1275.3229963435074
2017-09-26,1278.198504546551
2017-09-27,1272.2229519278958
2017-09-28,1271.537313196522
2017-09-29,1277.718961878086
2017-10-02,1277.718961878086
2017-10-03,1279.7528238761677
2017-10-04,1289.7909408288986
2017-10-05,1289.1240566850527
2017-10-06,1294.6926798646718
2017-10-08,1298.1784375080738
2017-10-09,1299.0704247159938
2017-10-10,1298.642967891428
2017-10-11,1297.1442496021052
2017-10-12,1302.3157094300966
2017-10-13,1303.7808675402566
2017-10-15,1303.509938928592
2017-10-16,1298.5142278607811
2017-10-17,1293.6478939198114
2017-10-18,1292.726576677937
2017-10-19,1289.217815480053
2017-10-20,1285.6884158454625
2017-10-22,1286.3199000795112
2017-10-23,1283.908134452275
2017-10-24,1285.084745958812
2017-10-25,1286.5084177327913
2017-10-26,1292.7058036577935
2017-10-27,1296.5342013021573
2017-10-29,1297.6418949551253
2017-10-30,1296.4866688941784
2017-10-31,1308.5851343434797
2017-11-01,1308.5851343434797
2017-11-02,1300.3735946030795
2017-11-03,1310.9094454470408
2017-11-05,1308.7153527412913
2017-11-06,1308.8191929912227
2017-11-07,1305.848159265012
2017-11-08,1307.6403172437906
2017-11-09,1305.2441844009354
2017-11-10,1313.14174485081
2017-11-12,1311.5280420603071
2017-11-13,1308.4921971484746
2017-11-14,1302.5948373480205
2017-11-15,1298.416486348435
2017-11-16,1296.6636794734868
2017-11-17,1298.355458785873
2017-11-19,1296.4757671725072
2017-11-20,1296.6153344090799
2017-11-21,1300.4818914564535
2017-11-22,1298.7178956732585
2017-11-23,1306.703451364992
2017-11-24,1308.2051373107092
2017-11-26,1309.2655336686553
2017-11-27,1306.6853684813027
2017-11-28,1312.201540307733
2017-11-29,1317.196212997517
2017-11-30,1317.3767099452025
2017-12-01,1317.3767099452025
2017-12-04,1316.3447028721234
2017-12-05,1315.5218249661982
2017-12-06,1317.877684094139
2017-12-07,1322.2502237405204
2017-12-08,1324.0512114405824
2017-12-10,1326.5994187460929
2017-12-11,1322.2934370744601
2017-12-12,1322.05821232239
2017-12-13,1317.497996062101
2017-12-14,1310.8467587839773
2017-12-15,1314.4307984734605
2017-12-18,1317.1669338072013
2017-12-19,1332.3573770560924
2017-12-20,1328.2968267528577
2017-12-21,1330.7776234606474
2017-12-22,1337.0554504061793
2017-12-24,1336.8396405555156
2017-12-25,1338.1992487219593
2017-12-26,1339.7379731937162
2017-12-27,1345.3489278681277
2017-12-28,1348.2408353223984
2017-12-29,1349.8570499111056
2017-12-31,1351.4768451566806
2018-01-02,1351.4768451566806
2018-01-03,1355.2537869587413
2018-01-04,1366.4708800020433
2018-01-05,1380.7790372756547
2018-01-08,1388.8121157456242
2018-01-09,1403.320285257713
2018-01-10,1421.056943514896
2018-01-11,1440.1644836432788
2018-01-12,1456.5318227881944
2018-01-14,1458.0190093421181
2018-01-15,1466.2499893780202
2018-01-16,1476.513587100811
2018-01-17,1490.5954070885098
2018-01-18,1495.486557044345
2018-01-19,1501.3421323996354
2018-01-21,1500.4097101126454
2018-01-22,1498.2097189991362
2018-01-23,1494.543007765375
2018-01-24,1481.7476378572528
2018-01-25,1474.8214821144368
2018-01-26,1484.1847945761485
2018-01-28,1488.004222344425
2018-01-29,1501.1540552720005
2018-01-30,1515.3185993089614
2018-01-31,1515.6410486453497
2018-02-01,1515.6410486453497
2018-02-02,1517.8577911449936
2018-02-05,1516.0727944542896
2018-02-06,1504.5700784748274
2018-02-07,1502.508123992922
2018-02-08,1499.3138636955102
2018-02-09,1492.4361699512658
2018-02-11,1487.9531563300768
2018-02-12,1478.680789062157
2018-02-13,1473.5251645225749
2018-02-14,1484.1715300631818
2018-02-15,1491.6287203659426
2018-02-16,1491.823913470533
2018-02-18,1492.3003335986978
2018-02-19,1493.0747393796446
2018-02-20,1498.8506305821577
2018-02-21,1491.0930009903625
2018-02-22,1502.5680484058673
2018-02-23,1508.2898908734553
2018-02-25,1511.0198174572693
2018-02-26,1517.053666490743
2018-02-27,1518.3767513749049
2018-02-28,1517.3161032427033
2018-03-01,1517.3161032427033
2018-03-02,1515.8280720686446
2018-03-04,1515.6862041179454
2018-03-05,1514.346693310638
2018-03-06,1511.572740282483
2018-03-07,1509.8989088246733
2018-03-08,1509.188049914912
2018-03-09,1507.4055026521967
2018-03-11,1507.6447146179607
2018-03-12,1511.7036853887964
2018-03-13,1518.380986910775
2018-03-14,1512.8513425337715
2018-03-15,1508.2602541644187
2018-03-16,1511.3984385022325
2018-03-18,1512.0013389354813
2018-03-19,1496.5367008924495
2018-03-20,1497.3895621272743
2018-03-21,1489.1031947345566
2018-03-22,1484.2917979883055
2018-03-23,1501.7315013032414
2018-03-25,1500.3274569006128
2018-03-26,1500.7965344124689
2018-03-27,1503.0016544811472
2018-03-28,1501.9071136137982
2018-03-29,1505.3708860678482
2018-03-30,1508.652755989919
2018-04-02,1508.652755989919
2018-04-03,1500.4299570977546
2018-04-04,1496.7263208167574
2018-04-05,1502.9114145372898
2018-04-06,1502.7570811217322
2018-04-09,1504.5436447086759
2018-04-10,1510.320930540181
2018-04-11,1510.02709595019
2018-04-12,1516.3390806157802
2018-04-13,1523.479427554669
2018-04-15,1522.5625713881789
2018-04-16,1532.5984608213216
2018-04-17,1545.9939212851423
2018-04-18,1548.2500157971049
2018-04-19,1552.8088999556999
2018-04-20,1555.011696582137
2018-04-22,1557.9441963900392
2018-04-23,1553.1811181923529
2018-04-24,1552.9880013626757
2018-04-25,1545.8331113635247
2018-04-26,1555.5201246830754
2018-04-27,1557.0739539307538
2018-04-29,1557.883781917068
2018-04-30,1547.5897619912855
2018-05-02,1547.5897619912855
2018-05-03,1537.2356225954145
2018-05-04,1534.3581159916357
2018-05-06,1532.7729245565451
2018-05-07,1534.0422886611725
2018-05-08,1539.1169480961782
2018-05-09,1533.421390238181
2018-05-10,1528.1426127625032
2018-05-11,1532.1082920639906
2018-05-13,1533.330798159401
2018-05-14,1537.0865113498685
2018-05-15,1528.7997744303434
2018-05-16,1528.4916113939723
2018-05-17,1532.608030768363
2018-05-18,1524.0102782019949
2018-05-20,1524.1627730629932
2018-05-21,1518.5038059582337
2018-05-22,1517.463183037316
2018-05-23,1512.1935996200132
2018-05-24,1497.2055244240082
2018-05-25,1489.0121082217956
2018-05-27,1489.8320201980205
2018-05-28,1486.0641588340266
2018-05-29,1483.090199575046
2018-05-30,1484.161012033606
2018-05-31,1489.0936712597568
2018-06-01,1489.0936712597568
2018-06-03,1490.4841866401841
2018-06-04,1481.7298195487388
2018-06-05,1483.3396807531778
2018-06-06,1492.1609678152436
2018-06-07,1499.5849461311054
2018-06-08,1495.9359679608472
2018-06-10,1499.4672247007995
2018-06-11,1490.0461407257667
2018-06-12,1490.2376856156425
2018-06-13,1492.5795094619582
2018-06-14,1504.093306321652
2018-06-15,1505.1531643267144
2018-06-18,1504.2422017125841
2018-06-19,1497.3635288979092
2018-06-20,1505.224273723204
2018-06-21,1499.7305885229207
2018-06-22,1498.4227714647143
2018-06-24,1496.5326843188268
2018-06-25,1491.410068602895
2018-06-26,1481.9679710970875
2018-06-27,1481.279112731738
2018-06-28,1485.9857013364096
2018-06-29,1496.159716103332
2018-07-03,1496.159716103332
2018-07-04,1489.761669229671
2018-07-05,1490.778279314982
2018-07-06,1488.4801454352635
2018-07-08,1485.2298644281593
2018-07-09,1480.2633034750984
2018-07-10,1482.159990560873
2018-07-11,1482.0690925792849
2018-07-12,1478.4860678139821
2018-07-13,1475.0992236193463
2018-07-15,1475.5801462987954
2018-07-16,1460.4789374029951
2018-07-17,1454.2947297680087
2018-07-18,1450.32733361268
2018-07-19,1452.1584058062783
2018-07-20,1456.9015733042897
2018-07-22,1454.1991722510722
2018-07-23,1451.122525717342
2018-07-24,1456.137982239111
2018-07-25,1455.5913655672696
2018-07-26,1452.1029695686243
2018-07-27,1460.1970948421515
2018-07-29,1458.6561385678583
2018-07-30,1446.630480010105
2018-07-31,1451.4136504879802
2018-08-01,1451.4136504879802
2018-08-02,1447.5656372674614
2018-08-03,1446.6680495983683
2018-08-05,1443.9324714573695
2018-08-06,1439.2329198884509
2018-08-07,1444.2185045603958
2018-08-08,1452.277010273469
2018-08-09,1445.460940767495
2018-08-10,1441.493209730723
2018-08-12,1437.6258323837321
2018-08-13,1426.9090992898543
2018-08-14,1425.5396369152188
2018-08-15,1420.2678852001075
2018-08-16,1424.8253471929868
2018-08-17,1429.802477512528
2018-08-19,1429.5911315177273
2018-08-20,1427.4877649957384
2018-08-21,1427.2627164524688
2018-08-22,1426.0721899505213
2018-08-23,1422.9459999803855
2018-08-24,1424.2970304788798
2018-08-26,1424.1672617128663
2018-08-27,1421.5504925594528
2018-08-28,1423.7867719236206
2018-08-29,1424.301447938995
2018-08-30,1422.036246864151
2018-08-31,1423.3688040168354
2018-09-03,1423.3688040168354
2018-09-04,1430.4710993435983
2018-09-05,1423.0922389685913
