InputCompany,MatchType,MatchedCompany,AM100,AM200,AM300,CoveragePct,LatestAvgDailyUSDLiquidity,LatestRank,Status,Reason
Telecom Egypt,exact_normalized,TELECOM EGYPT (EGYPT),False,True,True,0.6435643564356436,71476272.60333332,114.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Motus Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Bank of Africa (BMCE),likely_match,BANK OF AFRICA NIGER (NIGER),True,False,True,0.6622959593256623,13732710.319767442,70.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Santam Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Truworths International Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Dangote Cement,missing,,,,,,,,Missing entirely,not_in_master_dataset
Telkom SA SOC Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Access Holdings PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Eastern Tobacco,likely_match,EASTERN TOBACCO EGYPT (EGYPT),True,False,True,0.643029167781643,64640833.83101191,14.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Dis-Chem Pharmacies,exact_normalized,DIS-CHEM PHARMACIES (SOUTH AFRICA),False,True,True,0.6245651592186245,32949312.53448276,120.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Netcare Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Thungela Resources,missing,,,,,,,,Missing entirely,not_in_master_dataset
Spar Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
TAQA Morocco S.A.,likely_match,TAQA MOROCCO (MOROCCO),False,True,True,0.6612255820176612,9908266.754601227,163.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Pick n Pay Stores Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Life Health Grp Hldgs Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Exxaro Resources,exact_normalized,EXXARO RESOURCES (SOUTH AFRICA),True,False,True,0.683971099812684,117065733.5816092,75.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Omnia Holdings,missing,,,,,,,,Missing entirely,not_in_master_dataset
Heliopolis Co. for Housing & Development,missing,,,,,,,,Missing entirely,not_in_master_dataset
Fawry for Banking & Payment Technology,missing,,,,,,,,Missing entirely,not_in_master_dataset
Label Vie,missing,,,,,,,,Missing entirely,not_in_master_dataset
EFG Hermes,missing,,,,,,,,Missing entirely,not_in_master_dataset
Grindrod Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Sun International Limmited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Reunert Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
