country,companies
EGYPT,30
GHANA,20
KENYA,36
MALAWI,10
MAURITIUS,10
MOROCCO,13
NAMIBIA,6
NIGER,1
NIGERIA,45
RWANDA,5
SENEGAL,3
SOUTH_AFRICA,71
TANZANIA,20
TOGO,1
TUNISIA,10
UGANDA,7
ZAMBIA,18
ZIMBABWE,13
