Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),OK,109494005.24773669,44.16781058600774,86,109494005.24773669,109494005.24773669,21898801.04954734,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,109494005.24773669,1.0,True,2025-01-31
FIRSTRAND (SOUTH AFRICA),OK,51766906.220592074,4.019681410084764,86,51766906.220592074,51766906.220592074,10353381.244118415,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,51766906.220592074,2.0,True,2025-01-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,46638219.93672064,22.27864499270255,86,46638219.93672064,46638219.93672064,9327643.987344129,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,46638219.93672064,3.0,True,2025-01-31
CAPITEC BANK (SOUTH AFRICA),OK,42251202.43668292,165.8642473786872,86,42251202.43668292,42251202.43668292,8450240.487336583,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,42251202.43668292,4.0,True,2025-01-31
PROSUS (SOUTH AFRICA),OK,39212589.23656372,39.63852501611365,86,39212589.23656372,39212589.23656372,7842517.847312745,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,39212589.23656372,5.0,True,2025-01-31
GOLD FIELDS (SOUTH AFRICA),OK,38821811.07505118,13.07613581400665,86,38821811.07505118,38821811.07505118,7764362.215010237,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,38821811.07505118,6.0,True,2025-01-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,33884321.55485598,11.73518364271192,86,33884321.55485598,33884321.55485598,6776864.310971197,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,33884321.55485598,7.0,True,2025-01-31
ANGLO AMERICAN (SOUTH AFRICA),OK,28403352.733101375,29.20301719530381,86,28403352.733101375,28403352.733101375,5680670.546620276,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,28403352.733101375,8.0,True,2025-01-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,27377111.21351277,35.80299962639612,86,27377111.21351277,27377111.21351277,5475422.242702555,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,27377111.21351277,9.0,True,2025-01-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,24099998.68477543,1.531987583227408,86,24099998.68477543,24099998.68477543,4819999.736955087,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,24099998.68477543,10.0,True,2025-01-31
ABSA (SOUTH AFRICA),OK,22454078.883202888,10.04126576571332,86,22454078.883202888,22454078.883202888,4490815.776640578,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,22454078.883202888,11.0,True,2025-01-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,22427280.712597203,5.154781018382792,86,22427280.712597203,22427280.712597203,4485456.1425194405,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,22427280.712597203,12.0,True,2025-01-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,20679776.45590835,7.973744008314538,86,20679776.45590835,20679776.45590835,4135955.2911816705,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20679776.45590835,13.0,True,2025-01-31
MTN GROUP (SOUTH AFRICA),OK,20578454.75104596,4.867963308500493,86,20578454.75104596,20578454.75104596,4115690.9502091925,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20578454.75104596,14.0,True,2025-01-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,20518422.349256463,15.58446781556034,86,20518422.349256463,20518422.349256463,4103684.4698512927,30,,,,,2025-01-31,2024-12-31,2025-01-31,SOUTH AFRICA,HIGH,20518422.349256463,15.0,True,2025-01-31
