Date,InvestableCapacityUSD
2018-04-30,250101207.85163242
2018-07-31,222969825.35626984
2018-10-31,206924384.6205257
2019-01-31,171371204.03556174
2019-04-30,197270681.01695105
2019-07-31,465139284.08783865
2019-10-31,347566480.2527918
2020-01-31,295117190.2775226
2020-04-30,462215759.4350273
2020-07-31,668753028.7848235
2020-10-31,337403201.601476
2021-01-31,396077213.08964413
2021-04-30,500852891.2596714
2021-07-31,574208199.0513744
2021-10-31,565452326.945628
2022-01-31,643841471.4993382
2022-04-30,839553091.9807956
2022-07-31,670349824.5602705
2022-10-31,290284050.0585167
2023-01-31,336411355.67470354
2023-04-30,347163071.3015877
2023-07-31,439152918.87180895
2023-10-31,258290326.50038126
2024-01-31,279200097.0760682
2024-04-30,234084517.44597706
2024-07-31,214234122.32577202
2024-10-31,194643384.7855199
2025-01-31,185845723.48677415
2025-04-30,232770269.5812636
2025-07-31,221514394.73644412
2025-10-31,258458431.55414572
2026-01-31,254666753.91238597
