Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
PPC (SOUTH AFRICA),1826671035.5555553,632.0,90,0.6666666666666666,4110009830.0,20.0,2017-09-30,SOUTH AFRICA,HIGH,1826671035.5555553,5.0,1.0,True,2017-09-30
BLUE LABEL TELECOMS (SOUTH AFRICA),1473930019.8518507,1750.0,90,0.6666666666666666,3316342544.6666646,20.0,2017-09-30,SOUTH AFRICA,HIGH,1473930019.8518507,5.0,2.0,True,2017-09-30
NASPERS (SOUTH AFRICA),966012028.1481482,385.77,90,0.6666666666666666,2173527063.3333335,20.0,2017-09-30,SOUTH AFRICA,HIGH,966012028.1481482,5.0,3.0,True,2017-09-30
REINET INVEST (SOUTH AFRICA),420183614.8148148,287.0,90,0.6666666666666666,945413133.3333334,20.0,2017-09-30,SOUTH AFRICA,HIGH,420183614.8148148,2.2752231171238155,4.0,True,2017-09-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),399367122.3408878,40.0,90,0.6333333333333333,995652105.559,19.0,2017-09-30,NIGERIA,MID,399367122.3408878,5.0,5.0,True,2017-09-30
MTN GROUP (SOUTH AFRICA),377056632.5925926,124.38,90,0.6666666666666666,848377423.3333334,20.0,2017-09-30,SOUTH AFRICA,HIGH,377056632.5925926,2.0416978118426155,6.0,True,2017-09-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),314649894.5511111,846.42,90,0.6666666666666666,707962262.74,20.0,2017-09-30,SOUTH AFRICA,HIGH,314649894.5511111,1.7037758937810388,7.0,True,2017-09-30
GRINDROD (SOUTH AFRICA),312517807.1111111,942.0,90,0.6666666666666666,703165066.0,20.0,2017-09-30,SOUTH AFRICA,HIGH,312517807.1111111,1.6922310013573891,8.0,True,2017-09-30
FIRSTRAND (SOUTH AFRICA),290633576.29629624,50.97,90,0.6666666666666666,653925546.6666666,20.0,2017-09-30,SOUTH AFRICA,HIGH,290633576.29629624,1.573731597537741,9.0,True,2017-09-30
STANDARD BANK GROUP (SOUTH AFRICA),253421725.92592594,157.81,90,0.6666666666666666,570198883.3333334,20.0,2017-09-30,SOUTH AFRICA,HIGH,253421725.92592594,1.3722357295207719,10.0,True,2017-09-30
