Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,499639865.49169225,1337.444981412639,86,86,499639865.49169225,499639865.49169225,99927973.09833845,30,,,,,2023-01-31,2022-12-31,2023-01-31,ZIMBABWE,LOW,499639865.49169225,1.0,True,2023-01-31
INNSCOR AFRICA (ZIMBABWE),OK,172134056.1336891,2653.037918215613,86,86,172134056.1336891,172134056.1336891,34426811.22673782,30,,,,,2023-01-31,2022-12-31,2023-01-31,ZIMBABWE,LOW,172134056.1336891,2.0,True,2023-01-31
SIMBISA BRANDS (ZIMBABWE),OK,111879195.1979174,987.8688976377953,64,64,111879195.1979174,111879195.1979174,22375839.03958348,30,,,,,2023-01-31,2022-12-31,2023-01-31,ZIMBABWE,LOW,111879195.1979174,3.0,True,2023-01-31
NASPERS (SOUTH AFRICA),OK,102896403.81823994,33.21201787394168,85,85,102896403.81823994,102896403.81823994,20579280.76364799,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,102896403.81823994,4.0,True,2023-01-31
PROSUS (SOUTH AFRICA),OK,56436139.827142335,31.77093132643462,85,85,56436139.827142335,56436139.827142335,11287227.965428468,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,56436139.827142335,5.0,True,2023-01-31
ANGLO AMERICAN (SOUTH AFRICA),OK,43951739.13031452,39.0016462841016,85,85,43951739.13031452,43951739.13031452,8790347.826062905,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,43951739.13031452,6.0,True,2023-01-31
FIRSTRAND (SOUTH AFRICA),OK,41345621.65057535,3.652398871119473,85,85,41345621.65057535,41345621.65057535,8269124.33011507,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,41345621.65057535,7.0,True,2023-01-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,40324931.40809676,149.0,84,84,40324931.40809676,40324931.40809676,8064986.281619352,30,,,,,2023-01-31,2022-12-31,2023-01-31,ZIMBABWE,LOW,40324931.40809676,8.0,True,2023-01-31
MTN GROUP (SOUTH AFRICA),OK,31650224.05919081,7.484713076199435,85,85,31650224.05919081,31650224.05919081,6330044.811838162,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,31650224.05919081,9.0,True,2023-01-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,31279234.879936114,9.86535747883349,85,85,31279234.879936114,31279234.879936114,6255846.975987223,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,31279234.879936114,10.0,True,2023-01-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,29230282.98829334,12.53174976481656,85,85,29230282.98829334,29230282.98829334,5846056.597658668,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,29230282.98829334,11.0,True,2023-01-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,25350123.413157724,2.629350893697084,85,85,25350123.413157724,25350123.413157724,5070024.682631545,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,25350123.413157724,12.0,True,2023-01-31
ABSA (SOUTH AFRICA),OK,25117634.629462563,11.40051740357479,85,85,25117634.629462563,25117634.629462563,5023526.925892512,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,25117634.629462563,13.0,True,2023-01-31
CAPITEC BANK (SOUTH AFRICA),OK,24622103.1224994,109.2762229539041,85,85,24622103.1224994,24622103.1224994,4924420.62449988,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,24622103.1224994,14.0,True,2023-01-31
GOLD FIELDS (SOUTH AFRICA),OK,23394069.011576734,10.35689087488241,85,85,23394069.011576734,23394069.011576734,4678813.802315347,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,23394069.011576734,15.0,True,2023-01-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,22075966.578311257,19.35736124176858,85,85,22075966.578311257,22075966.578311257,4415193.315662252,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,22075966.578311257,16.0,True,2023-01-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,20992506.54371869,39.63428974600188,85,85,20992506.54371869,20992506.54371869,4198501.308743738,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,20992506.54371869,17.0,True,2023-01-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,18429438.08105919,13.28786453433678,85,85,18429438.08105919,18429438.08105919,3685887.6162118386,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,18429438.08105919,18.0,True,2023-01-31
BID CORP (SOUTH AFRICA),OK,17614601.50601802,19.39381467544685,85,85,17614601.50601802,17614601.50601802,3522920.3012036043,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,17614601.50601802,19.0,True,2023-01-31
BID CORPORATION (SOUTH AFRICA),OK,17614601.50601802,19.39381467544685,85,85,17614601.50601802,17614601.50601802,3522920.3012036043,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,17614601.50601802,20.0,True,2023-01-31
SANLAM (SOUTH AFRICA),OK,16788683.887390506,2.864534336782691,85,85,16788683.887390506,16788683.887390506,3357736.777478101,30,,,,,2023-01-31,2022-12-31,2023-01-31,SOUTH AFRICA,HIGH,16788683.887390506,21.0,True,2023-01-31
