Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
BID CORPORATION (SOUTH AFRICA),OK,18271341.02970587,24.00265670547765,87,87,18271341.02970587,18271341.02970587,3654268.205941174,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,18271341.02970587,23.0,True,2025-04-30
BID CORP (SOUTH AFRICA),OK,18271341.02970587,24.00265670547765,87,87,18271341.02970587,18271341.02970587,3654268.205941174,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,18271341.02970587,24.0,True,2025-04-30
CLICKS (SOUTH AFRICA),OK,16663316.191839717,18.50135375093059,87,87,16663316.191839717,16663316.191839717,3332663.2383679436,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,16663316.191839717,25.0,True,2025-04-30
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,16242469.36230899,7.150819924635645,87,87,16242469.36230899,16242469.36230899,3248493.872461798,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,16242469.36230899,26.0,True,2025-04-30
GLENCORE (SOUTH AFRICA),OK,15631716.627870478,3.674817938660909,87,87,15631716.627870478,15631716.627870478,3126343.325574096,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,15631716.627870478,27.0,True,2025-04-30
BHP (SOUTH AFRICA),OK,15521226.734320452,23.9671538567837,87,87,15521226.734320452,15521226.734320452,3104245.3468640908,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,15521226.734320452,28.0,True,2025-04-30
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,15512168.50012359,1.394442657164284,85,85,15512168.50012359,15512168.50012359,3102433.7000247184,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,15512168.50012359,29.0,True,2025-04-30
MR PRICE (SOUTH AFRICA),OK,15471569.226658264,12.10319421860688,87,87,15471569.226658264,15471569.226658264,3094313.845331653,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,15471569.226658264,30.0,True,2025-04-30
REINET INVEST (SOUTH AFRICA),OK,13239248.418565892,24.31726656467335,87,87,13239248.418565892,13239248.418565892,2647849.6837131786,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,13239248.418565892,31.0,True,2025-04-30
OLD MUTUAL (SOUTH AFRICA),OK,12402302.154570337,0.6499752299355651,87,87,12402302.154570337,12402302.154570337,2480460.4309140677,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,12402302.154570337,32.0,True,2025-04-30
