Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),5031382066.666666,543.0,90,0.7,10268126666.666666,10268126666.666666,2053625333.3333333,21.0,0,6,10959200000.0,57426863999.99943,2020-02-29,SOUTH AFRICA,HIGH,5031382066.666666,5.0,1.0,True,2020-02-29
NASPERS (SOUTH AFRICA),1293514498.2666664,476.19,90,0.7,2639825506.6666665,2639825506.6666665,527965101.3333333,21.0,0,6,1934175000.0,8401843867.999985,2020-02-29,SOUTH AFRICA,HIGH,1293514498.2666664,5.0,2.0,True,2020-02-29
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),473170200.2061567,23.8,90,0.7,965653469.8084831,965653469.8084831,193130693.96169662,21.0,0,5,455300646.7,3476746304.754493,2020-02-29,NIGERIA,MID,473170200.2061567,5.0,3.0,True,2020-02-29
SIBANYE STILLWATER (SOUTH AFRICA),417020184.65333307,31.47,90,0.7,851061601.3333329,851061601.3333329,170212320.2666666,21.0,0,6,168090000.0,1445269779.9999962,2020-02-29,SOUTH AFRICA,HIGH,417020184.65333307,2.477630597427484,4.0,True,2020-02-29
ZENITH BANK NIGERIA (NIGERIA),408982276.23399997,18.5,90,0.7,834657706.6,834657706.6,166931541.32000002,21.0,0,5,374624798.5,6016405961.477997,2020-02-29,NIGERIA,MID,408982276.23399997,5.0,5.0,True,2020-02-29
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),344083581.09999996,124.65,90,0.7,702211390.0,702211390.0,140442278.0,21.0,0,6,160752000.0,1586651488.999992,2020-02-29,SOUTH AFRICA,HIGH,344083581.09999996,2.044294353076627,6.0,True,2020-02-29
ANGLO AMERICAN (SOUTH AFRICA),297561210.11913335,342.26,90,0.7,607267775.7533334,607267775.7533334,121453555.1506667,21.0,0,6,500047600.0,2144331865.9999995,2020-02-29,SOUTH AFRICA,HIGH,297561210.11913335,1.7678922650029114,7.0,True,2020-02-29
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),252873266.69616663,277.77,90,0.7,516067891.21666664,516067891.21666664,103213578.24333334,21.0,0,6,250161970.8,1063412123.9999983,2020-02-29,SOUTH AFRICA,HIGH,252873266.69616663,1.5023890111187097,8.0,True,2020-02-29
BLUE LABEL TELECOMS (SOUTH AFRICA),244417062.18999997,248.0,90,0.7,498810331.0,498810331.0,99762066.2,21.0,0,6,1254783960.0,11990890999.999994,2020-02-29,SOUTH AFRICA,HIGH,244417062.18999997,1.4521483949720368,9.0,True,2020-02-29
FIRSTRAND (SOUTH AFRICA),242826533.1333333,54.0,90,0.7,495564353.3333333,495564353.3333333,99112870.66666667,21.0,0,6,582943000.0,2356893859.9999986,2020-02-29,SOUTH AFRICA,HIGH,242826533.1333333,1.4426986282654908,10.0,True,2020-02-29
STANDARD BANK GROUP (SOUTH AFRICA),239591793.80499998,148.5,90,0.7,488962844.5,488962844.5,97792568.9,21.0,0,6,588577500.0,2087768409.9999957,2020-02-29,SOUTH AFRICA,HIGH,239591793.80499998,1.423480160120494,11.0,True,2020-02-29
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),238497535.08559996,607.89,90,0.7,486729663.44,486729663.44,97345932.68800001,21.0,0,6,473591930.8,2302804670.999998,2020-02-29,SOUTH AFRICA,HIGH,238497535.08559996,1.4169788707717756,12.0,True,2020-02-29
GRINDROD (SOUTH AFRICA),209454191.17,403.0,90,0.7,427457533.0,427457533.0,85491506.60000001,21.0,0,6,441955560.0,4281878099.999982,2020-02-29,SOUTH AFRICA,HIGH,209454191.17,1.2444244473049146,13.0,True,2020-02-29
TANZANIA BREWERIES LTD (TANZANIA),205814796.00740743,10900.0,90,0.43333333333333335,1096055126.6666667,1096055126.6666667,219211025.33333337,13.0,0,59,69986000.0,3499300000.0,2020-02-29,TANZANIA,LOW,205814796.00740743,5.0,14.0,True,2020-02-29
ABSA (SOUTH AFRICA),191345542.26666665,132.3,90,0.7,390501106.6666667,390501106.6666667,78100221.33333334,21.0,0,6,360303600.0,2593753359.999946,2020-02-29,SOUTH AFRICA,HIGH,191345542.26666665,1.1368360277221368,15.0,True,2020-02-29
MTN NIGERIA (NIGERIA),188801553.0326333,110.0,90,0.7,385309291.9033333,385309291.9033333,77061858.38066666,21.0,0,2,212148525.0,10607426250.0,2020-02-29,NIGERIA,MID,188801553.0326333,5.0,16.0,True,2020-02-29
PPC (SOUTH AFRICA),186014414.78666666,148.0,90,0.7,379621254.6666667,379621254.6666667,75924250.93333334,21.0,0,6,1232330000.0,10075422499.999994,2020-02-29,SOUTH AFRICA,HIGH,186014414.78666666,1.1051623460891609,17.0,True,2020-02-29
GOLD FIELDS (SOUTH AFRICA),168314108.2800333,92.22,90,0.7,343498180.1633333,343498180.1633333,68699636.03266667,21.0,0,6,128211200.0,793387655.9999999,2020-02-29,SOUTH AFRICA,HIGH,168314108.2800333,1.0,18.0,True,2020-02-29
MTN GROUP (SOUTH AFRICA),168228024.99999997,73.7,90,0.7,343322500.0,343322500.0,68664500.0,21.0,0,6,590082600.0,2757735791.999998,2020-02-29,SOUTH AFRICA,HIGH,168228024.99999997,0.9994885557668755,19.0,True,2020-02-29
BID CORPORATION (SOUTH AFRICA),147901428.1635333,278.13,90,0.7,301839649.31333333,301839649.31333333,60367929.86266667,21.0,0,5,228567681.3,1118583408.9999998,2020-02-29,SOUTH AFRICA,HIGH,147901428.1635333,0.8787227028970245,20.0,True,2020-02-29
BID CORP (SOUTH AFRICA),147901428.1635333,278.13,90,0.7,301839649.31333333,301839649.31333333,60367929.86266667,21.0,0,5,228567681.3,1118583408.9999998,2020-02-29,SOUTH AFRICA,HIGH,147901428.1635333,0.8787227028970245,21.0,True,2020-02-29
SHOPRITE HOLDINGS (SOUTH AFRICA),140337704.4274333,112.12,90,0.7,286403478.42333335,286403478.42333335,57280695.68466667,21.0,0,6,284294400.0,1651872199.9999976,2020-02-29,SOUTH AFRICA,HIGH,140337704.4274333,0.8337845582970732,22.0,True,2020-02-29
SANLAM (SOUTH AFRICA),129894456.06666665,64.98,90,0.7,265090726.66666666,265090726.66666666,53018145.333333336,21.0,0,6,322233400.0,1449068699.9999974,2020-02-29,SOUTH AFRICA,HIGH,129894456.06666665,0.7717383729387332,23.0,True,2020-02-29
CAPITEC BANK (SOUTH AFRICA),124413750.59376666,1290.85,90,0.7,253905613.45666668,253905613.45666668,50781122.69133334,21.0,0,6,157369034.6,973202515.9999992,2020-02-29,SOUTH AFRICA,HIGH,124413750.59376666,0.7391760076747267,24.0,True,2020-02-29
DANGOTE CEMENT NIGERIA (NIGERIA),118932977.56293333,170.0,90,0.7,242720362.37333336,242720362.37333336,48544072.47466668,21.0,0,5,75221077.0,2712749967.1649933,2020-02-29,NIGERIA,MID,118932977.56293333,5.0,25.0,True,2020-02-29
NESTLÉ NIGERIA (NIGERIA),115134376.61133331,1130.0,90,0.7,234968115.53333333,234968115.53333333,46993623.10666667,21.0,0,5,97868221.0,2187135428.6699967,2020-02-29,NIGERIA,MID,115134376.61133331,5.0,26.0,True,2020-02-29
SAFARICOM KENYA (KENYA),111690184.74074073,27.9,90,0.6666666666666666,251302915.66666666,251302915.66666666,50260583.13333333,20.0,0,5,178585600.0,1243226680.0,2020-02-29,KENYA,MID,111690184.74074073,5.0,27.0,True,2020-02-29
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),110711183.73046666,111.21,90,0.7,225941191.2866667,225941191.2866667,45188238.25733334,21.0,0,6,37811313.6,471931289.9999989,2020-02-29,SOUTH AFRICA,HIGH,110711183.73046666,0.6577653225971436,28.0,True,2020-02-29
WOOLWORTHS HOLDINGS (SOUTH AFRICA),109579286.36666664,35.75,90,0.7,223631196.66666666,223631196.66666666,44726239.333333336,21.0,0,6,243238000.00000003,1420600799.9999948,2020-02-29,SOUTH AFRICA,HIGH,109579286.36666664,0.6510404118016873,29.0,True,2020-02-29
BIDVEST (SOUTH AFRICA),98565980.14806665,180.0,90,0.7,201155061.52666667,201155061.52666667,40231012.30533334,21.0,0,6,191250000.0,937052305.9999983,2020-02-29,SOUTH AFRICA,HIGH,98565980.14806665,0.5856073573112308,30.0,True,2020-02-29
CLICKS (SOUTH AFRICA),94464578.12843332,235.5,90,0.7,192784853.32333332,192784853.32333332,38556970.66466667,21.0,0,6,127340232.0,684956717.9999987,2020-02-29,SOUTH AFRICA,HIGH,94464578.12843332,0.5612398098635171,31.0,True,2020-02-29
OLD MUTUAL (SOUTH AFRICA),94269107.33333333,13.4,90,0.7,192385933.33333334,192385933.33333334,38477186.66666667,21.0,0,6,177889650.0,950300458.0000002,2020-02-29,SOUTH AFRICA,HIGH,94269107.33333333,0.5600784645841613,32.0,True,2020-02-29
MONDI (SOUTH AFRICA),93824937.82549998,304.7,90,0.7,191479464.95,191479464.95,38295892.99,21.0,0,6,167383335.6,785280113.9999981,2020-02-29,SOUTH AFRICA,HIGH,93824937.82549998,0.5574395324567704,33.0,True,2020-02-29
FOSCHINI (SOUTH AFRICA),93420510.72479999,109.27,90,0.7,190654103.52,190654103.52,38130820.704,21.0,0,6,185164200.0,739285409.9999963,2020-02-29,SOUTH AFRICA,HIGH,93420510.72479999,0.5550367208040056,34.0,True,2020-02-29
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),88950345.13073333,6.7,90,0.7,181531316.59333333,181531316.59333333,36306263.31866667,21.0,0,5,97279702.875,1364918602.5373497,2020-02-29,NIGERIA,MID,88950345.13073333,5.0,35.0,True,2020-02-29
REMGRO (SOUTH AFRICA),86088685.81459999,114.64,90,0.7,175691195.54,175691195.54,35138239.108,21.0,0,6,165721600.0,863574408.9999999,2020-02-29,SOUTH AFRICA,HIGH,86088685.81459999,0.5114763503447352,36.0,True,2020-02-29
MR PRICE (SOUTH AFRICA),83680074.01086664,150.97,90,0.7,170775661.24666664,170775661.24666664,34155132.24933333,21.0,0,6,237752000.0,1164356279.9999993,2020-02-29,SOUTH AFRICA,HIGH,83680074.01086664,0.4971661310271363,37.0,True,2020-02-29
DISCOVERY HOLDINGS (SOUTH AFRICA),81882508.24156666,96.3,90,0.7,167107159.67666668,167107159.67666668,33421431.935333338,21.0,0,6,176166900.0,772995976.9999999,2020-02-29,SOUTH AFRICA,HIGH,81882508.24156666,0.4864863027722804,38.0,True,2020-02-29
VODACOM (SOUTH AFRICA),81722907.86053331,109.67,90,0.7,166781444.6133333,166781444.6133333,33356288.922666665,21.0,0,6,225848000.0,1438870221.9999835,2020-02-29,SOUTH AFRICA,HIGH,81722907.86053331,0.4855380734012296,39.0,True,2020-02-29
TIGER BRANDS (SOUTH AFRICA),79521373.1634,150.46,90,0.7,162288516.66,162288516.66,32457703.332000002,21.0,0,6,182275639.0,754484031.9999998,2020-02-29,SOUTH AFRICA,HIGH,79521373.1634,0.4724581556235083,40.0,True,2020-02-29
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),76345215.54333329,55.55,90,0.7,155806562.33333328,155806562.33333328,31161312.466666657,21.0,0,6,57267410.4,300287160.9999995,2020-02-29,SOUTH AFRICA,HIGH,76345215.54333329,0.4535877373767957,41.0,True,2020-02-29
GROWTHPOINT PROPERTIES (SOUTH AFRICA),71876955.03333333,17.6,90,0.7,146687663.33333334,146687663.33333334,29337532.66666667,21.0,0,6,167042400.0,783150304.999999,2020-02-29,SOUTH AFRICA,HIGH,71876955.03333333,0.4270405836315738,42.0,True,2020-02-29
QUILTER (SOUTH AFRICA),70940097.24666661,28.26,90,0.7,144775708.66666657,144775708.66666657,28955141.733333316,21.0,0,3,53272300.0,382318979.9999986,2020-02-29,SOUTH AFRICA,HIGH,70940097.24666661,0.4214744561319823,43.0,True,2020-02-29
SPAR (SOUTH AFRICA),68932646.49436666,164.0,90,0.7,140678870.39666668,140678870.39666668,28135774.079333335,21.0,0,6,112021295.0,561414890.9999995,2020-02-29,SOUTH AFRICA,HIGH,68932646.49436666,0.40954764397812504,44.0,True,2020-02-29
NIGERIAN BREWERIES (NIGERIA),66804798.03398333,40.5,90,0.7,136336322.51833335,136336322.51833335,27267264.50366667,21.0,0,5,114160182.035,3369040064.909996,2020-02-29,NIGERIA,MID,66804798.03398333,5.0,45.0,True,2020-02-29
KUMBA IRON ORE (SOUTH AFRICA),64403498.22176666,280.67,90,0.7,131435710.65666667,131435710.65666667,26287142.131333336,21.0,0,6,115353752.39999999,442032151.9999988,2020-02-29,SOUTH AFRICA,HIGH,64403498.22176666,0.38263873943719007,46.0,True,2020-02-29
SONATEL SENEGAL (SENEGAL),62549703.603333324,14995.0,90,0.7,127652456.33333333,127652456.33333333,25530491.266666666,21.0,0,5,91054700.0,2482793905.4999814,2020-02-29,SENEGAL,LOW,62549703.603333324,5.0,47.0,True,2020-02-29
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),58627512.09956665,136.49,90,0.7,119647983.87666665,119647983.87666665,23929596.77533333,21.0,0,6,65776580.0,272817359.9999993,2020-02-29,SOUTH AFRICA,HIGH,58627512.09956665,0.34832203134169176,48.0,True,2020-02-29
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),57469495.13059999,100.0,90,0.7,117284683.94,117284683.94,23456936.788000003,21.0,0,6,264613315.89999998,1775181249.9999948,2020-02-29,SOUTH AFRICA,HIGH,57469495.13059999,0.3414419368516921,49.0,True,2020-02-29
TRUWORTHS INT (SOUTH AFRICA),57218897.36733333,44.93,90,0.7,116773259.93333334,116773259.93333334,23354651.98666667,21.0,0,6,180826100.0,775461002.9999993,2020-02-29,SOUTH AFRICA,HIGH,57218897.36733333,0.3399530672267541,50.0,True,2020-02-29
REINET INVEST (SOUTH AFRICA),55855164.33209999,322.37,90,0.7,113990131.28999999,113990131.28999999,22798026.258,21.0,0,6,199722905.8,3942886279.999999,2020-02-29,SOUTH AFRICA,HIGH,55855164.33209999,0.33185075750851933,51.0,True,2020-02-29
