Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),OK,949567858.8957067,64.24515496300928,86,949567858.8957067,949567858.8957067,189913571.77914134,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,949567858.8957067,1.0,True,2019-07-31
NASPERS (SOUTH AFRICA),OK,183725455.94737327,33.11183915969612,86,183725455.94737327,183725455.94737327,36745091.18947466,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,183725455.94737327,2.0,True,2019-07-31
PPC (SOUTH AFRICA),OK,58615857.07645696,32.83325397445829,86,58615857.07645696,58615857.07645696,11723171.415291391,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,58615857.07645696,3.0,True,2019-07-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,57891189.173784345,33.47286281811657,86,57891189.173784345,57891189.173784345,11578237.83475687,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,57891189.173784345,4.0,True,2019-07-31
FIRSTRAND (SOUTH AFRICA),OK,49581940.34371427,4.772903326676664,86,49581940.34371427,49581940.34371427,9916388.068742855,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,49581940.34371427,5.0,True,2019-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,46742485.629563384,13.97687458691929,86,46742485.629563384,46742485.629563384,9348497.125912677,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,46742485.629563384,6.0,True,2019-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,40838142.08997317,27.71282984272729,86,40838142.08997317,40838142.08997317,8167628.417994633,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,40838142.08997317,7.0,True,2019-07-31
MTN GROUP (SOUTH AFRICA),OK,35397713.74605914,7.586471562280135,86,35397713.74605914,35397713.74605914,7079542.749211829,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,35397713.74605914,8.0,True,2019-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,32338019.13099674,35.14295257655763,86,32338019.13099674,32338019.13099674,6467603.826199349,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,32338019.13099674,9.0,True,2019-07-31
ABSA (SOUTH AFRICA),OK,29885065.449766662,12.50790627598411,86,29885065.449766662,29885065.449766662,5977013.089953333,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,29885065.449766662,10.0,True,2019-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,27383700.207108077,18.05189359751547,86,27383700.207108077,27383700.207108077,5476740.0414216155,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,27383700.207108077,11.0,True,2019-07-31
SANLAM (SOUTH AFRICA),OK,26606491.8568934,5.55464746892567,86,26606491.8568934,26606491.8568934,5321298.371378681,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,26606491.8568934,12.0,True,2019-07-31
GRINDROD (SOUTH AFRICA),OK,25799082.770462926,40.79283069553909,86,25799082.770462926,25799082.770462926,5159816.554092586,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,25799082.770462926,13.0,True,2019-07-31
MR PRICE (SOUTH AFRICA),OK,23976909.91858768,14.10763906162276,86,23976909.91858768,23976909.91858768,4795381.983717537,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,23976909.91858768,14.0,True,2019-07-31
CAPITEC BANK (SOUTH AFRICA),OK,22924414.134119067,91.6495512077947,86,22924414.134119067,22924414.134119067,4584882.826823814,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,22924414.134119067,15.0,True,2019-07-31
OLD MUTUAL (SOUTH AFRICA),OK,20992555.432075184,1.289167158217908,86,20992555.432075184,20992555.432075184,4198511.086415037,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,20992555.432075184,16.0,True,2019-07-31
BIDVEST (SOUTH AFRICA),OK,20850196.460595682,13.45665939407722,86,20850196.460595682,20850196.460595682,4170039.2921191365,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,20850196.460595682,17.0,True,2019-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,19368112.714291207,11.20452558790713,86,19368112.714291207,19368112.714291207,3873622.5428582416,30,,,,,2019-07-31,2019-06-30,2019-07-31,SOUTH AFRICA,HIGH,19368112.714291207,18.0,True,2019-07-31
