Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),OK,1358137870.5307856,97.9623162044378,81,81,1358137870.5307856,1358137870.5307856,271627574.1061571,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,1358137870.5307856,1.0,True,2018-04-30
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,296279462.17047024,109.0348471990723,81,81,296279462.17047024,296279462.17047024,59255892.43409405,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,296279462.17047024,2.0,True,2018-04-30
NASPERS (SOUTH AFRICA),OK,271411788.84381413,32.29206462977175,81,81,271411788.84381413,271411788.84381413,54282357.76876283,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,271411788.84381413,3.0,True,2018-04-30
PPC (SOUTH AFRICA),OK,178104770.8905433,66.3506628304432,81,81,178104770.8905433,178104770.8905433,35620954.17810866,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,178104770.8905433,4.0,True,2018-04-30
FIRSTRAND (SOUTH AFRICA),OK,75681791.27869608,5.539646422811781,81,81,75681791.27869608,75681791.27869608,15136358.255739216,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,75681791.27869608,5.0,True,2018-04-30
STANDARD BANK GROUP (SOUTH AFRICA),OK,71933434.29252036,18.48351967867684,81,81,71933434.29252036,71933434.29252036,14386686.858504072,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,71933434.29252036,6.0,True,2018-04-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,56851708.885816924,58.87459133063084,81,81,56851708.885816924,56851708.885816924,11370341.777163386,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,56851708.885816924,7.0,True,2018-04-30
MTN GROUP (SOUTH AFRICA),OK,55951813.472111516,10.05994380901828,81,81,55951813.472111516,55951813.472111516,11190362.694422305,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,55951813.472111516,8.0,True,2018-04-30
ANGLO AMERICAN (SOUTH AFRICA),OK,48543725.99611558,22.61839155850523,81,81,48543725.99611558,48543725.99611558,9708745.199223116,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,48543725.99611558,9.0,True,2018-04-30
ABSA (SOUTH AFRICA),OK,47103727.03838921,16.03403915787908,81,81,47103727.03838921,47103727.03838921,9420745.407677842,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,47103727.03838921,10.0,True,2018-04-30
GRINDROD (SOUTH AFRICA),OK,46564366.90612459,79.36722598444098,81,81,46564366.90612459,46564366.90612459,9312873.38122492,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,46564366.90612459,11.0,True,2018-04-30
SANLAM (SOUTH AFRICA),OK,46054907.875179686,7.20982361711695,81,81,46054907.875179686,46054907.875179686,9210981.575035937,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,46054907.875179686,12.0,True,2018-04-30
MR PRICE (SOUTH AFRICA),OK,36852750.45469382,24.08909414863225,81,81,36852750.45469382,36852750.45469382,7370550.090938764,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,36852750.45469382,13.0,True,2018-04-30
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,35115987.706941456,21.34885403530362,81,81,35115987.706941456,35115987.706941456,7023197.541388292,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,35115987.706941456,14.0,True,2018-04-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,31819338.706743374,21.93037322036534,81,81,31819338.706743374,31819338.706743374,6363867.741348675,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,31819338.706743374,15.0,True,2018-04-30
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,31744981.657130323,2.401302332500499,81,81,31744981.657130323,31744981.657130323,6348996.331426065,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,31744981.657130323,16.0,True,2018-04-30
FOSCHINI (SOUTH AFRICA),OK,30168523.14411406,16.56822538601717,81,81,30168523.14411406,30168523.14411406,6033704.628822812,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,30168523.14411406,17.0,True,2018-04-30
TIGER BRANDS (SOUTH AFRICA),OK,28824818.491469488,28.58995121324512,81,81,28824818.491469488,28824818.491469488,5764963.698293898,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,28824818.491469488,18.0,True,2018-04-30
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),OK,26251648.83418881,19.94746041781477,79,79,26251648.83418881,26251648.83418881,5250329.766837763,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,26251648.83418881,19.0,True,2018-04-30
TRUWORTHS INT (SOUTH AFRICA),OK,25724992.711242564,9.088772960710266,81,81,25724992.711242564,25724992.711242564,5144998.542248514,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,25724992.711242564,20.0,True,2018-04-30
VODACOM (SOUTH AFRICA),OK,23631445.329016637,12.8770999773478,81,81,23631445.329016637,23631445.329016637,4726289.065803328,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,23631445.329016637,21.0,True,2018-04-30
CAPITEC BANK (SOUTH AFRICA),OK,23076205.31492824,73.03813345865296,81,81,23076205.31492824,23076205.31492824,4615241.062985648,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,23076205.31492824,22.0,True,2018-04-30
BIDVEST (SOUTH AFRICA),OK,22558727.745763905,18.94163508318767,81,81,22558727.745763905,22558727.745763905,4511745.549152781,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,22558727.745763905,23.0,True,2018-04-30
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,22477354.45528481,5.071388241817315,81,81,22477354.45528481,22477354.45528481,4495470.891056962,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,22477354.45528481,24.0,True,2018-04-30
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,21997223.658730555,14.41119492049754,81,81,21997223.658730555,21997223.658730555,4399444.731746111,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,21997223.658730555,25.0,True,2018-04-30
OLD MUTUAL (SOUTH AFRICA),OK,19217799.830024004,1.578046974578821,81,81,19217799.830024004,19217799.830024004,3843559.966004801,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,19217799.830024004,26.0,True,2018-04-30
EXXARO RESOURCES (SOUTH AFRICA),OK,18654158.69704966,8.347505046031301,81,81,18654158.69704966,18654158.69704966,3730831.739409932,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,18654158.69704966,27.0,True,2018-04-30
CLICKS (SOUTH AFRICA),OK,17620681.868956316,15.39250854528919,81,81,17620681.868956316,17620681.868956316,3524136.3737912634,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,17620681.868956316,28.0,True,2018-04-30
REMGRO (SOUTH AFRICA),OK,16641598.433536088,13.44509546043134,81,81,16641598.433536088,16641598.433536088,3328319.6867072177,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,16641598.433536088,29.0,True,2018-04-30
KUMBA IRON ORE (SOUTH AFRICA),OK,15801304.85428029,23.92427403077318,81,81,15801304.85428029,15801304.85428029,3160260.970856058,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,15801304.85428029,30.0,True,2018-04-30
GLENCORE (SOUTH AFRICA),OK,15605067.722823683,4.792461888517363,81,81,15605067.722823683,15605067.722823683,3121013.544564737,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,15605067.722823683,31.0,True,2018-04-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,14528384.203068385,9.510543416154738,81,81,14528384.203068385,14528384.203068385,2905676.840613677,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,14528384.203068385,32.0,True,2018-04-30
MONDI (SOUTH AFRICA),OK,13500728.409513861,26.0365072334901,81,81,13500728.409513861,13500728.409513861,2700145.6819027723,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,13500728.409513861,33.0,True,2018-04-30
SPAR (SOUTH AFRICA),OK,10952255.187120525,17.12100670437525,81,81,10952255.187120525,10952255.187120525,2190451.037424105,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,10952255.187120525,34.0,True,2018-04-30
SIBANYE STILLWATER (SOUTH AFRICA),OK,9770665.50597682,0.9568019149562002,81,81,9770665.50597682,9770665.50597682,1954133.1011953643,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,9770665.50597682,35.0,True,2018-04-30
REINET INVEST (SOUTH AFRICA),OK,9117238.61237522,19.44032159363304,81,81,9117238.61237522,9117238.61237522,1823447.7224750442,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,9117238.61237522,36.0,True,2018-04-30
HULAMIN LIMITED (SOUTH AFRICA),OK,8469768.867828395,41.58538358290198,84,84,8469768.867828395,8469768.867828395,1693953.773565679,30,,,,,2018-04-30,2018-03-31,2018-04-30,SOUTH AFRICA,HIGH,8469768.867828395,37.0,True,2018-04-30
