Date,Index Level
2016-09-01,1000.0
2016-09-02,1024.6088493641466
2016-09-05,1024.2029964636731
2016-09-06,1032.514860704111
2016-09-07,1045.0717977341626
2016-09-08,1047.604747632418
2016-09-09,1045.6467175048745
2016-09-12,1026.6992916425668
2016-09-13,1036.8436900735103
2016-09-14,1020.4736798381014
2016-09-15,1011.9939521282049
2016-09-16,980.2339415748646
2016-09-19,1004.1924017206334
2016-09-20,1022.3658136764235
2016-09-21,1009.0020146372744
2016-09-22,1017.9413282138125
2016-09-23,1021.5520194837544
2016-09-26,1004.4484223372546
2016-09-27,996.2624882924848
2016-09-28,992.0528666939774
2016-09-29,1017.4111843106226
2016-09-30,1002.6957716788785
2016-10-03,1002.6957716788785
2016-10-04,1025.3633092555326
2016-10-05,1030.4237958819974
2016-10-06,1040.0895833043166
2016-10-07,1045.4991005939291
2016-10-10,1054.7886751629835
2016-10-11,1046.5838798813954
2016-10-12,1050.0869814374348
2016-10-13,1027.514795745953
2016-10-14,1040.6943163946696
2016-10-17,1043.2550667776889
2016-10-18,1059.6845726860845
2016-10-19,1066.0755895808977
2016-10-20,1063.0988917235434
2016-10-21,1066.3091980095555
2016-10-24,1068.2311274525393
2016-10-25,1067.4579774714039
2016-10-26,1059.1974603968688
2016-10-27,1057.9477759340873
2016-10-28,1031.0301399178404
2016-10-31,1021.3515833686338
2016-11-01,1021.3515833686338
2016-11-02,1019.9181405005797
2016-11-03,1025.5648147773327
2016-11-04,1017.1520089690866
2016-11-07,1027.6188369809795
2016-11-08,1030.5159151117755
2016-11-09,1023.4908623629293
2016-11-10,1031.228521255868
2016-11-11,1017.5881852430302
2016-11-14,1008.9307475035503
2016-11-15,1015.2377177488468
2016-11-16,1022.4596758271622
2016-11-17,1028.327024523279
2016-11-18,1028.5171806250407
2016-11-21,1024.378376235219
2016-11-22,1031.6018510356762
2016-11-23,1021.6494716530335
2016-11-24,1019.2202094852647
2016-11-25,1019.0417326283685
2016-11-28,1017.3169779644655
2016-11-29,1011.599698243233
2016-11-30,1008.0075657632515
2016-12-01,1008.0075657632515
2016-12-02,1008.0915277213986
2016-12-04,1008.7584154967759
2016-12-05,1009.4653173846631
2016-12-06,1002.8238102689322
2016-12-07,1004.1857280746055
2016-12-08,1009.3420555568636
2016-12-09,1010.3299498467029
2016-12-12,1008.3615065139302
2016-12-13,1015.5741254181081
2016-12-14,1019.8322399813374
2016-12-15,1014.6395079799453
2016-12-16,1011.4726205846847
2016-12-18,1011.8348916098574
2016-12-19,1012.6899749651228
2016-12-20,1016.2742932267132
2016-12-21,1021.0898465911622
2016-12-22,1017.4505932796847
2016-12-23,1011.2539356205469
2016-12-25,1009.0427301973443
2016-12-26,1008.4691352843242
2016-12-27,1009.6584028993201
2016-12-28,1021.2507980122612
2016-12-29,1027.2568955750173
2016-12-30,1032.4591955877013
2017-01-03,1032.4591955877013
2017-01-04,1031.899002202927
2017-01-05,1034.827103701863
2017-01-06,1039.7263511163658
2017-01-08,1040.3509375890274
2017-01-09,1038.6899255544467
2017-01-10,1037.8780420051028
2017-01-11,1042.5255483578508
2017-01-12,1042.6248193035983
2017-01-13,1045.529366963804
2017-01-15,1046.2376209156082
2017-01-16,1048.345748650214
2017-01-17,1045.5342540775248
2017-01-18,1045.1875810690474
2017-01-19,1038.2398073005024
2017-01-20,1037.4983696410682
2017-01-22,1035.7364459253429
2017-01-23,1042.4455612810198
2017-01-24,1045.8328195448453
2017-01-25,1046.7522261630513
2017-01-26,1052.1090970556716
2017-01-27,1048.4301555235763
2017-01-29,1049.4649348575822
2017-01-30,1042.8401060756357
2017-01-31,1039.2199494664496
2017-02-01,1039.2199494664496
2017-02-02,1042.9962918393312
2017-02-03,1039.1424108754877
2017-02-05,1038.3315700236315
2017-02-06,1033.3714312443274
2017-02-07,1036.5374679680979
2017-02-08,1037.3317396112882
2017-02-09,1036.740483415852
2017-02-10,1042.2910487429378
2017-02-12,1040.9032619964091
2017-02-13,1040.7253808721325
2017-02-14,1028.7890966940272
2017-02-15,1030.4560066501738
2017-02-16,1030.779009712698
2017-02-17,1028.9452448896175
2017-02-19,1028.3758632035062
2017-02-20,1032.7160376702586
2017-02-21,1034.5792618242488
2017-02-22,1029.8286412632583
2017-02-23,1032.3752440251706
2017-02-24,1026.0055682049747
2017-02-26,1026.3758134476882
2017-02-27,1028.701711260921
2017-02-28,1022.8164886104955
2017-03-01,1022.8164886104955
2017-03-02,1032.447263718623
2017-03-03,1033.4742146529918
2017-03-05,1034.8808823460972
2017-03-06,1036.491837539177
2017-03-07,1039.896715984326
2017-03-08,1036.1872329137373
2017-03-09,1028.945099751842
2017-03-10,1033.765852154702
