Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),848058738.9576296,694.71,90,0.7333333333333333,1576968729.4666667,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,848058738.9576296,4.7239989728587295,1.0,True,2023-11-30
ABU QIR FERTILIZERS EGYPT (EGYPT),676326407.3618962,1587.0,90,0.7333333333333333,1257631749.2266667,,,22.0,2023-11-30,EGYPT,MID,676326407.3618962,5.0,2.0,True,2023-11-30
GRINDROD (SOUTH AFRICA),510775278.6725925,1035.0,90,0.7333333333333333,949788741.3333334,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,510775278.6725925,2.845206093597617,3.0,True,2023-11-30
FIRSTRAND (SOUTH AFRICA),405918312.79999995,67.43,90,0.7333333333333333,754806780.0,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,405918312.79999995,2.26111424202605,4.0,True,2023-11-30
EASTERN TOBACCO EGYPT (EGYPT),391365720.23749024,518.0,90,0.7333333333333333,727746173.9953332,,,22.0,2023-11-30,EGYPT,MID,391365720.23749024,5.0,5.0,True,2023-11-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),385039066.5642074,39.0,90,0.7333333333333333,715981735.3466667,,,22.0,2023-11-30,NIGERIA,MID,385039066.5642074,5.0,6.0,True,2023-11-30
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),358142348.2045036,21.35,90,0.7333333333333333,665967176.4133333,,,22.0,2023-11-30,NIGERIA,MID,358142348.2045036,5.0,7.0,True,2023-11-30
PROSUS (SOUTH AFRICA),307999573.6082222,627.0,90,0.7333333333333333,572726479.85,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,307999573.6082222,1.7156708639716782,8.0,True,2023-11-30
MTN NIGERIA (NIGERIA),288948664.0748888,238.0,90,0.7333333333333333,537301234.85,,,22.0,2023-11-30,NIGERIA,MID,288948664.0748888,5.0,9.0,True,2023-11-30
MTN GROUP (SOUTH AFRICA),287992272.0888888,102.94,90,0.7333333333333333,535522820.0,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,287992272.0888888,1.6042228386342166,10.0,True,2023-11-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),271092738.2246518,364.29,90,0.7333333333333333,504098066.94666666,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,271092738.2246518,1.5100862217359907,11.0,True,2023-11-30
PPC (SOUTH AFRICA),265966399.55111107,336.0,90,0.7333333333333333,494565619.0,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,265966399.55111107,1.4815306305771778,12.0,True,2023-11-30
GOLD FIELDS (SOUTH AFRICA),258185788.57931846,284.81,90,0.7333333333333333,480097540.74666667,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,258185788.57931846,1.4381897668486359,13.0,True,2023-11-30
ANGLO AMERICAN (SOUTH AFRICA),256945471.85722956,511.61,90,0.7333333333333333,477791166.6766666,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,256945471.85722956,1.4312807466923563,14.0,True,2023-11-30
STANDARD BANK GROUP (SOUTH AFRICA),245190246.72429624,200.22,90,0.7333333333333333,455932276.96666664,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,245190246.72429624,1.3657998207815454,15.0,True,2023-11-30
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),237541103.4556917,106.3,90,0.7333333333333333,441708663.4506664,,,22.0,2023-11-30,EGYPT,MID,237541103.4556917,4.989174704767815,16.0,True,2023-11-30
ZENITH BANK NIGERIA (NIGERIA),234477952.02447405,34.05,90,0.7333333333333333,436012720.7066667,,,22.0,2023-11-30,NIGERIA,MID,234477952.02447405,4.924838059803315,17.0,True,2023-11-30
SIBANYE STILLWATER (SOUTH AFRICA),230158117.19999996,20.8,90,0.7333333333333333,427979970.0,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,230158117.19999996,1.2820653326257634,18.0,True,2023-11-30
AIRTEL AFRICA NIGERIA (NIGERIA),224545333.59149623,1800.0,90,0.7333333333333333,417542975.6866666,,,22.0,2023-11-30,NIGERIA,MID,224545333.59149623,4.716219139048125,19.0,True,2023-11-30
FIRST HOLDCO NIGERIA (NIGERIA),218595696.0950074,22.05,90,0.7333333333333333,406479600.1766667,,,22.0,2023-11-30,NIGERIA,MID,218595696.0950074,4.591256425361156,20.0,True,2023-11-30
ABSA (SOUTH AFRICA),210214368.38518515,173.76,90,0.7333333333333333,390894486.6666667,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,210214368.38518515,1.1709713192182267,21.0,True,2023-11-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),207188873.6296296,76.63,90,0.7333333333333333,385268566.6666667,,,22.0,2023-11-30,SOUTH AFRICA,HIGH,207188873.6296296,1.1541182010778477,22.0,True,2023-11-30
