Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
NATION MEDIA GROUP KENYA (KENYA),True,True,1,OK,OK,NON_MATERIAL,None,
NATIONAL BANK OF MALAWI (MALAWI),True,True,15,OK,OK,MATERIAL,None,
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),True,True,5,OK,OK,MATERIAL,None,
NBS BANK MALAWI (MALAWI),True,True,14,OK,OK,MATERIAL,None,
NCBA GROUP KENYA (KENYA),True,True,16,OK,OK,NON_MATERIAL,None,NCBA GROUP KENYA (KENYA)
NEDBANK GROUP LIMITED (SOUTH AFRICA),False,True,11,Missing Price,OK,NON_MATERIAL,None,
NEDBANK LIMITED (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
NESTLE NIGERIA (NIGERIA),True,True,14,OK,OK,MATERIAL,None,NESTLE NIGERIA (NIGERIA)
NETCARE LIMITED (SOUTH AFRICA),False,True,19,Missing Price,OK,NON_MATERIAL,None,
NETCARE LTD (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
NEW MAURITIUS HOTELS (MAURITIUS),True,True,7,OK,OK,NON_MATERIAL,None,
NICO HOLDINGS MALAWI (MALAWI),True,True,18,OK,OK,MATERIAL,None,
NIGERIAN BREWERIES (NIGERIA),True,True,15,OK,OK,MATERIAL,None,NIGERIAN BREWERIES (NIGERIA)
NINETY ONE (SOUTH AFRICA),True,True,11,OK,OK,NON_MATERIAL,None,NINETY ONE (SOUTH AFRICA)
NMB BANK TANZANIA (TANZANIA),True,True,9,OK,OK,MATERIAL,None,
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),True,True,6,OK,OK,MATERIAL,None,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA)
OANDO PLC NIGERIA (NIGERIA),True,True,0,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/nigeria/OANDO PLC NIGERIA.csv,OANDO PLC NIGERIA (NIGERIA)
OKOMU OIL PALM NIGERIA (NIGERIA),True,True,18,OK,OK,MATERIAL,None,OKOMU OIL PALM NIGERIA (NIGERIA)
OLD MUTUAL (SOUTH AFRICA),True,True,21,OK,OK,MATERIAL,None,OLD MUTUAL (SOUTH AFRICA)
OMNIA HOLDINGS (SOUTH AFRICA),False,True,4,Missing Price,OK,NON_MATERIAL,None,
OMNIA HOLDINGS LTD (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
ONE TECH HOLDING TUNISIA (TUNISIA),True,True,9,OK,OK,NON_MATERIAL,None,
ORAGROUP TOGO (TOGO),True,True,1,OK,OK,NON_MATERIAL,None,ORAGROUP TOGO (TOGO)
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),True,True,2,OK,OK,MATERIAL,None,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT)
ORIENTAL WEAVERS CARPETS COMPANY (EGYPT),False,True,10,Missing Price,OK,NON_MATERIAL,None,
OUTSURANCE (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,OUTSURANCE (SOUTH AFRICA)
PADENGA HOLDINGS (ZIMBABWE),True,True,9,OK,OK,NON_MATERIAL,None,
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),True,True,2,OK,OK,MATERIAL,None,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT)
PEPKOR HOLDINGS LTD (SOUTH AFRICA),True,True,6,OK,OK,MATERIAL,None,
PFUMA REIT (ZIMBABWE),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
PICK N PAY STORES (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
PICK N PAY STORES LTD (SOUTH AFRICA),False,True,11,Missing Price,OK,NON_MATERIAL,None,
POULINA GROUP HOLDING TUNISIA (TUNISIA),True,True,10,OK,OK,NON_MATERIAL,None,
PPC (SOUTH AFRICA),True,True,3,OK,OK,MATERIAL,None,PPC (SOUTH AFRICA)
PRECISION AIR SERVICES TANZANIA (TANZANIA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
PRESCO PLC NIGERIA (NIGERIA),True,True,14,OK,OK,MATERIAL,None,PRESCO PLC NIGERIA (NIGERIA)
PROSUS (SOUTH AFRICA),True,True,6,OK,OK,MATERIAL,None,PROSUS (SOUTH AFRICA)
PSG KONSULT (SOUTH AFRICA),True,True,20,OK,OK,NON_MATERIAL,None,PSG KONSULT (SOUTH AFRICA)
PUMA ENERGY ZAMBIA (ZAMBIA),True,True,5,OK,OK,NON_MATERIAL,None,
QATAR NATIONAL BANK ALAHLY (EGYPT),True,True,8,OK,OK,NON_MATERIAL,None,
QNB ALAHLI (EGYPT),False,True,8,Missing Price,OK,NON_MATERIAL,None,
QUILTER (SOUTH AFRICA),True,True,17,OK,OK,MATERIAL,None,QUILTER (SOUTH AFRICA)
RAUBEX (SOUTH AFRICA),True,True,19,OK,OK,NON_MATERIAL,None,RAUBEX (SOUTH AFRICA)
RAYA HOLDING EGYPT (EGYPT),True,True,9,OK,OK,MATERIAL,None,RAYA HOLDING EGYPT (EGYPT)
REAL ESTATE INVESTMENTS ZAMBIA (ZAMBIA),True,True,1,OK,OK,NON_MATERIAL,None,
REDEFINE PROPERTIES (SOUTH AFRICA),True,True,14,OK,OK,MATERIAL,None,
REINET INVEST (SOUTH AFRICA),True,True,8,OK,OK,MATERIAL,None,REINET INVEST (SOUTH AFRICA)
REMGRO (SOUTH AFRICA),True,True,23,OK,OK,MATERIAL,None,REMGRO (SOUTH AFRICA)
REPUBLIC BANK (GHANA),True,True,1,OK,OK,NON_MATERIAL,None,
REUNERT LTD (SOUTH AFRICA),False,True,20,Missing Price,OK,NON_MATERIAL,None,
SAFARICOM KENYA (KENYA),True,True,11,OK,OK,MATERIAL,None,SAFARICOM KENYA (KENYA)
SANLAM (SOUTH AFRICA),True,True,10,OK,OK,MATERIAL,None,SANLAM (SOUTH AFRICA)
SANTAM (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,SANTAM (SOUTH AFRICA)
SASINI KENYA (KENYA),True,True,5,OK,OK,NON_MATERIAL,None,
SASOL LTD (SOUTH AFRICA),False,True,11,Missing Price,OK,NON_MATERIAL,None,
SBM HOLDINGS MAURITIUS (MAURITIUS),True,True,9,OK,OK,NON_MATERIAL,None,
SBN HOLDINGS (NAMIBIA),True,True,3,OK,OK,NON_MATERIAL,None,
SCANGROUP KENYA (KENYA),True,True,5,OK,OK,NON_MATERIAL,None,
SEED CO INTERNATIONAL LIMITED (BOTSWANA),False,True,5,Missing Price,OK,NON_MATERIAL,None,
SEPLAT ENERGY NIGERIA (NIGERIA),True,True,19,OK,OK,MATERIAL,None,SEPLAT ENERGY NIGERIA (NIGERIA)
SHOPRITE HOLDINGS (SOUTH AFRICA),True,True,21,OK,OK,MATERIAL,None,SHOPRITE HOLDINGS (SOUTH AFRICA)
SHOPRITE HOLDINGS ZAMBIA (ZAMBIA),True,True,21,OK,OK,NON_MATERIAL,None,
SIBANYE STILLWATER (SOUTH AFRICA),True,True,11,OK,OK,MATERIAL,None,SIBANYE STILLWATER (SOUTH AFRICA)
SIC INSURANCE (GHANA),True,True,5,OK,OK,NON_MATERIAL,None,
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),True,True,8,OK,OK,NON_MATERIAL,None,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT)
SIMBISA BRANDS (ZIMBABWE),True,True,12,OK,OK,NON_MATERIAL,None,
SOCIETE FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),True,True,1,OK,OK,NON_MATERIAL,None,
SOCIETE GENERALE GHANA (GHANA),True,True,8,OK,OK,NON_MATERIAL,None,
SOCIT DE FABRICATION DES BOISSONS DE TUNISIE SOCIT ANONYME (TUNISIA),True,False,0,Missing Dividend,,,,
SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME (TUNISIA),False,True,10,Missing Price,,,,
SONATEL SENEGAL (SENEGAL),True,True,10,OK,OK,MATERIAL,None,SONATEL SENEGAL (SENEGAL)
SPAR (SOUTH AFRICA),True,True,14,OK,OK,MATERIAL,None,SPAR (SOUTH AFRICA)
STANBIC BANK UGANDA (UGANDA),True,True,3,OK,OK,MATERIAL,None,
STANBIC HOLDINGS KENYA (KENYA),True,True,17,OK,OK,NON_MATERIAL,None,STANBIC HOLDINGS KENYA (KENYA)
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),True,True,19,OK,OK,MATERIAL,None,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA)
STANDARD BANK GROUP (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,STANDARD BANK GROUP (SOUTH AFRICA)
STANDARD BANK MALAWI (MALAWI),True,True,14,OK,OK,NON_MATERIAL,None,
STANDARD CHARTERED BANK GHANA (GHANA),True,True,3,OK,OK,NON_MATERIAL,None,
STANDARD CHARTERED BANK KENYA (KENYA),True,True,10,OK,OK,NON_MATERIAL,None,
STANDARD CHARTERED BANK ZAMBIA (ZAMBIA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
STARAFRICACORPORATION (ZIMBABWE),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
STE NATIONALE DE SIDERURGIE SA (MOROCCO),False,True,6,Missing Price,OK,NON_MATERIAL,None,
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),True,True,7,OK,OK,MATERIAL,None,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA)
SUEZ CANAL BANK (EGYPT),True,True,0,Zero Dividend,ZERO_CONFIRMED,NON_MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/SUEZ CANAL BANK.csv,
SUN INTERNATIONAL LIMITED (SOUTH AFRICA),False,True,10,Missing Price,OK,NON_MATERIAL,None,
SUN INTERNATIONAL LTD (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
SUN RESORTS LIMITED MAURITIUS (MAURITIUS),True,True,9,OK,OK,NON_MATERIAL,None,
SWISSPORT TANZANIA (TANZANIA),True,True,4,OK,OK,NON_MATERIAL,None,
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),True,True,9,OK,OK,MATERIAL,None,TALAAT MOUSTAFA GROUP EGYPT (EGYPT)
TANGA CEMENT TANZANIA (TANZANIA),True,True,3,OK,OK,NON_MATERIAL,None,
TANZANIA BREWERIES LTD (TANZANIA),True,True,8,OK,OK,MATERIAL,None,
TANZANIA CIGARETTE COMPANY (TANZANIA),True,True,9,OK,OK,MATERIAL,None,
TANZANIA PORTLAND CEMENT (TANZANIA),True,True,8,OK,OK,NON_MATERIAL,None,
TANZANIA TEA PACKERS (TANZANIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
TAQA MOROCCO (MOROCCO),True,True,9,OK,OK,NON_MATERIAL,None,
TELECOM EGYPT (EGYPT),True,True,10,OK,OK,MATERIAL,None,TELECOM EGYPT (EGYPT)
TELEKOM NETWORKS MALAWI (MALAWI),True,True,8,OK,OK,NON_MATERIAL,None,
THUNGELA RESOURSES (SOUTH AFRICA),True,True,2,OK,OK,MATERIAL,None,
TIGER BRANDS (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,TIGER BRANDS (SOUTH AFRICA)
TIGERE PROPERTY FUND (ZIMBABWE),True,True,4,OK,OK,NON_MATERIAL,None,
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),True,True,1,OK,OK,NON_MATERIAL,None,
TOL GASES TANZANIA (TANZANIA),True,True,4,OK,OK,NON_MATERIAL,None,
TOTALENERGIES MARKETING KENYA (KENYA),True,True,10,OK,OK,NON_MATERIAL,None,
TOTALENERGIES MARKETING NIGERIA (NIGERIA),True,True,2,OK,OK,NON_MATERIAL,None,
TOTALENERGIES MARKETING SENEGAL (SENEGAL),True,True,10,OK,OK,NON_MATERIAL,None,
TRANSCORP HOTELS NIGERIA (NIGERIA),True,True,9,OK,OK,NON_MATERIAL,None,
TRANSCORP PLC NIGERIA (NIGERIA),True,True,12,OK,OK,MATERIAL,None,TRANSCORP PLC NIGERIA (NIGERIA)
TRANSCORP POWER NIGERIA (NIGERIA),True,True,5,OK,OK,MATERIAL,None,TRANSCORP POWER NIGERIA (NIGERIA)
TRANSPACO (SOUTH AFRICA),True,True,5,OK,OK,NON_MATERIAL,None,
TRUWORTHS INT (SOUTH AFRICA),True,True,21,OK,OK,MATERIAL,None,
TRUWORTHS INTERNATIONAL LTD (SOUTH AFRICA),False,True,21,Missing Price,OK,NON_MATERIAL,None,
TSL (ZIMBABWE),True,True,7,OK,OK,NON_MATERIAL,None,
TSOGO SUN GAMING (SOUTH AFRICA),True,True,16,OK,OK,NON_MATERIAL,None,
UCHUMI SUPERMARKETS KENYA (KENYA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
UMEME UGANDA (UGANDA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
UNILEVER NIGERIA (NIGERIA),True,True,10,OK,OK,MATERIAL,None,UNILEVER NIGERIA (NIGERIA)
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),True,True,20,OK,OK,MATERIAL,None,UNITED BANK FOR AFRICA NIGERIA (NIGERIA)
UPDC PLC NIGERIA (NIGERIA),True,True,1,OK,OK,NON_MATERIAL,None,
VODACOM (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,VODACOM (SOUTH AFRICA)
VODACOM TANZANIA (TANZANIA),True,True,8,OK,OK,NON_MATERIAL,None,
WEMA BANK NIGERIA (NIGERIA),True,True,7,OK,OK,MATERIAL,None,WEMA BANK NIGERIA (NIGERIA)
WILLIAMSON TEA KENYA (KENYA),True,True,7,OK,OK,NON_MATERIAL,None,
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),True,True,13,OK,OK,NON_MATERIAL,None,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA)
WOOLWORTHS HOLDINGS (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,WOOLWORTHS HOLDINGS (SOUTH AFRICA)
ZAMBEEF PRODUCTS (ZAMBIA),True,True,0,Zero Dividend,ZERO_CONFIRMED,NON_MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/zambia/ZAMBEEF PRODUCTS.csv,
ZAMBIA BATA SHOE (ZAMBIA),True,True,12,OK,OK,NON_MATERIAL,None,
ZAMBIA NATIONAL COMMERCIAL BANK (ZAMBIA),True,True,9,OK,OK,NON_MATERIAL,None,
ZAMBIA SUGAR (ZAMBIA),True,True,7,OK,OK,NON_MATERIAL,None,
ZAMBIAN BREWERIES (ZAMBIA),True,True,5,OK,OK,NON_MATERIAL,None,
ZCCM INVESTMENTS HOLDINGS ZAMBIA (ZAMBIA),True,True,6,OK,OK,NON_MATERIAL,None,
ZENITH BANK NIGERIA (NIGERIA),True,True,20,OK,OK,MATERIAL,None,ZENITH BANK NIGERIA (NIGERIA)
ZIMBABWE STOCK EXCHANGE HOLDINGS (ZIMBABWE),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
