Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),True,True,41,OK,OK,MATERIAL,None,BRITISH AMERICAN TOBACCO (SOUTH AFRICA)
BRITISH AMERICAN TOBACCO KENYA (KENYA),True,True,1,OK,OK,NON_MATERIAL,None,
BRITISH AMERICAN TOBACCO UGANDA (UGANDA),True,True,10,OK,OK,NON_MATERIAL,None,
BRITISH AMERICAN TOBACCO ZAMBIA (ZAMBIA),True,True,6,OK,OK,NON_MATERIAL,None,
BUA CEMENT NIGERIA (NIGERIA),True,True,7,OK,OK,MATERIAL,None,BUA CEMENT NIGERIA (NIGERIA)
BUA FOODS NIGERIA (NIGERIA),True,True,4,OK,OK,MATERIAL,None,BUA FOODS NIGERIA (NIGERIA)
CADBURY NIGERIA (NIGERIA),True,True,7,OK,OK,MATERIAL,None,CADBURY NIGERIA (NIGERIA)
CALBANK PLC GHANA (GHANA),True,True,6,OK,OK,NON_MATERIAL,None,
CAMELOT GHANA LIMITED (GHANA),True,True,5,OK,OK,NON_MATERIAL,None,
CAP PLC NIGERIA (NIGERIA),True,True,10,OK,OK,NON_MATERIAL,None,CAP PLC NIGERIA (NIGERIA)
CAPITEC BANK (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,CAPITEC BANK (SOUTH AFRICA)
CAPRICORN INVESTMENT (NAMIBIA),True,True,10,OK,OK,NON_MATERIAL,None,
CARBACID INVESTMENTS KENYA (KENYA),True,True,11,OK,OK,NON_MATERIAL,None,
CEC AFRICA INVESTMENT ZAMBIA (ZAMBIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
CEIL MAURITIUS (MAURITIUS),True,True,10,OK,OK,NON_MATERIAL,None,
CENTUM INVESTMENT KENYA (KENYA),True,True,6,OK,OK,NON_MATERIAL,None,
CENTUM INVESTMENT UG (UGANDA),True,True,10,OK,OK,NON_MATERIAL,None,
CHILANGA CEMENT ZAMBIA (ZAMBIA),True,True,12,OK,OK,NON_MATERIAL,None,
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),True,True,7,OK,OK,MATERIAL,None,
CI CAPITAL HOLDINGS (EGYPT),False,True,4,Missing Price,OK,NON_MATERIAL,None,
