Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
ABU QIR FERTILIZERS EGYPT (EGYPT),842724246.0294,1230.0,90,0.7,1719845400.0600002,,,21.0,2024-03-31,EGYPT,MID,842724246.0294,5.0,1.0,True,2024-03-31
NASPERS (SOUTH AFRICA),602910504.0,671.51,90,0.6,1674751400.0,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,602910504.0,4.649904121966208,2.0,True,2024-03-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),479808199.6811745,52.5,90,0.6333333333333333,1196197727.7370002,,,19.0,2024-03-31,NIGERIA,MID,479808199.6811745,5.0,3.0,True,2024-03-31
EASTERN TOBACCO EGYPT (EGYPT),469877672.6583333,507.2,90,0.7,958934025.8333334,,,21.0,2024-03-31,EGYPT,MID,469877672.6583333,5.0,4.0,True,2024-03-31
GRINDROD (SOUTH AFRICA),377822591.28,1298.0,90,0.6,1049507198.0,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,377822591.28,2.913929700857933,5.0,True,2024-03-31
ANGLO AMERICAN (SOUTH AFRICA),340928903.148,465.16,90,0.6,947024730.9666667,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,340928903.148,2.629389770998754,6.0,True,2024-03-31
ZENITH BANK NIGERIA (NIGERIA),331439072.1258685,44.5,90,0.6333333333333333,826302395.8816667,,,19.0,2024-03-31,NIGERIA,MID,331439072.1258685,5.0,7.0,True,2024-03-31
FIRST HOLDCO NIGERIA (NIGERIA),319962009.770037,35.55,90,0.6333333333333333,797689221.0333333,,,19.0,2024-03-31,NIGERIA,MID,319962009.770037,5.0,8.0,True,2024-03-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),304584581.40355927,28.0,90,0.6333333333333333,759352142.0033333,,,19.0,2024-03-31,NIGERIA,MID,304584581.40355927,5.0,9.0,True,2024-03-31
FIRSTRAND (SOUTH AFRICA),297779328.0,61.73,90,0.6,827164800.0,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,297779328.0,2.2966017601569724,10.0,True,2024-03-31
GOLD FIELDS (SOUTH AFRICA),239443464.0,303.9,90,0.6,665120733.3333334,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,239443464.0,1.8466905831706446,11.0,True,2024-03-31
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),237334188.1694,73.3,90,0.7,484355486.06000006,,,21.0,2024-03-31,EGYPT,MID,237334188.1694,5.0,12.0,True,2024-03-31
FAWRY EGYPT (EGYPT),221475430.07837325,28.24,90,0.7,451990673.62933326,,,21.0,2024-03-31,EGYPT,MID,221475430.07837325,5.0,13.0,True,2024-03-31
TIGERE PROPERTY FUND (ZIMBABWE),218071882.1494711,969.23,90,0.6333333333333333,543669512.284,,,19.0,2024-03-31,ZIMBABWE,LOW,218071882.1494711,5.0,14.0,True,2024-03-31
STANDARD BANK GROUP (SOUTH AFRICA),218028957.6,185.24,90,0.6,605635993.3333334,,,18.0,2024-03-31,SOUTH AFRICA,HIGH,218028957.6,1.6815327348356093,15.0,True,2024-03-31
MTN NIGERIA (NIGERIA),217958688.71264446,232.0,90,0.6333333333333333,543387312.58,,,19.0,2024-03-31,NIGERIA,MID,217958688.71264446,4.926079257305025,16.0,True,2024-03-31
TANZANIA BREWERIES LTD (TANZANIA),215740365.40740737,10900.0,90,0.6333333333333333,537856866.6666666,,,19.0,2024-03-31,TANZANIA,LOW,215740365.40740737,5.0,17.0,True,2024-03-31
