Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1047227098.3999999,380.02,90,0.7,2137198160.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,1047227098.3999999,5.0,1.0,True,2022-10-31
GRINDROD (SOUTH AFRICA),561450591.3741665,981.0,90,0.7,1145817533.4166665,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,561450591.3741665,2.9066431687574203,2.0,True,2022-10-31
PROSUS (SOUTH AFRICA),489510788.8999999,364.63,90,0.7,999001610.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,489510788.8999999,2.5342090870486307,3.0,True,2022-10-31
BLUE LABEL TELECOMS (SOUTH AFRICA),482844530.97999996,516.0,90,0.7,985397002.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,482844530.97999996,2.4996977100155804,4.0,True,2022-10-31
ANGLO AMERICAN (SOUTH AFRICA),344091608.9006666,556.89,90,0.7,702227773.2666667,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,344091608.9006666,1.781370506690487,5.0,True,2022-10-31
FIRSTRAND (SOUTH AFRICA),343836735.43333334,64.35,90,0.7,701707623.3333334,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,343836735.43333334,1.7800510206411295,6.0,True,2022-10-31
PPC (SOUTH AFRICA),326387713.5866666,205.0,90,0.7,666097374.6666666,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,326387713.5866666,1.6897170163114181,7.0,True,2022-10-31
MTN GROUP (SOUTH AFRICA),325632536.3666666,129.84,90,0.7,664556196.6666666,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,325632536.3666666,1.685807445742899,8.0,True,2022-10-31
STANDARD BANK GROUP (SOUTH AFRICA),289014107.9,171.65,90,0.7,589824710.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,289014107.9,1.4962329638766283,9.0,True,2022-10-31
ABSA (SOUTH AFRICA),259099375.96666664,199.74,90,0.7,528774236.6666667,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,259099375.96666664,1.3413636796419879,10.0,True,2022-10-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),254833321.6333333,188.1,90,0.7,520068003.3333333,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,254833321.6333333,1.3192782141067532,11.0,True,2022-10-31
ABU QIR FERTILIZERS EGYPT (EGYPT),233884796.17766663,540.0,90,0.7,477315910.56666666,,,21.0,2022-10-31,EGYPT,MID,233884796.17766663,5.0,12.0,True,2022-10-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),212526934.6886,723.0,90,0.7,433728438.14000005,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,212526934.6886,1.1002570348668388,13.0,True,2022-10-31
GOLD FIELDS (SOUTH AFRICA),209967732.56666663,148.49,90,0.7,428505576.6666666,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,209967732.56666663,1.087007984140967,14.0,True,2022-10-31
SIBANYE STILLWATER (SOUTH AFRICA),187558980.7,43.13,90,0.7,382773430.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,187558980.7,0.9709973386196776,15.0,True,2022-10-31
GLENCORE (SOUTH AFRICA),182185175.2,105.01,90,0.7,371806480.0,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,182185175.2,0.9431770187433083,16.0,True,2022-10-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),169250718.3537333,241.27,90,0.7,345409629.2933333,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,169250718.3537333,0.8762150256287017,17.0,True,2022-10-31
SHOPRITE HOLDINGS (SOUTH AFRICA),168513192.0705333,233.9,90,0.7,343904473.61333334,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,168513192.0705333,0.8723968343830651,18.0,True,2022-10-31
BHP (SOUTH AFRICA),163382632.12063333,439.3,90,0.7,333433943.10333335,,,21.0,2022-10-31,SOUTH AFRICA,HIGH,163382632.12063333,0.8458358025498314,19.0,True,2022-10-31
