Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),4975760999.999996,192.0,90,0.6666666666666666,11195462249.999992,11195462249.999992,2239092449.9999986,20.0,0,6,10914720000.0,60418957499.99977,2020-05-31,SOUTH AFRICA,HIGH,4975760999.999996,5.0,1.0,True,2020-05-31
NASPERS (SOUTH AFRICA),1639691461.11111,557.66,90,0.6666666666666666,3689305787.4999976,3689305787.4999976,737861157.4999995,20.0,0,6,1979797300.0,9669714124.999928,2020-05-31,SOUTH AFRICA,HIGH,1639691461.11111,5.0,2.0,True,2020-05-31
PROSUS (SOUTH AFRICA),501098667.6474074,651.5,90,0.6666666666666666,1127472002.2066667,1127472002.2066667,225494400.44133335,20.0,0,1,816952300.0,4890386177.000046,2020-05-31,SOUTH AFRICA,HIGH,501098667.6474074,2.955211792904454,3.0,True,2020-05-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),377272329.26814806,424.5,90,0.6666666666666666,848862740.8533332,848862740.8533332,169772548.17066666,20.0,0,6,263904800.0,1358133943.9999986,2020-05-31,SOUTH AFRICA,HIGH,377272329.26814806,2.2249503113312294,4.0,True,2020-05-31
ANGLO AMERICAN (SOUTH AFRICA),297585475.9303704,354.07,90,0.6666666666666666,669567320.8433334,669567320.8433334,133913464.16866668,20.0,0,6,514274850.0,2143362392.9999995,2020-05-31,SOUTH AFRICA,HIGH,297585475.9303704,1.754999892526785,5.0,True,2020-05-31
SIBANYE STILLWATER (SOUTH AFRICA),258030969.70370364,32.37,90,0.6666666666666666,580569681.8333333,580569681.8333333,116113936.36666666,20.0,0,6,175701600.0,1477243054.9999957,2020-05-31,SOUTH AFRICA,HIGH,258030969.70370364,1.5217285812851273,6.0,True,2020-05-31
FIRSTRAND (SOUTH AFRICA),244095749.6296296,39.31,90,0.6666666666666666,549215436.6666666,549215436.6666666,109843087.33333333,20.0,0,6,585884800.0,2349456129.999997,2020-05-31,SOUTH AFRICA,HIGH,244095749.6296296,1.4395461103299274,7.0,True,2020-05-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),244078740.9702,24.0,90,0.6,677996502.695,677996502.695,135599300.539,18.0,0,6,469505786.5,3772678448.511502,2020-05-31,NIGERIA,MID,244078740.9702,5.0,8.0,True,2020-05-31
GOLD FIELDS (SOUTH AFRICA),238226320.53333318,137.1,90,0.6666666666666666,536009221.1999997,536009221.1999997,107201844.23999995,20.0,0,6,132498300.0,917188667.9999948,2020-05-31,SOUTH AFRICA,HIGH,238226320.53333318,1.4049313583801246,9.0,True,2020-05-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),232445075.55555555,117.08,90,0.6666666666666666,523001420.0,523001420.0,104600284.0,20.0,0,6,171022000.0,1664224840.4999886,2020-05-31,SOUTH AFRICA,HIGH,232445075.55555555,1.3708366691720908,10.0,True,2020-05-31
