company,country,status,reason,flag_low_history,flag_illiquid,flag_missing_data,flag_outlier_return
TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
VODACOM TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
ORAGROUP TOGO (TOGO),TOGO,INCLUDED,passed filters,False,False,False,False
AMEN BANK TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
ATTIJARI BANK TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
BIAT TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
BANQUE DE TUNISIE TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
DELICE HOLDING TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
ONE TECH HOLDING TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
POULINA GROUP HOLDING TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
SOCIETE FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
SOCIT DE FABRICATION DES BOISSONS DE TUNISIE SOCIT ANONYME (TUNISIA),TUNISIA,INCLUDED,passed filters,False,False,False,False
AIRTEL UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
BANK OF BARODA UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
BRITISH AMERICAN TOBACCO UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
CENTUM INVESTMENT UG (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
EAST AFRICAN BREWERIES UG (UGANDA),UGANDA,EXCLUDED,derived volume invalid,,,,
JUBILEE HOLDINGS UG (UGANDA),UGANDA,EXCLUDED,derived volume invalid,,,,
MTN UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
STANBIC BANK UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
UMEME UGANDA (UGANDA),UGANDA,INCLUDED,passed filters,False,False,False,False
AIRTEL NETWORKS ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
BRITISH AMERICAN TOBACCO ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
CEC AFRICA INVESTMENT ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
COPPERBELT ENERGY CORP ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
CHILANGA CEMENT ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
DOT COM ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,True,False,False,False
KLAPTON RE REAL ESTATE ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,True,True,False,False
MADISON FINANCIAL SERVICES (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
PUMA ENERGY ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
REAL ESTATE INVESTMENTS ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
SHOPRITE HOLDINGS ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
STANDARD CHARTERED BANK ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZAMBEEF PRODUCTS (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZAMBIA BATA SHOE (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZCCM INVESTMENTS HOLDINGS ZAMBIA (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZAMBIA NATIONAL COMMERCIAL BANK (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZAMBIA SUGAR (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
ZAMBIAN BREWERIES (ZAMBIA),ZAMBIA,INCLUDED,passed filters,False,False,False,False
DELTA CORPORATION LIMITED (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
FIRST CAPITAL BANK (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
HIPPO VALLEY ESTATES (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
INNSCOR AFRICA (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
KAVANGO RESOURCES (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,True,False,False,False
PADENGA HOLDINGS (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
PFUMA REIT (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,True,False,False,False
SIMBISA BRANDS (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
STARAFRICACORPORATION (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
TIGERE PROPERTY FUND (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
TSL (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,False,False,False,False
ZIMBABWE STOCK EXCHANGE HOLDINGS (ZIMBABWE),ZIMBABWE,INCLUDED,passed filters,True,False,False,False
