Target Return,Expected Return,Expected Volatility,Sharpe,Weight AM100,Weight AM200,Weight AM300
0.1749980553091613,0.17499805531271864,0.10900014305679954,1.4219986411572851,0.9999999979896812,0.0,2.0103189009301747e-09
0.1771616543016541,0.17716165441694787,0.10570539786404398,1.4867892992473841,0.9583333311130015,0.04166666888699855,5.551115123125783e-17
0.1793252532941469,0.1793252534035406,0.10249935946236399,1.5544024298224237,0.9166666645599586,0.08333333544004146,0.0
0.1814888522866397,0.18148885296054393,0.09939061144643134,1.62478981274385,0.8749999870219285,0.12500001297807156,1.6653345369377348e-16
0.18365245127913246,0.18365245137704134,0.09638857026972343,1.6978408427378255,0.8333333314478015,0.16666666855219855,0.0
0.18581605027162526,0.18581604985558692,0.09350351243957647,1.773367069635379,0.7916666746787482,0.20833332532125187,0.0
0.18797964926411806,0.18797964887252563,0.09074659563517164,1.8510848555449275,0.7500000075413015,0.24999999245869853,1.1102230246251565e-16
0.19014324825661086,0.1901432487876896,0.08812984611580195,1.9305973661195626,0.7083333231058009,0.2916666768941993,0.0
0.19230684724910366,0.19230684690505803,0.08566611271667207,2.0113769779065067,0.66666667329231,0.3333333267076901,0.0
0.19447044624159643,0.1944704462611881,0.0837843987618616,2.08237391255956,0.31781468656389117,0.3641624104241976,0.31802290301191116
0.19663404523408923,0.19663404528203943,0.08161960702820913,2.1641129100387815,0.2955381240785945,0.4065131663458317,0.2979487095755738
0.19879764422658203,0.19879764430289074,0.0796510684812436,2.2447614038598163,0.27326156159329784,0.4488639222674657,0.2778745161392364
0.20096124321907483,0.2009612433237421,0.07789366374860064,2.32318310135968,0.2509849991080012,0.4912146781890998,0.257800322702899
0.20312484221156762,0.2031248423445934,0.07636197140834036,2.3981156977384197,0.22870843662270451,0.5335654341107339,0.23772612926656161
0.20528844120406042,0.20528844136544475,0.07506980875004375,2.468215177987073,0.20643187413740788,0.5759161900323678,0.21765193583022424
0.20745204019655322,0.20745204038629605,0.07402971955491881,2.5321187424901037,0.1841553116521112,0.6182669459540019,0.1975777423938868
0.209615639189046,0.2096156394071474,0.07325244195385938,2.5885231174488825,0.1618787491668149,0.6606177018756353,0.17750354895754974
0.2117792381815388,0.2117792384279987,0.0727464006686171,2.6362711648321118,0.13960218668151814,0.7029684577972695,0.15742935552121232
0.2139428371740316,0.21394283744885007,0.07251727415923902,2.674436397360654,0.11732562419622156,0.7453192137189035,0.13735516208487494
0.2161064361665244,0.21610643646970137,0.07256768548014554,2.702393429970368,0.09504906171092492,0.7876699696405375,0.11728096864853757
0.21827003515901716,0.21827003549055268,0.07289705469781506,2.7198634610472876,0.0727724992256284,0.8300207255621712,0.09720677521220034
0.22043363415150996,0.22043363451140402,0.07350163178119912,2.7269276838377987,0.050495936740331815,0.8723714814838051,0.07713258177586302
0.22259723314400276,0.22259723353225533,0.07437470570424833,2.7240071959126135,0.02821937425503518,0.9147222374054391,0.057058388339525534
0.22476083213649556,0.2247608325531067,0.07550696329412239,2.711813899275773,0.0059428117697383764,0.9570729933270734,0.036984194903188106
0.22692443112898836,0.22692443112898839,0.07689211799960802,2.6911006812173293,0.0,1.0,1.7976749646167467e-16
