Date,High Risk
2016-12-02,1000.8613169781369
2016-12-04,1003.3156107084833
2016-12-05,1005.200529546085
2016-12-06,1000.4224161465725
2016-12-07,990.2371548897586
2016-12-08,991.9288155332789
2016-12-09,999.4260807688814
2016-12-12,1002.2961672505031
2016-12-13,1006.5959327479969
2016-12-14,1007.0192011483509
2016-12-15,1008.7118090079285
2016-12-16,1012.475151014637
2016-12-18,1012.5175705801994
2016-12-19,1017.7412061428607
2016-12-20,1021.4059886192592
2016-12-21,1025.5986462083472
2016-12-22,1028.8442733676065
2016-12-23,1029.0069175468407
2016-12-25,1032.644938471404
2016-12-26,1031.5551081566339
2016-12-27,1037.5187099389586
2016-12-28,1041.7936241934294
2016-12-29,1044.18805152044
2016-12-30,1046.6945552444358
2017-01-03,1046.6945552444358
2017-01-04,1044.805013257042
2017-01-05,1047.7775789261163
2017-01-06,1046.1169697600963
2017-01-08,1045.5093365166686
2017-01-09,1046.3052111940244
2017-01-10,1043.4857691474153
2017-01-11,1042.3883976616921
2017-01-12,1039.9492567670043
2017-01-13,1036.495937283585
2017-01-15,1036.6784744207523
2017-01-16,1032.7077978431576
2017-01-17,1033.4894336201633
2017-01-18,1036.3886212682517
2017-01-19,1026.232585436538
2017-01-20,1024.9503311977805
2017-01-22,1025.0801697386864
2017-01-23,1023.9403928087643
2017-01-24,1018.0480517404667
2017-01-25,1014.1882862832747
2017-01-26,1012.252089846418
2017-01-27,1008.1310244798194
2017-01-29,1008.5112819615814
2017-01-30,1006.839545718861
2017-01-31,1003.2537607088983
2017-02-01,1003.2537607088983
2017-02-02,999.0270434499895
2017-02-03,990.4572102607544
2017-02-05,991.1165360271365
2017-02-06,992.4920698476601
2017-02-07,991.3361623467619
2017-02-08,990.0401360423897
2017-02-09,987.6087231260897
2017-02-10,989.0145305872077
2017-02-12,988.4928774764721
2017-02-13,991.0365234061275
2017-02-14,992.5555864745037
2017-02-15,994.7391033428835
2017-02-16,1002.9564075935431
2017-02-17,1003.8800732982832
2017-02-19,1004.3013167035955
2017-02-20,1004.0579217053229
2017-02-21,1012.815433484043
2017-02-22,1010.9794207550877
2017-02-23,1007.6844815755293
2017-02-24,1010.1908865200029
2017-02-26,1009.2279676669642
2017-02-27,1005.6596409012686
2017-02-28,1006.772003810597
2017-03-01,1006.772003810597
2017-03-02,1009.5069274783972
2017-03-03,1010.8328544966976
2017-03-05,1012.3837236255806
2017-03-06,1013.8595670187283
2017-03-07,1008.5050747607671
2017-03-08,1008.5075315136636
2017-03-09,1010.6499143985585
2017-03-10,1010.6098774664849
2017-03-12,1010.7508568027877
2017-03-13,1004.4639691619681
2017-03-14,1001.5000220223917
2017-03-15,1003.3099879410013
2017-03-16,1005.3038055215931
2017-03-17,1009.7659378535398
2017-03-19,1011.1738689384266
2017-03-20,1007.1614107273281
2017-03-21,1010.6376855032858
2017-03-22,1009.9356530676504
2017-03-23,1014.0133435704308
2017-03-24,1011.921474378695
2017-03-26,1012.4033797555612
2017-03-27,1023.2100056792723
2017-03-28,1026.1483385814427
2017-03-29,1019.1196933717117
2017-03-30,1009.3505739972081
2017-03-31,1000.6074473257403
2017-04-03,1000.6074473257403
2017-04-04,1008.8028803115639
2017-04-05,1009.2329251906174
