Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
BLUE LABEL TELECOMS (SOUTH AFRICA),1689259534.6666665,1235.0,90,0.6666666666666666,3800833953.0,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,1689259534.6666665,5.0,1.0,True,2025-08-31
GRINDROD (SOUTH AFRICA),926200470.3703703,1535.0,90,0.6666666666666666,2083951058.3333333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,926200470.3703703,4.020876517550899,2.0,True,2025-08-31
NASPERS (SOUTH AFRICA),804520875.24,1161.73,90,0.6666666666666666,1810171969.2900002,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,804520875.24,3.4926338288712433,3.0,True,2025-08-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),725907239.6118518,92.0,90,0.6666666666666666,1633291289.1266668,,,20.0,2025-08-31,NIGERIA,MID,725907239.6118518,5.0,4.0,True,2025-08-31
ZENITH BANK NIGERIA (NIGERIA),601619315.4725925,66.0,90,0.6666666666666666,1353643459.813333,,,20.0,2025-08-31,NIGERIA,MID,601619315.4725925,5.0,5.0,True,2025-08-31
ARADEL HOLDINGS NIGERIA (NIGERIA),480836670.2237037,510.0,90,0.6666666666666666,1081882508.0033333,,,20.0,2025-08-31,NIGERIA,MID,480836670.2237037,5.0,6.0,True,2025-08-31
MTN NIGERIA (NIGERIA),469887291.0696296,435.0,90,0.6666666666666666,1057246404.9066666,,,20.0,2025-08-31,NIGERIA,MID,469887291.0696296,5.0,7.0,True,2025-08-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),458212033.4688889,48.65,90,0.6666666666666666,1030977075.3050001,,,20.0,2025-08-31,NIGERIA,MID,458212033.4688889,5.0,8.0,True,2025-08-31
MTN GROUP (SOUTH AFRICA),436734659.2592592,149.8,90,0.6666666666666666,982652983.3333334,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,436734659.2592592,1.8959784539020315,9.0,True,2025-08-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),427748660.0634073,985.0,90,0.6666666666666666,962434485.1426665,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,427748660.0634073,1.8569679002376784,10.0,True,2025-08-31
GOLD FIELDS (SOUTH AFRICA),421065274.07407403,579.71,90,0.6666666666666666,947396866.6666666,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,421065274.07407403,1.8279535878485984,11.0,True,2025-08-31
SIBANYE STILLWATER (SOUTH AFRICA),407635679.7037037,33.34,90,0.6666666666666666,917180279.3333334,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,407635679.7037037,1.7696522347706165,12.0,True,2025-08-31
DANGOTE CEMENT NIGERIA (NIGERIA),375153043.1125926,520.2,90,0.6666666666666666,844094347.0033333,,,20.0,2025-08-31,NIGERIA,MID,375153043.1125926,4.602126942244249,13.0,True,2025-08-31
FIDELITY BANK NIGERIA (NIGERIA),361441249.034074,21.3,90,0.6666666666666666,813242810.3266666,,,20.0,2025-08-31,NIGERIA,MID,361441249.034074,4.433919811544481,14.0,True,2025-08-31
FIRSTRAND (SOUTH AFRICA),351183364.4444444,74.41,90,0.6666666666666666,790162570.0,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,351183364.4444444,1.5245780893250116,15.0,True,2025-08-31
PPC (SOUTH AFRICA),341667985.6296296,509.0,90,0.6666666666666666,768752967.6666666,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,341667985.6296296,1.4832693614026529,16.0,True,2025-08-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),336317658.1718518,997.5,90,0.6666666666666666,756714730.8866667,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,336317658.1718518,1.4600422019221746,17.0,True,2025-08-31
NIGERIAN BREWERIES (NIGERIA),331288287.0007407,70.2,90,0.6666666666666666,745398645.7516667,,,20.0,2025-08-31,NIGERIA,MID,331288287.0007407,4.064023414568105,18.0,True,2025-08-31
PROSUS (SOUTH AFRICA),312973032.3896296,1092.21,90,0.6666666666666666,704189322.8766667,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,312973032.3896296,1.3586971253198972,19.0,True,2025-08-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),263022888.88888887,159.46,90,0.6666666666666666,591801500.0,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,263022888.88888887,1.1418505942766635,20.0,True,2025-08-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),246985722.1985185,235.16,90,0.6666666666666666,555717874.9466667,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,246985722.1985185,1.072229093299047,21.0,True,2025-08-31
FIRST HOLDCO NIGERIA (NIGERIA),243418013.85851848,32.5,90,0.6666666666666666,547690531.1816666,,,20.0,2025-08-31,NIGERIA,MID,243418013.85851848,2.9860895982913838,22.0,True,2025-08-31
CAPITEC BANK (SOUTH AFRICA),224801962.05037037,3568.67,90,0.6666666666666666,505804414.61333334,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,224801962.05037037,0.9759236355669842,23.0,True,2025-08-31
STANDARD BANK GROUP (SOUTH AFRICA),222979927.4074074,248.86,90,0.6666666666666666,501704836.6666667,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,222979927.4074074,0.9680137105081853,24.0,True,2025-08-31
ANGLO AMERICAN (SOUTH AFRICA),198940020.429037,542.5,90,0.6666666666666666,447615045.9653333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,198940020.429037,0.8636502378630198,25.0,True,2025-08-31
SEPLAT ENERGY NIGERIA (NIGERIA),198490974.38962963,5379.3,90,0.6666666666666666,446604692.37666667,,,20.0,2025-08-31,NIGERIA,MID,198490974.38962963,2.4349546879636264,26.0,True,2025-08-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),189151592.59259257,51.94,90,0.6666666666666666,425591083.3333333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,189151592.59259257,0.8211561333031695,27.0,True,2025-08-31
ABSA (SOUTH AFRICA),185439841.48148146,188.8,90,0.6666666666666666,417239643.3333333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,185439841.48148146,0.805042458824369,28.0,True,2025-08-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),180195434.31259242,197.35,90,0.6666666666666666,405439727.20333296,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,180195434.31259242,0.7822751267958836,29.0,True,2025-08-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),173746861.00444442,105.87,90,0.6666666666666666,390930437.26,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,173746861.00444442,0.7542801971711239,30.0,True,2025-08-31
SHOPRITE HOLDINGS (SOUTH AFRICA),158141287.16296294,262.93,90,0.6666666666666666,355817896.1166666,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,158141287.16296294,0.686532352714699,31.0,True,2025-08-31
TRANSCORP POWER NIGERIA (NIGERIA),155181191.48148146,286.5,90,0.6666666666666666,349157680.8333333,,,20.0,2025-08-31,NIGERIA,MID,155181191.48148146,1.9036592008455377,32.0,True,2025-08-31
OANDO PLC NIGERIA (NIGERIA),152771646.12592593,51.2,90,0.6666666666666666,343736203.78333336,,,20.0,2025-08-31,NIGERIA,MID,152771646.12592593,1.8741005079255564,33.0,True,2025-08-31
MR PRICE (SOUTH AFRICA),128639297.2237037,207.46,90,0.6666666666666666,289438418.75333333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,128639297.2237037,0.5584565609583475,34.0,True,2025-08-31
GLENCORE (SOUTH AFRICA),127778596.72148147,69.81,90,0.6666666666666666,287501842.62333333,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,127778596.72148147,0.5547200367945823,35.0,True,2025-08-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),126727228.99435665,96.51,90,0.7,258626997.94766667,,,21.0,2025-08-31,EGYPT,MID,126727228.99435665,1.5546049954227568,36.0,True,2025-08-31
SANLAM (SOUTH AFRICA),123815416.2962963,91.2,90,0.6666666666666666,278584686.6666667,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,123815416.2962963,0.5375148424373907,37.0,True,2025-08-31
BUA CEMENT NIGERIA (NIGERIA),121821797.28148147,151.8,90,0.6666666666666666,274099043.8833333,,,20.0,2025-08-31,NIGERIA,MID,121821797.28148147,1.494428435846278,38.0,True,2025-08-31
BHP (SOUTH AFRICA),115444727.01777779,493.8,90,0.6666666666666666,259750635.79000002,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,115444727.01777779,0.5011755087483772,39.0,True,2025-08-31
LAFARGE AFRICA NIGERIA (NIGERIA),115225104.39999999,130.0,90,0.6666666666666666,259256484.9,,,20.0,2025-08-31,NIGERIA,MID,115225104.39999999,1.4135046139636303,40.0,True,2025-08-31
KUMBA IRON ORE (SOUTH AFRICA),114751790.74074073,323.5,90,0.6666666666666666,258191529.16666666,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,114751790.74074073,0.4981672926076714,41.0,True,2025-08-31
FCMB GROUP NIGERIA (NIGERIA),114553238.20518517,10.85,90,0.6666666666666666,257744785.96166664,,,20.0,2025-08-31,NIGERIA,MID,114553238.20518517,1.405262608271536,42.0,True,2025-08-31
BID CORP (SOUTH AFRICA),113368152.06518517,461.26,90,0.6666666666666666,255078342.14666665,,,20.0,2025-08-31,SOUTH AFRICA,HIGH,113368152.06518517,0.49216055817242343,43.0,True,2025-08-31
PRESCO PLC NIGERIA (NIGERIA),112818032.0,1480.0,90,0.6666666666666666,253840572.0,,,20.0,2025-08-31,NIGERIA,MID,112818032.0,1.3839762576105463,44.0,True,2025-08-31
