Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),2576798933.333333,414.0,90,0.7,5258773333.333333,5258773333.333333,1051754666.6666666,21.0,0,7,10214820000.0,59918775000.0,2021-05-31,SOUTH AFRICA,HIGH,2576798933.333333,5.0,1.0,True,2021-05-31
PPC (SOUTH AFRICA),2522642989.9999995,335.0,90,0.7,5148251000.0,5148251000.0,1029650200.0,21.0,0,7,1185520000.0,11196000000.0,2021-05-31,SOUTH AFRICA,HIGH,2522642989.9999995,5.0,2.0,True,2021-05-31
NASPERS (SOUTH AFRICA),1558508175.6999998,609.99,90,0.7,3180628930.0,3180628930.0,636125786.0,21.0,0,7,2203035000.0,9772713125.0,2021-05-31,SOUTH AFRICA,HIGH,1558508175.6999998,5.0,3.0,True,2021-05-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),390017260.7333333,250.5,90,0.7,795953593.3333334,795953593.3333334,159190718.6666667,21.0,0,7,219050000.0,1763194075.0,2021-05-31,SOUTH AFRICA,HIGH,390017260.7333333,2.1063490014690633,4.0,True,2021-05-31
SIBANYE STILLWATER (SOUTH AFRICA),341795504.8666666,65.11,90,0.7,697541846.6666666,697541846.6666666,139508369.33333334,21.0,0,7,219697800.0,1942392825.0,2021-05-31,SOUTH AFRICA,HIGH,341795504.8666666,1.845919893465338,5.0,True,2021-05-31
PROSUS (SOUTH AFRICA),307824212.71163327,654.96,90,0.7,628212679.0033333,628212679.0033333,125642535.80066667,21.0,0,3,847104300.0,3213243192.0,2021-05-31,SOUTH AFRICA,HIGH,307824212.71163327,1.6624526356962186,6.0,True,2021-05-31
ANGLO AMERICAN (SOUTH AFRICA),290954511.93596655,601.3,90,0.7,593784718.2366666,593784718.2366666,118756943.64733332,21.0,0,7,538152400.0,2205407700.0,2021-05-31,SOUTH AFRICA,HIGH,290954511.93596655,1.5713451874845796,7.0,True,2021-05-31
FIRSTRAND (SOUTH AFRICA),278614610.8666666,54.92,90,0.7,568601246.6666666,568601246.6666666,113720249.33333333,21.0,0,7,586124000.0,2349900550.0,2021-05-31,SOUTH AFRICA,HIGH,278614610.8666666,1.5047016285644563,8.0,True,2021-05-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),254082655.11976665,340.31,90,0.7,518536030.8566667,518536030.8566667,103707206.17133334,21.0,0,7,318447000.0,1529569700.0,2021-05-31,SOUTH AFRICA,HIGH,254082655.11976665,1.3722129782047066,9.0,True,2021-05-31
CAPITEC BANK (SOUTH AFRICA),253706139.38069165,1655.09,90,0.7,517767631.3891667,517767631.3891667,103553526.27783334,21.0,0,7,194107929.6,1189388886.575,2021-05-31,SOUTH AFRICA,HIGH,253706139.38069165,1.3701795462751893,10.0,True,2021-05-31
